Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1201
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_Half_TN,tn_152064_3_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85530,2.48601
GemmTunableOp_Half_TN,tn_152064_7_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85453,2.4937
GemmTunableOp_Half_TN,tn_152064_8_5120_ld_5120_5120_152064,Gemm_Rocblas_85198,2.49887
GemmTunableOp_Half_TN,tn_152064_9_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85497,2.50283
GemmTunableOp_Half_TN,tn_152064_18_5120_ld_5120_5120_152064,Gemm_Rocblas_85528,2.52751
GemmTunableOp_Half_TN,tn_152064_14_5120_ld_5120_5120_152064,Gemm_Rocblas_85434,2.50728
GemmTunableOp_Half_TN,tn_152064_5_5120_ld_5120_5120_152064,Gemm_Rocblas_85454,2.49089
GemmTunableOp_Half_TN,tn_152064_16_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85438,2.52095
GemmTunableOp_Half_TN,tn_152064_15_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85530,2.51881
GemmTunableOp_Half_TN,tn_152064_6_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85462,2.49114
GemmTunableOp_Half_TN,tn_152064_11_5120_ld_5120_5120_152064,Gemm_Rocblas_85439,2.50843
GemmTunableOp_Half_TN,tn_152064_4_5120_ld_5120_5120_152064,Gemm_Rocblas_85454,2.48822
GemmTunableOp_Half_TN,tn_152064_2_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85485,2.47918
GemmTunableOp_Half_TN,tn_152064_1_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85490,2.47656
GemmTunableOp_Half_TN,tn_152064_20_5120_ld_5120_5120_152064,Gemm_Rocblas_85624,2.53236
GemmTunableOp_Half_TN,tn_152064_10_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85438,2.50372
GemmTunableOp_Half_TN,tn_152064_19_5120_ld_5120_5120_152064,Gemm_Rocblas_85455,2.52788
GemmTunableOp_Half_TN,tn_152064_13_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85497,2.51411
GemmTunableOp_Half_TN,tn_152064_256_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85948,3.09631
GemmTunableOp_Half_TN,tn_152064_17_5120_ld_5120_5120_152064,Gemm_Hipblaslt_85530,2.52452
GemmTunableOp_Half_TN,tn_152064_12_5120_ld_5120_5120_152064,Gemm_Rocblas_85454,2.51057
GemmTunableOp_Half_NN,nn_5120_1389_13824_ld_5120_13824_5120,Gemm_Rocblas_84785,1.52162
GemmTunableOp_Half_NN,nn_5120_1_5120_ld_5120_5120_5120,Gemm_Rocblas_85904,0.0372255
GemmTunableOp_Half_NN,nn_5120_2_5120_ld_5120_5120_5120,Gemm_Hipblaslt_85903,0.0372599
GemmTunableOp_Half_NN,nn_5120_4_13824_ld_5120_13824_5120,Gemm_Hipblaslt_84764,0.234321
GemmTunableOp_Half_NN,nn_27648_4_5120_ld_27648_5120_27648,Gemm_Rocblas_84890,0.460096
GemmTunableOp_Half_NN,nn_5120_4_5120_ld_5120_5120_5120,Gemm_Hipblaslt_85903,0.0372227
GemmTunableOp_Half_NN,nn_5120_8_13824_ld_5120_13824_5120,Gemm_Rocblas_85905,0.234605
