..........................................................................................................done
...done

task	acc_norm
1	100.00000000
2	50.00000000
3	33.33333333
4	50.00000000
5	40.00000000
6	33.33333333
7	28.57142857
8	37.50000000
9	44.44444444
10	50.00000000
11	45.45454545
12	50.00000000
13	46.15384615
14	42.85714286
15	46.66666667
16	50.00000000
17	47.05882353
18	44.44444444
19	47.36842105
20	45.00000000
21	42.85714286
22	45.45454545
23	43.47826087
24	45.83333333
25	48.00000000
26	50.00000000
27	48.14814815
28	46.42857143
29	48.27586207
30	50.00000000
31	51.61290323
32	53.12500000
33	54.54545455
34	55.88235294
35	54.28571429
36	52.77777778
37	54.05405405
38	52.63157895
39	53.84615385
40	52.50000000
41	53.65853659
42	52.38095238
43	51.16279070
44	50.00000000
45	51.11111111
46	50.00000000
47	51.06382979
48	50.00000000
49	48.97959184
50	48.00000000
51	47.05882353
52	46.15384615
53	47.16981132
54	48.14814815
55	47.27272727
56	46.42857143
57	45.61403509
58	46.55172414
59	45.76271186
60	45.00000000
61	45.90163934
62	46.77419355
63	46.03174603
64	46.87500000
65	46.15384615
66	46.96969697
67	47.76119403
68	47.05882353
69	47.82608696
70	48.57142857
71	47.88732394
72	47.22222222
73	46.57534247
74	47.29729730
75	48.00000000
76	47.36842105
77	46.75324675
78	46.15384615
79	45.56962025
80	45.00000000
81	45.67901235
82	45.12195122
83	45.78313253
84	46.42857143
85	47.05882353
86	47.67441860
87	48.27586207
88	48.86363636
89	49.43820225
90	48.88888889
91	49.45054945
92	48.91304348
93	49.46236559
94	48.93617021
95	49.47368421
96	50.00000000
97	50.51546392
98	50.00000000
99	49.49494949
100	50.00000000
101	49.50495050
102	50.00000000
103	50.48543689
104	50.96153846
105	50.47619048
106	50.94339623
107	51.40186916
108	51.85185185
109	52.29357798
110	51.81818182
111	51.35135135
112	50.89285714
113	50.44247788
114	50.00000000
115	50.43478261
116	50.86206897
117	51.28205128
118	51.69491525
119	52.10084034
120	51.66666667
121	52.06611570
122	51.63934426
123	51.21951220
124	51.61290323
125	51.20000000
126	51.58730159
127	51.18110236
128	51.56250000
129	51.93798450
130	52.30769231
131	51.90839695
132	51.51515152
133	51.87969925
134	51.49253731
135	51.11111111
136	51.47058824
137	51.82481752
138	51.44927536
139	51.07913669
140	50.71428571
141	51.06382979
142	50.70422535
143	50.34965035
144	50.69444444
145	51.03448276
146	50.68493151
147	50.34013605
148	50.00000000
149	49.66442953
150	50.00000000
151	49.66887417
152	49.34210526
153	49.67320261
154	50.00000000
155	49.67741935
156	49.35897436
157	49.04458599
158	49.36708861
159	49.05660377
160	48.75000000
161	48.44720497
162	48.14814815
163	48.46625767
164	48.17073171
165	48.48484848
166	48.19277108
167	47.90419162
168	47.61904762
169	47.33727811
170	47.05882353
171	47.36842105
172	47.67441860
173	47.39884393
174	47.12643678
175	46.85714286
176	46.59090909
177	46.89265537
178	46.62921348
179	46.36871508
180	46.66666667
181	46.96132597
182	47.25274725
183	46.99453552
184	46.73913043
185	46.48648649
186	46.23655914
187	45.98930481
188	45.74468085
189	46.03174603
190	46.31578947
191	46.07329843
192	46.35416667
193	46.11398964
194	46.39175258
195	46.66666667
196	46.42857143
197	46.19289340
198	45.95959596
199	46.23115578
200	46.50000000
201	46.76616915
202	47.02970297
203	47.29064039
204	47.05882353
205	47.31707317
206	47.08737864
207	47.34299517
208	47.59615385
209	47.84688995
210	47.61904762
211	47.86729858
212	47.64150943
213	47.41784038
214	47.19626168
215	47.44186047
216	47.68518519
217	47.46543779
218	47.24770642
219	47.03196347
220	46.81818182
221	46.60633484
222	46.84684685
223	46.63677130
224	46.42857143
225	46.22222222
226	46.46017699
227	46.69603524
228	46.49122807
229	46.72489083
230	46.52173913
231	46.32034632
232	46.12068966
233	46.35193133
234	46.15384615
235	45.95744681
236	46.18644068
237	45.99156118
238	45.79831933
239	46.02510460
240	46.25000000
241	46.47302905
242	46.28099174
243	46.09053498
244	46.31147541
245	46.53061224
246	46.34146341
247	46.55870445
248	46.37096774
249	46.18473896
250	46.00000000
251	46.21513944
252	46.03174603
253	46.24505929
254	46.06299213
255	45.88235294
256	45.70312500
257	45.91439689
258	45.73643411
259	45.55984556
260	45.76923077
261	45.59386973
262	45.80152672
263	46.00760456
264	46.21212121
265	46.03773585
266	46.24060150
267	46.06741573
268	46.26865672
269	46.46840149
270	46.29629630
271	46.49446494
272	46.69117647
273	46.52014652
274	46.71532847
275	46.54545455
276	46.73913043
277	46.93140794
278	47.12230216
279	47.31182796
280	47.14285714
281	46.97508897
282	47.16312057
283	46.99646643
284	47.18309859
285	47.36842105
286	47.20279720
287	47.03832753
288	47.22222222
289	47.40484429
290	47.58620690
291	47.42268041
292	47.60273973
293	47.78156997
294	47.95918367
295	47.79661017
296	47.97297297
297	48.14814815
298	48.32214765
299	48.49498328
300	48.33333333
301	48.50498339
302	48.67549669
303	48.51485149
304	48.35526316
305	48.19672131
306	48.36601307
307	48.20846906
308	48.37662338
309	48.54368932
310	48.70967742
311	48.87459807
312	48.71794872
313	48.56230032
314	48.72611465
315	48.57142857
316	48.73417722
317	48.58044164
318	48.42767296
319	48.27586207
320	48.12500000
321	47.97507788
322	47.82608696
323	47.98761610
324	47.83950617
325	48.00000000
326	48.15950920
327	48.01223242
328	47.86585366
329	48.02431611
330	47.87878788
331	47.73413897
332	47.89156627
333	48.04804805
334	48.20359281
335	48.35820896
336	48.51190476
337	48.66468843
338	48.52071006
339	48.37758112
340	48.23529412
341	48.38709677
342	48.53801170
343	48.39650146
344	48.54651163
345	48.69565217
346	48.84393064
347	48.70317003
348	48.85057471
349	48.71060172
350	48.57142857
351	48.43304843
352	48.57954545
353	48.72521246
354	48.58757062
355	48.45070423
356	48.59550562
357	48.73949580
358	48.60335196
359	48.74651811
360	48.88888889
361	48.75346260
362	48.61878453
363	48.48484848
364	48.62637363
365	48.76712329
366	48.90710383
367	48.77384196
368	48.64130435
369	48.78048780
370	48.91891892
371	48.78706199
372	48.92473118
373	48.79356568
374	48.93048128
375	48.80000000
376	48.93617021
377	48.80636605
378	48.67724868
379	48.81266491
380	48.94736842
381	48.81889764
382	48.95287958
383	49.08616188
384	48.95833333
385	48.83116883
386	48.70466321
387	48.57881137
388	48.71134021
389	48.84318766
390	48.71794872
391	48.84910486
392	48.72448980
393	48.60050891
394	48.73096447
395	48.60759494
396	48.73737374
397	48.61460957
398	48.49246231
399	48.62155388
400	48.75000000
401	48.87780549
402	49.00497512
403	49.13151365
404	49.00990099
405	48.88888889
406	48.76847291
407	48.64864865
408	48.77450980
409	48.65525672
410	48.78048780
411	48.66180049
412	48.78640777
413	48.66828087
414	48.79227053
415	48.91566265
416	48.79807692
417	48.68105516
418	48.56459330
419	48.44868735
420	48.57142857
421	48.69358670
422	48.81516588
423	48.69976359
424	48.58490566
425	48.70588235
426	48.59154930
427	48.47775176
428	48.36448598
429	48.25174825
430	48.37209302
431	48.49187935
432	48.61111111
433	48.49884527
434	48.61751152
435	48.73563218
436	48.62385321
437	48.74141876
438	48.63013699
439	48.51936219
440	48.63636364
441	48.52607710
442	48.41628959
443	48.53273138
444	48.42342342
445	48.31460674
446	48.43049327
447	48.54586130
448	48.66071429
449	48.77505568
450	48.66666667
451	48.55875831
452	48.45132743
453	48.34437086
454	48.23788546
455	48.35164835
456	48.46491228
457	48.57768053
458	48.68995633
459	48.80174292
460	48.69565217
461	48.59002169
462	48.48484848
463	48.38012959
464	48.49137931
465	48.38709677
466	48.28326180
467	48.17987152
468	48.07692308
469	48.18763326
470	48.08510638
471	47.98301486
472	47.88135593
473	47.78012685
474	47.89029536
475	48.00000000
476	47.89915966
477	47.79874214
478	47.69874477
479	47.59916493
480	47.50000000
481	47.60914761
482	47.71784232
483	47.61904762
484	47.52066116
