..........................................................................................................done
...done

task	acc_norm
1	100.00000000
2	50.00000000
3	33.33333333
4	50.00000000
5	40.00000000
6	33.33333333
7	42.85714286
8	50.00000000
9	55.55555556
10	60.00000000
11	54.54545455
12	58.33333333
13	53.84615385
14	50.00000000
15	53.33333333
16	56.25000000
17	52.94117647
18	50.00000000
19	47.36842105
20	45.00000000
21	42.85714286
22	45.45454545
23	43.47826087
24	45.83333333
25	48.00000000
26	50.00000000
27	48.14814815
28	46.42857143
29	44.82758621
30	46.66666667
31	48.38709677
32	50.00000000
33	51.51515152
34	52.94117647
35	51.42857143
36	50.00000000
37	51.35135135
38	50.00000000
39	51.28205128
40	50.00000000
41	51.21951220
42	50.00000000
43	48.83720930
44	47.72727273
45	48.88888889
46	47.82608696
47	48.93617021
48	47.91666667
49	46.93877551
50	46.00000000
51	45.09803922
52	44.23076923
53	45.28301887
54	46.29629630
55	45.45454545
56	44.64285714
57	43.85964912
58	44.82758621
59	45.76271186
60	46.66666667
61	47.54098361
62	48.38709677
63	47.61904762
64	48.43750000
65	47.69230769
66	48.48484848
67	49.25373134
68	48.52941176
69	47.82608696
70	47.14285714
71	46.47887324
72	45.83333333
73	45.20547945
74	45.94594595
75	46.66666667
76	46.05263158
77	45.45454545
78	44.87179487
79	44.30379747
80	43.75000000
81	44.44444444
82	43.90243902
83	44.57831325
84	45.23809524
85	45.88235294
86	46.51162791
87	47.12643678
88	47.72727273
89	48.31460674
90	47.77777778
91	48.35164835
92	47.82608696
93	48.38709677
94	47.87234043
95	48.42105263
96	48.95833333
97	49.48453608
98	48.97959184
99	48.48484848
100	49.00000000
101	49.50495050
102	50.00000000
103	50.48543689
104	50.96153846
105	50.47619048
106	50.94339623
107	51.40186916
108	51.85185185
109	52.29357798
110	51.81818182
111	51.35135135
112	50.89285714
113	50.44247788
114	50.00000000
115	50.43478261
116	50.86206897
117	51.28205128
118	51.69491525
119	52.10084034
120	51.66666667
121	52.06611570
122	51.63934426
123	51.21951220
124	51.61290323
125	51.20000000
126	51.58730159
127	51.18110236
128	51.56250000
129	51.93798450
130	52.30769231
131	51.90839695
132	51.51515152
133	51.87969925
134	51.49253731
135	51.11111111
136	51.47058824
137	51.82481752
138	51.44927536
139	51.07913669
140	50.71428571
141	51.06382979
142	50.70422535
143	50.34965035
144	50.00000000
145	50.34482759
146	50.00000000
147	49.65986395
148	49.32432432
149	48.99328859
150	49.33333333
151	49.00662252
152	48.68421053
153	49.01960784
154	49.35064935
155	49.03225806
156	48.71794872
157	48.40764331
158	48.10126582
159	47.79874214
160	47.50000000
161	47.20496894
162	46.91358025
163	47.23926380
164	46.95121951
165	47.27272727
166	46.98795181
167	46.70658683
168	46.42857143
169	46.15384615
170	45.88235294
171	46.19883041
172	46.51162791
173	46.24277457
174	45.97701149
175	45.71428571
176	45.45454545
177	45.76271186
178	45.50561798
179	45.25139665
180	45.55555556
181	45.85635359
182	46.15384615
183	45.90163934
184	45.65217391
185	45.40540541
186	45.16129032
187	44.91978610
188	44.68085106
189	44.97354497
190	45.26315789
191	45.02617801
192	45.31250000
193	45.07772021
194	45.36082474
195	45.64102564
196	45.40816327
197	45.17766497
198	44.94949495
199	45.22613065
200	45.50000000
201	45.77114428
202	46.03960396
203	46.30541872
204	46.07843137
205	46.34146341
206	46.11650485
207	46.37681159
208	46.63461538
209	46.88995215
210	46.66666667
211	46.91943128
212	46.69811321
213	46.47887324
214	46.26168224
215	46.51162791
216	46.75925926
217	46.54377880
218	46.33027523
219	46.11872146
220	46.36363636
221	46.15384615
222	46.39639640
223	46.18834081
224	45.98214286
225	45.77777778
226	46.01769912
227	46.25550661
228	46.05263158
229	46.28820961
230	46.52173913
231	46.32034632
232	46.55172414
233	46.78111588
234	46.58119658
235	46.38297872
236	46.61016949
237	46.41350211
238	46.21848739
239	46.44351464
240	46.66666667
241	46.88796680
242	46.69421488
243	46.50205761
244	46.72131148
245	46.53061224
246	46.34146341
247	46.55870445
248	46.37096774
249	46.18473896
250	46.00000000
251	46.21513944
252	46.03174603
253	46.24505929
254	46.06299213
255	45.88235294
256	45.70312500
257	45.91439689
258	45.73643411
259	45.55984556
260	45.76923077
261	45.59386973
262	45.80152672
263	46.00760456
264	46.21212121
265	46.03773585
266	46.24060150
267	46.06741573
268	46.26865672
269	46.09665428
270	45.92592593
271	46.12546125
272	46.32352941
273	46.15384615
274	46.35036496
275	46.18181818
276	46.37681159
277	46.57039711
278	46.76258993
279	46.95340502
280	46.78571429
281	46.97508897
282	47.16312057
283	46.99646643
284	47.18309859
285	47.01754386
286	46.85314685
287	46.68989547
288	46.87500000
289	47.05882353
290	47.24137931
291	47.07903780
292	47.26027397
293	47.44027304
294	47.61904762
295	47.45762712
296	47.63513514
297	47.47474747
298	47.65100671
299	47.82608696
300	47.66666667
301	47.84053156
302	48.01324503
303	47.85478548
304	48.02631579
305	47.86885246
306	48.03921569
307	47.88273616
308	48.05194805
309	48.22006472
310	48.38709677
311	48.23151125
312	48.07692308
313	48.24281150
314	48.40764331
315	48.25396825
316	48.41772152
317	48.26498423
318	48.11320755
319	47.96238245
320	47.81250000
321	47.66355140
322	47.82608696
323	47.98761610
324	47.83950617
325	48.00000000
326	47.85276074
327	48.01223242
328	47.86585366
329	48.02431611
330	48.18181818
331	48.03625378
332	48.19277108
333	48.34834835
334	48.50299401
335	48.65671642
336	48.80952381
337	48.66468843
338	48.52071006
339	48.37758112
340	48.23529412
341	48.38709677
342	48.53801170
343	48.39650146
344	48.54651163
345	48.69565217
346	48.84393064
347	48.70317003
348	48.85057471
349	48.71060172
350	48.57142857
351	48.43304843
352	48.57954545
353	48.72521246
354	48.58757062
355	48.73239437
356	48.87640449
357	49.01960784
358	48.88268156
359	49.02506964
360	49.16666667
361	49.30747922
362	49.17127072
363	49.03581267
364	49.17582418
365	49.31506849
366	49.45355191
367	49.31880109
368	49.18478261
369	49.32249322
370	49.45945946
371	49.32614555
372	49.46236559
373	49.32975871
374	49.46524064
375	49.33333333
376	49.46808511
377	49.33687003
378	49.20634921
379	49.34036939
380	49.47368421
381	49.34383202
382	49.47643979
383	49.60835509
384	49.47916667
385	49.35064935
386	49.22279793
387	49.09560724
388	49.22680412
389	49.35732648
390	49.48717949
391	49.61636829
392	49.48979592
393	49.36386768
394	49.49238579
395	49.62025316
396	49.74747475
397	49.62216625
398	49.49748744
399	49.62406015
400	49.75000000
401	49.87531172
402	50.00000000
403	50.12406948
404	50.00000000
405	49.87654321
406	50.00000000
407	49.87714988
408	50.00000000
409	49.87775061
410	49.75609756
411	49.63503650
412	49.75728155
413	49.63680387
414	49.75845411
415	49.87951807
416	49.75961538
417	49.64028777
418	49.52153110
419	49.40334129
420	49.52380952
421	49.64370546
422	49.76303318
423	49.64539007
424	49.52830189
425	49.64705882
426	49.53051643
427	49.41451991
428	49.29906542
429	49.18414918
430	49.30232558
431	49.41995360
432	49.53703704
433	49.42263279
434	49.53917051
435	49.65517241
436	49.54128440
437	49.65675057
438	49.54337900
439	49.43052392
440	49.54545455
441	49.43310658
442	49.32126697
443	49.43566591
444	49.32432432
445	49.21348315
446	49.32735426
447	49.44071588
448	49.55357143
449	49.66592428
450	49.55555556
451	49.44567627
452	49.33628319
453	49.22737307
454	49.11894273
455	49.23076923
456	49.34210526
457	49.45295405
458	49.56331878
459	49.67320261
460	49.56521739
461	49.45770065
462	49.35064935
463	49.24406048
464	49.35344828
465	49.24731183
466	49.14163090
467	49.03640257
468	48.93162393
469	49.04051173
470	48.93617021
471	48.83227176
472	48.72881356
473	48.62579281
474	48.52320675
475	48.63157895
476	48.52941176
477	48.42767296
478	48.32635983
479	48.22546973
480	48.33333333
481	48.44074844
482	48.54771784
483	48.44720497
484	48.34710744
