fork	kv	switches	rep	secs	ppl
tom	f16	stock	1	36	7.4964
tom	turbo4	stock	1	10	7.4880
buun	f16	stock	1	60	7.4948
buun	turbo4	stock	1	60	8.1188
buun	f16	meansub_off	1	60	7.4948
buun	turbo4	meansub_off	1	61	8.4805
buun	turbo4	fused_prefill	1	61	8.1231
buun	turbo4	both	1	60	8.4611
tom	f16	stock	2	10	7.4964
tom	turbo4	stock	2	10	7.4880
buun	f16	stock	2	61	7.4948
buun	turbo4	stock	2	61	8.1097
buun	f16	meansub_off	2	62	7.4948
buun	turbo4	meansub_off	2	62	8.4299
buun	turbo4	fused_prefill	2	62	8.0955
buun	turbo4	both	2	61	8.4560
