0.00.458.937 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.459.393 W srv  llama_server: -----------------
0.00.459.394 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.459.394 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.459.394 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.459.395 W srv  llama_server: -----------------
0.00.460.631 I srv    load_model: loading model '/mnt/usb/crow9b.gguf'
1.15.759.860 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.15.760.033 W srv          init: --cache-idle-slots requires --cache-ram, disabling
1.16.008.255 I srv  llama_server: model loaded
1.16.008.265 I srv  llama_server: listening on http://127.0.0.1:8143
1.17.501.397 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.17.501.505 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
2.42.050.427 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   1.23 t/s, tg_3s =   1.23 t/s
2.45.366.956 I slot print_timing: id  0 | task 0 | n_decoded =    104, tg =   1.23 t/s, tg_3s =   1.21 t/s
2.48.633.668 I slot print_timing: id  0 | task 0 | n_decoded =    108, tg =   1.23 t/s, tg_3s =   1.22 t/s
2.51.900.298 I slot print_timing: id  0 | task 0 | n_decoded =    112, tg =   1.23 t/s, tg_3s =   1.22 t/s
2.55.167.112 I slot print_timing: id  0 | task 0 | n_decoded =    116, tg =   1.23 t/s, tg_3s =   1.22 t/s
2.58.466.709 I slot print_timing: id  0 | task 0 | n_decoded =    120, tg =   1.23 t/s, tg_3s =   1.21 t/s
3.01.733.912 I slot print_timing: id  0 | task 0 | n_decoded =    124, tg =   1.23 t/s, tg_3s =   1.22 t/s
3.05.000.549 I slot print_timing: id  0 | task 0 | n_decoded =    128, tg =   1.23 t/s, tg_3s =   1.22 t/s
3.08.283.707 I slot print_timing: id  0 | task 0 | n_decoded =    132, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.11.550.605 I slot print_timing: id  0 | task 0 | n_decoded =    136, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.14.850.682 I slot print_timing: id  0 | task 0 | n_decoded =    140, tg =   1.22 t/s, tg_3s =   1.21 t/s
3.18.178.550 I slot print_timing: id  0 | task 0 | n_decoded =    144, tg =   1.22 t/s, tg_3s =   1.20 t/s
3.21.450.658 I slot print_timing: id  0 | task 0 | n_decoded =    148, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.24.717.393 I slot print_timing: id  0 | task 0 | n_decoded =    152, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.28.047.716 I slot print_timing: id  0 | task 0 | n_decoded =    156, tg =   1.22 t/s, tg_3s =   1.20 t/s
3.31.348.416 I slot print_timing: id  0 | task 0 | n_decoded =    160, tg =   1.22 t/s, tg_3s =   1.21 t/s
3.34.617.531 I slot print_timing: id  0 | task 0 | n_decoded =    164, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.37.884.028 I slot print_timing: id  0 | task 0 | n_decoded =    168, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.41.150.866 I slot print_timing: id  0 | task 0 | n_decoded =    172, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.44.417.378 I slot print_timing: id  0 | task 0 | n_decoded =    176, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.47.684.298 I slot print_timing: id  0 | task 0 | n_decoded =    180, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.50.950.777 I slot print_timing: id  0 | task 0 | n_decoded =    184, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.54.217.619 I slot print_timing: id  0 | task 0 | n_decoded =    188, tg =   1.22 t/s, tg_3s =   1.22 t/s
3.57.484.389 I slot print_timing: id  0 | task 0 | n_decoded =    192, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.00.751.009 I slot print_timing: id  0 | task 0 | n_decoded =    196, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.04.017.746 I slot print_timing: id  0 | task 0 | n_decoded =    200, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.07.284.285 I slot print_timing: id  0 | task 0 | n_decoded =    204, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.10.551.063 I slot print_timing: id  0 | task 0 | n_decoded =    208, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.13.817.669 I slot print_timing: id  0 | task 0 | n_decoded =    212, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.17.084.518 I slot print_timing: id  0 | task 0 | n_decoded =    216, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.20.400.747 I slot print_timing: id  0 | task 0 | n_decoded =    220, tg =   1.22 t/s, tg_3s =   1.21 t/s
4.23.667.860 I slot print_timing: id  0 | task 0 | n_decoded =    224, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.26.934.458 I slot print_timing: id  0 | task 0 | n_decoded =    228, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.30.201.224 I slot print_timing: id  0 | task 0 | n_decoded =    232, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.33.517.879 I slot print_timing: id  0 | task 0 | n_decoded =    236, tg =   1.22 t/s, tg_3s =   1.21 t/s
4.36.817.611 I slot print_timing: id  0 | task 0 | n_decoded =    240, tg =   1.22 t/s, tg_3s =   1.21 t/s
4.40.117.180 I slot print_timing: id  0 | task 0 | n_decoded =    244, tg =   1.22 t/s, tg_3s =   1.21 t/s
4.43.384.694 I slot print_timing: id  0 | task 0 | n_decoded =    248, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.46.651.367 I slot print_timing: id  0 | task 0 | n_decoded =    252, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.49.918.079 I slot print_timing: id  0 | task 0 | n_decoded =    256, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.53.184.813 I slot print_timing: id  0 | task 0 | n_decoded =    260, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.56.451.438 I slot print_timing: id  0 | task 0 | n_decoded =    264, tg =   1.22 t/s, tg_3s =   1.22 t/s
4.59.718.104 I slot print_timing: id  0 | task 0 | n_decoded =    268, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.02.984.822 I slot print_timing: id  0 | task 0 | n_decoded =    272, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.06.301.461 I slot print_timing: id  0 | task 0 | n_decoded =    276, tg =   1.22 t/s, tg_3s =   1.21 t/s
5.09.568.295 I slot print_timing: id  0 | task 0 | n_decoded =    280, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.12.917.604 I slot print_timing: id  0 | task 0 | n_decoded =    284, tg =   1.22 t/s, tg_3s =   1.19 t/s
5.16.184.819 I slot print_timing: id  0 | task 0 | n_decoded =    288, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.19.451.775 I slot print_timing: id  0 | task 0 | n_decoded =    292, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.22.751.370 I slot print_timing: id  0 | task 0 | n_decoded =    296, tg =   1.22 t/s, tg_3s =   1.21 t/s
5.26.018.255 I slot print_timing: id  0 | task 0 | n_decoded =    300, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.29.285.044 I slot print_timing: id  0 | task 0 | n_decoded =    304, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.32.551.691 I slot print_timing: id  0 | task 0 | n_decoded =    308, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.35.850.574 I slot print_timing: id  0 | task 0 | n_decoded =    312, tg =   1.22 t/s, tg_3s =   1.21 t/s
5.39.118.558 I slot print_timing: id  0 | task 0 | n_decoded =    316, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.42.385.262 I slot print_timing: id  0 | task 0 | n_decoded =    320, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.45.651.824 I slot print_timing: id  0 | task 0 | n_decoded =    324, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.48.918.714 I slot print_timing: id  0 | task 0 | n_decoded =    328, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.52.185.311 I slot print_timing: id  0 | task 0 | n_decoded =    332, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.55.451.903 I slot print_timing: id  0 | task 0 | n_decoded =    336, tg =   1.22 t/s, tg_3s =   1.22 t/s
5.58.718.713 I slot print_timing: id  0 | task 0 | n_decoded =    340, tg =   1.22 t/s, tg_3s =   1.22 t/s
6.01.985.351 I slot print_timing: id  0 | task 0 | n_decoded =    344, tg =   1.22 t/s, tg_3s =   1.22 t/s
6.05.252.012 I slot print_timing: id  0 | task 0 | n_decoded =    348, tg =   1.22 t/s, tg_3s =   1.22 t/s
6.08.518.781 I slot print_timing: id  0 | task 0 | n_decoded =    352, tg =   1.22 t/s, tg_3s =   1.22 t/s
