0.00.394.273 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.394.742 W srv  llama_server: -----------------
0.00.394.744 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.394.744 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.394.744 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.394.745 W srv  llama_server: -----------------
0.00.396.052 I srv    load_model: loading model '/mnt/usb/crow9b.gguf'
1.21.052.357 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.21.052.549 W srv          init: --cache-idle-slots requires --cache-ram, disabling
1.21.291.543 I srv  llama_server: model loaded
1.21.291.554 I srv  llama_server: listening on http://127.0.0.1:8143
1.22.294.837 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.22.294.940 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
2.54.505.291 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   1.13 t/s, tg_3s =   1.13 t/s
2.58.072.142 I slot print_timing: id  0 | task 0 | n_decoded =    104, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.01.685.719 I slot print_timing: id  0 | task 0 | n_decoded =    108, tg =   1.12 t/s, tg_3s =   1.11 t/s
3.05.251.211 I slot print_timing: id  0 | task 0 | n_decoded =    112, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.08.834.788 I slot print_timing: id  0 | task 0 | n_decoded =    116, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.12.401.649 I slot print_timing: id  0 | task 0 | n_decoded =    120, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.15.967.923 I slot print_timing: id  0 | task 0 | n_decoded =    124, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.19.583.431 I slot print_timing: id  0 | task 0 | n_decoded =    128, tg =   1.12 t/s, tg_3s =   1.11 t/s
3.23.188.654 I slot print_timing: id  0 | task 0 | n_decoded =    132, tg =   1.12 t/s, tg_3s =   1.11 t/s
3.26.755.715 I slot print_timing: id  0 | task 0 | n_decoded =    136, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.30.322.292 I slot print_timing: id  0 | task 0 | n_decoded =    140, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.33.888.986 I slot print_timing: id  0 | task 0 | n_decoded =    144, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.37.484.542 I slot print_timing: id  0 | task 0 | n_decoded =    148, tg =   1.12 t/s, tg_3s =   1.11 t/s
3.41.051.541 I slot print_timing: id  0 | task 0 | n_decoded =    152, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.44.618.132 I slot print_timing: id  0 | task 0 | n_decoded =    156, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.48.185.323 I slot print_timing: id  0 | task 0 | n_decoded =    160, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.51.751.509 I slot print_timing: id  0 | task 0 | n_decoded =    164, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.55.318.326 I slot print_timing: id  0 | task 0 | n_decoded =    168, tg =   1.12 t/s, tg_3s =   1.12 t/s
3.58.905.859 I slot print_timing: id  0 | task 0 | n_decoded =    172, tg =   1.12 t/s, tg_3s =   1.11 t/s
4.02.472.868 I slot print_timing: id  0 | task 0 | n_decoded =    176, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.06.084.662 I slot print_timing: id  0 | task 0 | n_decoded =    180, tg =   1.12 t/s, tg_3s =   1.11 t/s
4.09.651.794 I slot print_timing: id  0 | task 0 | n_decoded =    184, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.13.218.498 I slot print_timing: id  0 | task 0 | n_decoded =    188, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.16.785.367 I slot print_timing: id  0 | task 0 | n_decoded =    192, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.20.351.742 I slot print_timing: id  0 | task 0 | n_decoded =    196, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.23.919.486 I slot print_timing: id  0 | task 0 | n_decoded =    200, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.27.485.588 I slot print_timing: id  0 | task 0 | n_decoded =    204, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.31.089.232 I slot print_timing: id  0 | task 0 | n_decoded =    208, tg =   1.12 t/s, tg_3s =   1.11 t/s
4.34.739.471 I slot print_timing: id  0 | task 0 | n_decoded =    212, tg =   1.12 t/s, tg_3s =   1.10 t/s
4.38.306.674 I slot print_timing: id  0 | task 0 | n_decoded =    216, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.41.872.970 I slot print_timing: id  0 | task 0 | n_decoded =    220, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.45.439.711 I slot print_timing: id  0 | task 0 | n_decoded =    224, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.49.006.473 I slot print_timing: id  0 | task 0 | n_decoded =    228, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.52.573.183 I slot print_timing: id  0 | task 0 | n_decoded =    232, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.56.140.059 I slot print_timing: id  0 | task 0 | n_decoded =    236, tg =   1.12 t/s, tg_3s =   1.12 t/s
4.59.706.563 I slot print_timing: id  0 | task 0 | n_decoded =    240, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.03.273.208 I slot print_timing: id  0 | task 0 | n_decoded =    244, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.06.839.801 I slot print_timing: id  0 | task 0 | n_decoded =    248, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.10.406.566 I slot print_timing: id  0 | task 0 | n_decoded =    252, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.13.973.432 I slot print_timing: id  0 | task 0 | n_decoded =    256, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.17.540.067 I slot print_timing: id  0 | task 0 | n_decoded =    260, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.21.106.551 I slot print_timing: id  0 | task 0 | n_decoded =    264, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.24.673.505 I slot print_timing: id  0 | task 0 | n_decoded =    268, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.28.239.859 I slot print_timing: id  0 | task 0 | n_decoded =    272, tg =   1.12 t/s, tg_3s =   1.12 t/s
5.31.836.779 I slot print_timing: id  0 | task 0 | n_decoded =    276, tg =   1.12 t/s, tg_3s =   1.11 t/s
5.35.457.361 I slot print_timing: id  0 | task 0 | n_decoded =    280, tg =   1.12 t/s, tg_3s =   1.10 t/s
