id,category,puzzle_correct,qwen_correct
multiple_105,multiple,1,1
multiple_110,multiple,1,1
multiple_112,multiple,1,1
multiple_13,multiple,0,1
multiple_130,multiple,1,1
multiple_147,multiple,1,1
multiple_149,multiple,1,1
multiple_150,multiple,1,1
multiple_155,multiple,1,1
multiple_159,multiple,1,1
multiple_16,multiple,1,1
multiple_170,multiple,1,1
multiple_173,multiple,1,1
multiple_181,multiple,1,1
multiple_19,multiple,1,1
multiple_190,multiple,0,0
multiple_197,multiple,1,1
multiple_24,multiple,1,1
multiple_33,multiple,1,1
multiple_42,multiple,1,1
multiple_48,multiple,1,1
multiple_5,multiple,1,1
multiple_53,multiple,0,0
multiple_67,multiple,1,1
multiple_7,multiple,1,0
multiple_73,multiple,1,1
multiple_77,multiple,1,1
multiple_78,multiple,1,1
multiple_79,multiple,1,1
multiple_84,multiple,1,1
multiple_89,multiple,1,1
multiple_91,multiple,1,1
multiple_92,multiple,0,0
multiple_96,multiple,1,1
multiple_99,multiple,1,1
parallel_0,parallel,1,1
parallel_10,parallel,0,1
parallel_109,parallel,0,1
parallel_112,parallel,0,1
parallel_119,parallel,0,0
parallel_123,parallel,1,1
parallel_124,parallel,1,1
parallel_133,parallel,0,1
parallel_134,parallel,0,1
parallel_156,parallel,0,1
parallel_159,parallel,0,1
parallel_16,parallel,0,1
parallel_166,parallel,0,1
parallel_177,parallel,0,1
parallel_186,parallel,0,1
parallel_187,parallel,0,1
parallel_196,parallel,0,1
parallel_199,parallel,0,1
parallel_23,parallel,0,1
parallel_26,parallel,0,0
parallel_32,parallel,0,1
parallel_36,parallel,0,1
parallel_40,parallel,0,1
parallel_42,parallel,0,1
parallel_46,parallel,0,1
parallel_56,parallel,0,1
parallel_63,parallel,0,1
parallel_67,parallel,0,1
parallel_76,parallel,0,1
parallel_8,parallel,0,0
parallel_89,parallel,0,1
parallel_90,parallel,0,1
parallel_91,parallel,0,1
parallel_93,parallel,0,1
parallel_94,parallel,0,1
parallel_multiple_0,parallel_multiple,1,1
parallel_multiple_101,parallel_multiple,0,1
parallel_multiple_110,parallel_multiple,0,1
parallel_multiple_113,parallel_multiple,1,0
parallel_multiple_116,parallel_multiple,0,1
parallel_multiple_117,parallel_multiple,0,1
parallel_multiple_122,parallel_multiple,0,1
parallel_multiple_123,parallel_multiple,0,1
parallel_multiple_127,parallel_multiple,0,0
parallel_multiple_133,parallel_multiple,0,1
parallel_multiple_135,parallel_multiple,0,0
parallel_multiple_139,parallel_multiple,0,0
parallel_multiple_143,parallel_multiple,0,0
parallel_multiple_153,parallel_multiple,0,0
parallel_multiple_167,parallel_multiple,0,1
parallel_multiple_169,parallel_multiple,0,1
parallel_multiple_172,parallel_multiple,0,1
parallel_multiple_181,parallel_multiple,0,1
parallel_multiple_184,parallel_multiple,0,1
parallel_multiple_30,parallel_multiple,0,1
parallel_multiple_31,parallel_multiple,0,1
parallel_multiple_34,parallel_multiple,0,1
parallel_multiple_35,parallel_multiple,1,1
parallel_multiple_40,parallel_multiple,0,1
parallel_multiple_41,parallel_multiple,0,1
parallel_multiple_43,parallel_multiple,0,1
parallel_multiple_5,parallel_multiple,0,1
parallel_multiple_57,parallel_multiple,0,1
parallel_multiple_59,parallel_multiple,0,1
parallel_multiple_63,parallel_multiple,0,1
parallel_multiple_66,parallel_multiple,0,1
parallel_multiple_69,parallel_multiple,0,0
parallel_multiple_77,parallel_multiple,0,1
parallel_multiple_95,parallel_multiple,0,1
parallel_multiple_96,parallel_multiple,0,1
simple_java_17,simple_java,1,1
simple_java_27,simple_java,0,0
simple_java_28,simple_java,1,1
simple_java_32,simple_java,0,0
simple_java_4,simple_java,0,0
simple_java_40,simple_java,1,1
simple_java_5,simple_java,1,1
simple_java_50,simple_java,1,1
simple_java_51,simple_java,0,0
simple_java_52,simple_java,0,1
simple_java_61,simple_java,1,1
simple_java_79,simple_java,1,1
simple_java_82,simple_java,0,1
simple_java_83,simple_java,0,0
simple_java_86,simple_java,0,0
simple_java_88,simple_java,0,0
simple_java_9,simple_java,0,0
simple_javascript_18,simple_javascript,0,0
simple_javascript_22,simple_javascript,1,1
simple_javascript_24,simple_javascript,1,1
simple_javascript_30,simple_javascript,1,1
simple_javascript_35,simple_javascript,0,0
simple_javascript_4,simple_javascript,1,1
simple_javascript_40,simple_javascript,0,1
simple_javascript_45,simple_javascript,0,1
simple_javascript_6,simple_javascript,1,1
simple_python_100,simple_python,1,1
simple_python_109,simple_python,1,1
simple_python_11,simple_python,1,1
simple_python_111,simple_python,1,1
simple_python_112,simple_python,1,1
simple_python_118,simple_python,1,1
simple_python_119,simple_python,1,1
simple_python_13,simple_python,0,0
simple_python_134,simple_python,1,1
simple_python_138,simple_python,1,1
simple_python_140,simple_python,1,1
simple_python_142,simple_python,1,1
simple_python_144,simple_python,1,1
simple_python_145,simple_python,1,1
simple_python_15,simple_python,1,1
simple_python_155,simple_python,1,1
simple_python_162,simple_python,1,1
simple_python_17,simple_python,0,1
simple_python_171,simple_python,1,1
simple_python_187,simple_python,1,1
simple_python_19,simple_python,1,1
simple_python_198,simple_python,1,1
simple_python_199,simple_python,1,1
simple_python_2,simple_python,1,1
simple_python_200,simple_python,0,1
simple_python_202,simple_python,0,0
simple_python_205,simple_python,1,1
simple_python_210,simple_python,1,1
simple_python_22,simple_python,1,1
simple_python_224,simple_python,1,1
simple_python_226,simple_python,1,1
simple_python_231,simple_python,1,1
simple_python_233,simple_python,1,1
simple_python_253,simple_python,1,1
simple_python_255,simple_python,1,1
simple_python_257,simple_python,1,1
simple_python_263,simple_python,1,1
simple_python_265,simple_python,1,1
simple_python_272,simple_python,1,1
simple_python_273,simple_python,1,1
simple_python_291,simple_python,1,1
simple_python_293,simple_python,1,1
simple_python_304,simple_python,1,1
simple_python_31,simple_python,1,1
simple_python_330,simple_python,1,1
simple_python_345,simple_python,1,1
simple_python_35,simple_python,0,1
simple_python_352,simple_python,1,1
simple_python_357,simple_python,1,1
simple_python_364,simple_python,1,1
simple_python_37,simple_python,1,1
simple_python_370,simple_python,0,0
simple_python_376,simple_python,1,1
simple_python_377,simple_python,1,1
simple_python_383,simple_python,1,0
simple_python_388,simple_python,1,1
simple_python_393,simple_python,1,1
simple_python_398,simple_python,1,1
simple_python_43,simple_python,1,1
simple_python_50,simple_python,1,1
simple_python_60,simple_python,1,1
simple_python_62,simple_python,1,1
simple_python_63,simple_python,1,1
simple_python_69,simple_python,1,1
simple_python_75,simple_python,1,1
simple_python_79,simple_python,1,1
simple_python_80,simple_python,1,1
simple_python_89,simple_python,1,1
simple_python_90,simple_python,1,1
simple_python_95,simple_python,1,1
