Warning: Permanently added '10.0.0.76' (ED25519) to the list of known hosts.
# RX580 soak start 2026-07-29T23:20:52+00:00 dur=1800s
# vbios=113-58085SHD1-M80 vram=8589934592
t_s,sclk_mhz,mclk_mhz,temp_c,fan_rpm,power_w,busy_pct,vram_used_mb,pcie
3,1150,300,53,3768,37.3,100,226,5.0GT/s,x16
13,1150,300,53,3768,34.0,40,228,5.0GT/s,x16
23,1150,1000,55,3768,36.2,27,226,5.0GT/s,x16
33,1150,1000,56,3768,40.0,27,229,5.0GT/s,x16
43,1150,2100,57,3768,41.1,21,230,5.0GT/s,x16
53,1150,2100,59,697,43.1,28,229,5.0GT/s,x16
63,1150,1000,58,825,42.1,34,228,5.0GT/s,x16
73,1150,1000,58,889,41.1,30,225,5.0GT/s,x16
83,1150,1000,58,831,42.1,28,225,5.0GT/s,x16
93,1150,2100,59,728,54.1,46,231,5.0GT/s,x16
103,1150,300,56,723,28.2,39,237,5.0GT/s,x16
113,1150,300,55,726,29.1,43,231,5.0GT/s,x16
123,1150,1000,58,758,48.1,36,236,5.0GT/s,x16
133,1150,2100,61,919,72.1,53,230,5.0GT/s,x16
143,1150,2100,57,1073,40.3,31,228,5.0GT/s,x16
153,1150,2100,61,966,66.1,73,236,5.0GT/s,x16
163,1150,1000,58,1079,45.1,41,240,5.0GT/s,x16
173,1150,300,52,921,18.2,74,239,5.0GT/s,x16
183,1150,300,54,738,35.2,99,228,5.0GT/s,x16
193,1150,300,51,756,18.1,46,226,5.0GT/s,x16
203,1150,300,52,729,27.2,39,245,5.0GT/s,x16
213,1150,2100,56,759,53.0,43,256,5.0GT/s,x16
223,1150,2100,61,915,82.0,97,291,5.0GT/s,x16
233,1150,1000,56,1034,39.2,35,284,5.0GT/s,x16
243,1150,2100,61,909,72.1,100,267,5.0GT/s,x16
253,1150,1000,55,1034,32.2,26,265,5.0GT/s,x16
263,1150,1000,54,858,37.1,26,260,5.0GT/s,x16
273,1150,1000,53,732,36.1,16,229,5.0GT/s,x16
283,1150,2100,53,829,35.0,19,229,5.0GT/s,x16
293,1150,1000,54,728,41.0,27,232,5.0GT/s,x16
303,1150,2100,54,726,41.1,28,229,5.0GT/s,x16
313,1150,2100,53,728,37.2,25,227,5.0GT/s,x16
323,1150,2100,53,727,37.0,24,229,5.0GT/s,x16
333,1150,300,53,724,38.0,100,229,5.0GT/s,x16
344,1150,1000,53,729,37.1,34,226,5.0GT/s,x16
354,1150,1000,53,726,37.2,28,229,5.0GT/s,x16
364,1150,2100,53,730,40.1,22,229,5.0GT/s,x16
374,1150,1000,54,724,39.1,16,231,5.0GT/s,x16
384,1150,2100,54,725,40.2,17,230,5.0GT/s,x16
394,1150,1000,54,724,40.2,35,228,5.0GT/s,x16
404,1150,1000,55,726,43.2,38,228,5.0GT/s,x16
414,1150,1000,55,724,41.0,31,228,5.0GT/s,x16
424,1150,2100,57,755,54.1,44,231,5.0GT/s,x16
434,1150,1000,54,781,32.1,24,235,5.0GT/s,x16
444,1150,300,53,724,31.1,34,234,5.0GT/s,x16
454,1150,1000,56,755,49.2,45,237,5.0GT/s,x16
464,1150,1000,60,915,71.2,55,231,5.0GT/s,x16
474,1150,2100,56,1080,42.2,21,233,5.0GT/s,x16
484,1150,2100,59,931,66.2,79,236,5.0GT/s,x16
494,1150,1000,57,1063,49.0,42,240,5.0GT/s,x16
504,1150,300,51,918,19.0,51,240,5.0GT/s,x16
514,1150,300,53,732,35.2,100,228,5.0GT/s,x16
524,1150,300,50,784,18.1,77,227,5.0GT/s,x16
534,1150,300,51,728,28.1,40,245,5.0GT/s,x16
544,1150,2100,56,763,54.2,42,256,5.0GT/s,x16
554,1150,2100,61,939,82.1,73,291,5.0GT/s,x16
564,1150,2100,55,1069,42.2,34,284,5.0GT/s,x16
574,1150,2100,61,922,72.2,87,267,5.0GT/s,x16
584,1150,1000,54,1032,33.1,42,265,5.0GT/s,x16
594,1150,300,53,894,34.1,46,263,5.0GT/s,x16
604,1150,1000,53,728,33.1,8,227,5.0GT/s,x16
614,1150,1000,53,725,34.2,24,229,5.0GT/s,x16
624,1150,1000,53,729,40.1,26,229,5.0GT/s,x16
634,1150,2100,53,723,38.2,23,229,5.0GT/s,x16
644,1150,1000,53,725,38.2,26,227,5.0GT/s,x16
654,1150,2100,54,731,40.2,24,229,5.0GT/s,x16
664,1150,300,53,724,37.3,100,229,5.0GT/s,x16
674,1150,1000,53,725,36.2,17,228,5.0GT/s,x16
684,1150,1000,53,728,37.0,32,227,5.0GT/s,x16
