type	ctx	chunks	status	mean_kld	kld_ci	median_kld	p999_kld	max_kld	ppl_q	ln_ratio	rms_dp	same_top_p	secs
f16	2048	32	OK	-0.000000	0.000000	0.000000	0.000051	0.000065	6.031433	0.000542	0.001	100.000	387
f16	8192	12	OK	-0.000000	0.000000	-0.000000	0.000050	0.000066	5.854192	0.000258	0.001	99.992	512
f16	16384	6	OK	0.000000	0.000000	0.000000	0.000051	0.000063	5.052809	0.000155	0.001	100.000	546
q8_0	2048	32	OK	0.001531	0.000037	0.000341	0.080004	0.365734	6.030953	0.000462	1.204	98.674	344
q8_0	8192	12	OK	0.001098	0.000028	0.000245	0.054109	0.934087	5.857284	0.000786	0.986	98.757	484
q8_0	16384	6	OK	0.001278	0.000025	0.000239	0.069881	0.359005	5.055155	0.000620	1.097	98.677	538
turbo8	2048	32	OK	0.001767	0.000065	0.000395	0.087316	1.104059	6.029722	0.000258	1.307	98.528	319
turbo8	8192	12	OK	0.001255	0.000062	0.000280	0.058316	2.781198	5.854723	0.000349	1.101	98.708	484
turbo8	16384	6	OK	0.001321	0.000024	0.000273	0.064899	0.520096	5.052871	0.000168	1.103	98.637	541
turbo4	2048	32	OK	0.007365	0.000290	0.002363	0.302965	7.911378	6.035988	0.001296	2.531	96.786	319
turbo4	8192	12	OK	0.005448	0.000106	0.001941	0.191882	2.846577	5.860298	0.001301	2.173	96.970	486
turbo4	16384	6	OK	0.006572	0.000239	0.001938	0.224115	10.473404	5.055774	0.000742	2.441	96.732	534
turbo3	2048	32	OK	0.015922	0.000355	0.005694	0.649648	4.377678	6.069293	0.006799	3.895	94.914	319
turbo3	8192	12	OK	0.012694	0.000179	0.004759	0.414119	3.213644	5.888928	0.006174	3.378	95.189	491
turbo3	16384	6	OK	0.014569	0.000283	0.004766	0.531605	10.297974	5.078656	0.005258	3.544	95.056	530
turbo2	2048	32	OK	0.042513	0.000744	0.016453	1.243717	13.814033	6.208053	0.029404	6.322	91.386	319
turbo2	8192	12	OK	0.038317	0.000502	0.015009	1.236571	7.708716	5.989540	0.023115	5.840	92.059	479
turbo2	16384	6	OK	0.042525	0.000536	0.014884	1.525624	5.723441	5.170346	0.023151	6.252	91.743	526
vbr	2048	32	OK	-0.000000	0.000000	0.000000	0.000051	0.000065	6.031433	0.000542	0.001	100.000	320
vbr	8192	12	OK	0.000008	0.000001	0.000000	0.001659	0.035019	5.854228	0.000264	0.078	99.988	484
vbr	16384	6	OK	0.000000	0.000000	0.000000	0.000051	0.000063	5.052809	0.000155	0.001	100.000	520
f16	32768	3	OK	0.000000	0.000000	0.000000	0.000052	0.000070	6.444489	0.000339	0.001	99.994	980
q8_0	32768	3	OK	0.001226	0.000026	0.000265	0.064762	0.437214	6.446118	0.000592	0.993	98.743	917
turbo8	32768	3	OK	0.001442	0.000029	0.000302	0.079244	0.417382	6.444952	0.000411	1.081	98.659	905
turbo4	32768	3	OK	0.006164	0.000088	0.002166	0.228859	1.034422	6.456460	0.002195	2.233	96.665	1022
turbo3	32768	3	OK	0.014356	0.000200	0.005439	0.453630	4.926282	6.480900	0.005973	3.497	95.025	935
turbo2	32768	3	OK	0.042812	0.000494	0.017067	1.308142	5.119826	6.612224	0.026034	6.019	91.086	963
vbr	32768	3	OK	0.000000	0.000000	0.000000	0.000052	0.000070	6.444489	0.000339	0.001	99.994	898
