# phase	boundary	cursor	tier_fnv	wm	used	mapped_bytes
prepare	1	0	f9dbd55202e74853	256	0	8912896
prepare	2	0	f9dbd55202e74853	512	0	17301504
prepare	3	0	f9dbd55202e74853	1024	512	34078720
prepare	4	0	f9dbd55202e74853	1536	1024	50855936
prepare	5	0	f9dbd55202e74853	2048	1536	67633152
prepare	6	0	f9dbd55202e74853	2560	2048	84410368
prepare	7	0	f9dbd55202e74853	3072	2560	101187584
prepare	8	0	f9dbd55202e74853	3584	3072	117964800
prepare	9	0	f9dbd55202e74853	4096	3584	134742016
prepare	10	0	f9dbd55202e74853	4608	4096	151519232
prepare	11	0	f9dbd55202e74853	5120	4608	168296448
prepare	12	0	f9dbd55202e74853	5632	5120	185073664
prepare	13	0	f9dbd55202e74853	6144	5632	201850880
prepare	14	0	f9dbd55202e74853	6656	6144	218628096
prepare	15	0	f9dbd55202e74853	7168	6656	235405312
prepare	16	0	f9dbd55202e74853	7680	7168	252182528
prepare	17	0	f9dbd55202e74853	8192	7680	268959744
prepare	18	0	f9dbd55202e74853	8704	8192	285736960
prepare	19	2	f9a8ca5202bbdc09	9216	8704	300417024
prepare	20	3	88e3beca24b247b4	9728	9216	298844160
prepare	21	5	84f480ada4d67d1c	10240	9728	303300608
prepare	22	6	5911df9a4e843ac5	10752	10240	298057728
prepare	23	8	97c903fa03950ecb	11264	10752	299892736
prepare	24	9	70de5e2c33c88d88	11776	11264	290979840
prepare	25	10	4aaf73549be2b221	12288	11776	291241984
prepare	26	11	4ddca74106b5e74c	12800	12288	290455552
prepare	27	11	4ddca74106b5e74c	13312	12800	289669120
prepare	28	12	2e674c4ab0cd5dc7	13824	13312	299630592
prepare	29	13	7215c8150a686db4	14336	13824	296222720
prepare	30	14	65f22e52c49ef8bd	14848	14336	291766272
prepare	31	14	65f22e52c49ef8bd	15360	14848	287309824
prepare	32	15	0d3a767d05265c32	15872	15360	295698432
prepare	33	15	0d3a767d05265c32	16384	15872	289669120
prepare	34	16	6481b7031c718c43	16896	16384	301465600
prepare	35	17	0fbaae1fc6bc8d47	17408	16896	293601280
prepare	36	18	a8a2aa1f8c95d443	17920	17408	292814848
prepare	37	19	92cc41e9ada46c57	18432	17920	291504128
prepare	38	19	92cc41e9ada46c57	18944	18432	290193408
prepare	39	20	fc04e64981029c1b	19456	18944	297271296
prepare	40	21	ec06ce6c3b755d37	19968	19456	294649856
prepare	41	22	a35b1adea75079db	20480	19968	291504128
prepare	42	22	a35b1adea75079db	20992	20480	288358400
prepare	43	23	3544db27b515142f	21504	20992	294649856
prepare	44	24	5e6092d2b7fcb64b	22016	21504	290193408
prepare	45	24	5e6092d2b7fcb64b	22528	22016	285736960
prepare	46	25	aeb8df1945aeb4af	23040	22528	291504128
prepare	47	25	aeb8df1945aeb4af	23552	23040	286261248
prepare	48	26	aefcd71945e873e3	24064	23552	291766272
prepare	49	26	aefcd71945e873e3	24576	24064	285736960
prepare	50	27	8c692ccf1f7866f7	25088	24576	290979840
prepare	51	27	8c692ccf1f7866f7	25600	25088	284164096
prepare	52	27	8c692ccf1f7866f7	26112	25600	289669120
prepare	53	28	068e64ac43a7fdbb	26624	26112	294649856
prepare	54	28	068e64ac43a7fdbb	27136	26624	286785536
prepare	55	29	e2c5a320ad5120f7	27648	27136	291504128
prepare	56	29	e2c5a320ad5120f7	28160	27648	282853376
prepare	57	29	e2c5a320ad5120f7	28672	28160	287834112
prepare	58	30	cd56d0ec8d0f325b	29184	28672	292290560
prepare	59	30	cd56d0ec8d0f325b	29696	29184	282591232
prepare	60	30	cd56d0ec8d0f325b	30208	29696	287309824
prepare	61	31	e3cddf0cd7f600b7	30720	30208	291504128
prepare	62	31	e3cddf0cd7f600b7	31232	30720	280756224
prepare	63	31	e3cddf0cd7f600b7	31744	31232	285212672
prepare	64	31	e3cddf0cd7f600b7	32256	31744	289669120
prepare	65	32	e3cde30cd7f60783	32768	32256	293601280
prepare	66	0	f9dbd55202e74853	512	0	17301504
prepare	67	0	f9dbd55202e74853	1024	512	34078720
prepare	68	0	f9dbd55202e74853	1536	1024	50855936
prepare	69	0	f9dbd55202e74853	2048	1536	67633152
prepare	70	0	f9dbd55202e74853	2560	2048	84410368
prepare	71	0	f9dbd55202e74853	3072	2560	101187584
prepare	72	0	f9dbd55202e74853	3584	3072	117964800
prepare	73	0	f9dbd55202e74853	4096	3584	134742016
prepare	74	0	f9dbd55202e74853	4608	4096	151519232
prepare	75	0	f9dbd55202e74853	5120	4608	168296448
prepare	76	0	f9dbd55202e74853	5632	5120	185073664
prepare	77	0	f9dbd55202e74853	6144	5632	201850880
prepare	78	0	f9dbd55202e74853	6656	6144	218628096
prepare	79	0	f9dbd55202e74853	7168	6656	235405312
prepare	80	0	f9dbd55202e74853	7680	7168	252182528
prepare	81	0	f9dbd55202e74853	8192	7680	268959744
prepare	82	0	f9dbd55202e74853	8704	8192	285736960
prepare	83	2	f9a8ca5202bbdc09	9216	8704	300417024
prepare	84	3	88e3beca24b247b4	9728	9216	298844160
prepare	85	5	84f480ada4d67d1c	10240	9728	303300608
prepare	86	6	5911df9a4e843ac5	10752	10240	298057728
prepare	87	8	97c903fa03950ecb	11264	10752	299892736
prepare	88	9	70de5e2c33c88d88	11776	11264	290979840
prepare	89	10	4aaf73549be2b221	12288	11776	291241984
prepare	90	11	4ddca74106b5e74c	12800	12288	290455552
prepare	91	11	4ddca74106b5e74c	13312	12800	289669120
prepare	92	12	2e674c4ab0cd5dc7	13824	13312	299630592
prepare	93	13	7215c8150a686db4	14336	13824	296222720
prepare	94	14	65f22e52c49ef8bd	14848	14336	291766272
prepare	95	14	65f22e52c49ef8bd	15360	14848	287309824
prepare	96	15	0d3a767d05265c32	15872	15360	295698432
prepare	97	15	0d3a767d05265c32	16384	15872	289669120
prepare	98	16	6481b7031c718c43	16896	16384	301465600
prepare	99	17	0fbaae1fc6bc8d47	17408	16896	293601280
prepare	100	18	a8a2aa1f8c95d443	17920	17408	292814848
prepare	101	19	92cc41e9ada46c57	18432	17920	291504128
prepare	102	19	92cc41e9ada46c57	18944	18432	290193408
prepare	103	20	fc04e64981029c1b	19456	18944	297271296
prepare	104	21	ec06ce6c3b755d37	19968	19456	294649856
prepare	105	22	a35b1adea75079db	20480	19968	291504128
prepare	106	22	a35b1adea75079db	20992	20480	288358400
prepare	107	23	3544db27b515142f	21504	20992	294649856
prepare	108	24	5e6092d2b7fcb64b	22016	21504	290193408
prepare	109	24	5e6092d2b7fcb64b	22528	22016	285736960
prepare	110	25	aeb8df1945aeb4af	23040	22528	291504128
prepare	111	25	aeb8df1945aeb4af	23552	23040	286261248
prepare	112	26	aefcd71945e873e3	24064	23552	291766272
