# phase	boundary	cursor	tier_fnv	wm	used	mapped_bytes
prepare	1	0	f9dbd55202e74853	256	0	8912896
prepare	2	0	f9dbd55202e74853	512	0	17301504
prepare	3	0	f9dbd55202e74853	1024	512	34078720
prepare	4	0	f9dbd55202e74853	1536	1024	50855936
prepare	5	0	f9dbd55202e74853	2048	1536	67633152
prepare	6	0	f9dbd55202e74853	2560	2048	84410368
prepare	7	0	f9dbd55202e74853	3072	2560	101187584
prepare	8	0	f9dbd55202e74853	3584	3072	117964800
prepare	9	0	f9dbd55202e74853	4096	3584	134742016
prepare	10	0	f9dbd55202e74853	4608	4096	151519232
prepare	11	0	f9dbd55202e74853	5120	4608	168296448
prepare	12	0	f9dbd55202e74853	5632	5120	185073664
prepare	13	0	f9dbd55202e74853	6144	5632	201850880
prepare	14	0	f9dbd55202e74853	6656	6144	218628096
prepare	15	0	f9dbd55202e74853	7168	6656	235405312
prepare	16	0	f9dbd55202e74853	7680	7168	252182528
prepare	17	0	f9dbd55202e74853	8192	7680	268959744
prepare	18	0	f9dbd55202e74853	8704	8192	285736960
prepare	19	1	f9a8d95202bbf586	9216	8704	301465600
prepare	20	2	f9a8ca5202bbdc09	9728	9216	308543488
prepare	21	4	f29fa9c93ed3508f	10240	9728	313524224
prepare	22	5	84f480ada4d67d1c	10752	10240	308805632
prepare	23	6	5911df9a4e843ac5	11264	10752	312213504
prepare	24	8	97c903fa03950ecb	11776	11264	313524224
prepare	25	9	70de5e2c33c88d88	12288	11776	303562752
prepare	26	10	4aaf73549be2b221	12800	12288	303300608
prepare	27	11	4ddca74106b5e74c	13312	12800	301989888
prepare	28	11	4ddca74106b5e74c	13824	13312	300679168
prepare	29	12	2e674c4ab0cd5dc7	14336	13824	310640640
prepare	30	13	7215c8150a686db4	14848	14336	306708480
prepare	31	14	65f22e52c49ef8bd	15360	14848	301727744
prepare	32	14	65f22e52c49ef8bd	15872	15360	296747008
prepare	33	15	0d3a767d05265c32	16384	15872	305135616
prepare	34	16	6481b7031c718c43	16896	16384	301465600
prepare	35	16	6481b7031c718c43	17408	16896	294125568
prepare	36	17	0fbaae1fc6bc8d47	17920	17408	301989888
prepare	37	17	0fbaae1fc6bc8d47	18432	17920	301465600
prepare	38	18	a8a2aa1f8c95d443	18944	18432	309067776
prepare	39	19	92cc41e9ada46c57	19456	18944	307232768
prepare	40	20	fc04e64981029c1b	19968	19456	304873472
prepare	41	21	ec06ce6c3b755d37	20480	19968	301989888
prepare	42	21	ec06ce6c3b755d37	20992	20480	299106304
prepare	43	22	a35b1adea75079db	21504	20992	305659904
prepare	44	22	a35b1adea75079db	22016	21504	301989888
prepare	45	23	3544db27b515142f	22528	22016	308281344
prepare	46	24	5e6092d2b7fcb64b	23040	22528	303300608
prepare	47	24	5e6092d2b7fcb64b	23552	23040	298319872
prepare	48	25	aeb8df1945aeb4af	24064	23552	304087040
prepare	49	25	aeb8df1945aeb4af	24576	24064	298319872
prepare	50	26	aefcd71945e873e3	25088	24576	303824896
prepare	51	26	aefcd71945e873e3	25600	25088	297271296
prepare	52	27	8c692ccf1f7866f7	26112	25600	302514176
prepare	53	27	8c692ccf1f7866f7	26624	26112	295174144
prepare	54	27	8c692ccf1f7866f7	27136	26624	300679168
prepare	55	28	068e64ac43a7fdbb	27648	27136	305659904
prepare	56	28	068e64ac43a7fdbb	28160	27648	297271296
prepare	57	29	e2c5a320ad5120f7	28672	28160	301989888
prepare	58	29	e2c5a320ad5120f7	29184	28672	292814848
prepare	59	29	e2c5a320ad5120f7	29696	29184	297795584
prepare	60	30	cd56d0ec8d0f325b	30208	29696	302252032
prepare	61	30	cd56d0ec8d0f325b	30720	30208	292028416
prepare	62	30	cd56d0ec8d0f325b	31232	30720	296747008
prepare	63	30	cd56d0ec8d0f325b	31744	31232	301465600
prepare	64	31	e3cddf0cd7f600b7	32256	31744	305659904
prepare	65	31	e3cddf0cd7f600b7	32768	32256	294125568
prepare	66	0	f9dbd55202e74853	512	0	17301504
prepare	67	0	f9dbd55202e74853	1024	512	34078720
prepare	68	0	f9dbd55202e74853	1536	1024	50855936
prepare	69	0	f9dbd55202e74853	2048	1536	67633152
prepare	70	0	f9dbd55202e74853	2560	2048	84410368
prepare	71	0	f9dbd55202e74853	3072	2560	101187584
prepare	72	0	f9dbd55202e74853	3584	3072	117964800
prepare	73	0	f9dbd55202e74853	4096	3584	134742016
prepare	74	0	f9dbd55202e74853	4608	4096	151519232
prepare	75	0	f9dbd55202e74853	5120	4608	168296448
prepare	76	0	f9dbd55202e74853	5632	5120	185073664
prepare	77	0	f9dbd55202e74853	6144	5632	201850880
prepare	78	0	f9dbd55202e74853	6656	6144	218628096
prepare	79	0	f9dbd55202e74853	7168	6656	235405312
prepare	80	0	f9dbd55202e74853	7680	7168	252182528
prepare	81	0	f9dbd55202e74853	8192	7680	268959744
prepare	82	0	f9dbd55202e74853	8704	8192	285736960
prepare	83	1	f9a8d95202bbf586	9216	8704	301465600
prepare	84	2	f9a8ca5202bbdc09	9728	9216	308543488
prepare	85	4	f29fa9c93ed3508f	10240	9728	313524224
prepare	86	5	84f480ada4d67d1c	10752	10240	308805632
prepare	87	6	5911df9a4e843ac5	11264	10752	312213504
prepare	88	8	97c903fa03950ecb	11776	11264	313524224
prepare	89	9	70de5e2c33c88d88	12288	11776	303562752
prepare	90	10	4aaf73549be2b221	12800	12288	303300608
prepare	91	11	4ddca74106b5e74c	13312	12800	301989888
prepare	92	11	4ddca74106b5e74c	13824	13312	300679168
prepare	93	12	2e674c4ab0cd5dc7	14336	13824	310640640
prepare	94	13	7215c8150a686db4	14848	14336	306708480
prepare	95	14	65f22e52c49ef8bd	15360	14848	301727744
prepare	96	14	65f22e52c49ef8bd	15872	15360	296747008
prepare	97	15	0d3a767d05265c32	16384	15872	305135616
prepare	98	16	6481b7031c718c43	16896	16384	301465600
prepare	99	16	6481b7031c718c43	17408	16896	294125568
prepare	100	17	0fbaae1fc6bc8d47	17920	17408	301989888
prepare	101	17	0fbaae1fc6bc8d47	18432	17920	301465600
prepare	102	18	a8a2aa1f8c95d443	18944	18432	309067776
prepare	103	19	92cc41e9ada46c57	19456	18944	307232768
prepare	104	20	fc04e64981029c1b	19968	19456	304873472
prepare	105	21	ec06ce6c3b755d37	20480	19968	301989888
prepare	106	21	ec06ce6c3b755d37	20992	20480	299106304
prepare	107	22	a35b1adea75079db	21504	20992	305659904
prepare	108	22	a35b1adea75079db	22016	21504	301989888
prepare	109	23	3544db27b515142f	22528	22016	308281344
prepare	110	24	5e6092d2b7fcb64b	23040	22528	303300608
prepare	111	24	5e6092d2b7fcb64b	23552	23040	298319872
prepare	112	25	aeb8df1945aeb4af	24064	23552	304087040
