# phase	boundary	cursor	tier_fnv	wm	used	mapped_bytes
prepare	1	0	f9dbd55202e74853	256	0	8912896
prepare	2	0	f9dbd55202e74853	512	0	17301504
prepare	3	0	f9dbd55202e74853	1024	512	34078720
prepare	4	0	f9dbd55202e74853	1536	1024	50855936
prepare	5	0	f9dbd55202e74853	2048	1536	67633152
prepare	6	0	f9dbd55202e74853	2560	2048	84410368
prepare	7	0	f9dbd55202e74853	3072	2560	101187584
prepare	8	0	f9dbd55202e74853	3584	3072	117964800
prepare	9	0	f9dbd55202e74853	4096	3584	134742016
prepare	10	0	f9dbd55202e74853	4608	4096	151519232
prepare	11	0	f9dbd55202e74853	5120	4608	168296448
prepare	12	0	f9dbd55202e74853	5632	5120	185073664
prepare	13	0	f9dbd55202e74853	6144	5632	201850880
prepare	14	0	f9dbd55202e74853	6656	6144	218628096
prepare	15	0	f9dbd55202e74853	7168	6656	235405312
prepare	16	0	f9dbd55202e74853	7680	7168	252182528
prepare	17	0	f9dbd55202e74853	8192	7680	268959744
prepare	18	0	f9dbd55202e74853	8704	8192	285736960
prepare	19	0	f9dbd55202e74853	9216	8704	302514176
prepare	20	0	f9dbd55202e74853	9728	9216	319291392
prepare	21	0	f9dbd55202e74853	10240	9728	336068608
prepare	22	0	f9dbd55202e74853	10752	10240	352845824
prepare	23	0	f9dbd55202e74853	11264	10752	369623040
prepare	24	0	f9dbd55202e74853	11776	11264	386400256
prepare	25	0	f9dbd55202e74853	12288	11776	403177472
prepare	26	0	f9dbd55202e74853	12800	12288	419954688
prepare	27	0	f9dbd55202e74853	13312	12800	436731904
prepare	28	0	f9dbd55202e74853	13824	13312	453509120
prepare	29	0	f9dbd55202e74853	14336	13824	470286336
prepare	30	0	f9dbd55202e74853	14848	14336	487063552
prepare	31	0	f9dbd55202e74853	15360	14848	503840768
prepare	32	0	f9dbd55202e74853	15872	15360	520617984
prepare	33	0	f9dbd55202e74853	16384	15872	537395200
prepare	34	0	f9dbd55202e74853	16896	16384	554172416
prepare	35	0	f9dbd55202e74853	17408	16896	570949632
prepare	36	0	f9dbd55202e74853	17920	17408	587726848
prepare	37	0	f9dbd55202e74853	18432	17920	604504064
prepare	38	0	f9dbd55202e74853	18944	18432	621281280
prepare	39	0	f9dbd55202e74853	19456	18944	638058496
prepare	40	0	f9dbd55202e74853	19968	19456	654835712
prepare	41	0	f9dbd55202e74853	20480	19968	671612928
prepare	42	0	f9dbd55202e74853	20992	20480	688390144
prepare	43	0	f9dbd55202e74853	21504	20992	705167360
prepare	44	0	f9dbd55202e74853	22016	21504	721944576
prepare	45	0	f9dbd55202e74853	22528	22016	738721792
prepare	46	0	f9dbd55202e74853	23040	22528	755499008
prepare	47	0	f9dbd55202e74853	23552	23040	772276224
prepare	48	0	f9dbd55202e74853	24064	23552	789053440
prepare	49	1	f9a8d95202bbf586	24576	24064	804782080
prepare	50	1	f9a8d95202bbf586	25088	24576	797442048
prepare	51	2	f9a8ca5202bbdc09	25600	25088	812646400
prepare	52	2	f9a8ca5202bbdc09	26112	25600	803733504
prepare	53	3	88e3beca24b247b4	26624	26112	818413568
prepare	54	4	f29fa9c93ed3508f	27136	26624	806879232
prepare	55	4	f29fa9c93ed3508f	27648	27136	795344896
prepare	56	5	84f480ada4d67d1c	28160	27648	808976384
prepare	57	5	84f480ada4d67d1c	28672	28160	795869184
prepare	58	6	5911df9a4e843ac5	29184	28672	808976384
prepare	59	6	5911df9a4e843ac5	29696	29184	794296320
prepare	60	7	be74b215c728629a	30208	29696	806879232
prepare	61	7	be74b215c728629a	30720	30208	790626304
prepare	62	7	be74b215c728629a	31232	30720	803733504
prepare	63	8	97c903fa03950ecb	31744	31232	815792128
prepare	64	8	97c903fa03950ecb	32256	31744	797442048
prepare	65	9	70de5e2c33c88d88	32768	32256	808976384
prepare	66	0	f9dbd55202e74853	512	0	17301504
prepare	67	0	f9dbd55202e74853	1024	512	34078720
prepare	68	0	f9dbd55202e74853	1536	1024	50855936
prepare	69	0	f9dbd55202e74853	2048	1536	67633152
prepare	70	0	f9dbd55202e74853	2560	2048	84410368
prepare	71	0	f9dbd55202e74853	3072	2560	101187584
prepare	72	0	f9dbd55202e74853	3584	3072	117964800
prepare	73	0	f9dbd55202e74853	4096	3584	134742016
prepare	74	0	f9dbd55202e74853	4608	4096	151519232
prepare	75	0	f9dbd55202e74853	5120	4608	168296448
prepare	76	0	f9dbd55202e74853	5632	5120	185073664
prepare	77	0	f9dbd55202e74853	6144	5632	201850880
prepare	78	0	f9dbd55202e74853	6656	6144	218628096
prepare	79	0	f9dbd55202e74853	7168	6656	235405312
prepare	80	0	f9dbd55202e74853	7680	7168	252182528
prepare	81	0	f9dbd55202e74853	8192	7680	268959744
prepare	82	0	f9dbd55202e74853	8704	8192	285736960
prepare	83	0	f9dbd55202e74853	9216	8704	302514176
prepare	84	0	f9dbd55202e74853	9728	9216	319291392
prepare	85	0	f9dbd55202e74853	10240	9728	336068608
prepare	86	0	f9dbd55202e74853	10752	10240	352845824
prepare	87	0	f9dbd55202e74853	11264	10752	369623040
prepare	88	0	f9dbd55202e74853	11776	11264	386400256
prepare	89	0	f9dbd55202e74853	12288	11776	403177472
prepare	90	0	f9dbd55202e74853	12800	12288	419954688
prepare	91	0	f9dbd55202e74853	13312	12800	436731904
prepare	92	0	f9dbd55202e74853	13824	13312	453509120
prepare	93	0	f9dbd55202e74853	14336	13824	470286336
prepare	94	0	f9dbd55202e74853	14848	14336	487063552
prepare	95	0	f9dbd55202e74853	15360	14848	503840768
prepare	96	0	f9dbd55202e74853	15872	15360	520617984
prepare	97	0	f9dbd55202e74853	16384	15872	537395200
prepare	98	0	f9dbd55202e74853	16896	16384	554172416
prepare	99	0	f9dbd55202e74853	17408	16896	570949632
prepare	100	0	f9dbd55202e74853	17920	17408	587726848
prepare	101	0	f9dbd55202e74853	18432	17920	604504064
prepare	102	0	f9dbd55202e74853	18944	18432	621281280
prepare	103	0	f9dbd55202e74853	19456	18944	638058496
prepare	104	0	f9dbd55202e74853	19968	19456	654835712
prepare	105	0	f9dbd55202e74853	20480	19968	671612928
prepare	106	0	f9dbd55202e74853	20992	20480	688390144
prepare	107	0	f9dbd55202e74853	21504	20992	705167360
prepare	108	0	f9dbd55202e74853	22016	21504	721944576
prepare	109	0	f9dbd55202e74853	22528	22016	738721792
prepare	110	0	f9dbd55202e74853	23040	22528	755499008
prepare	111	0	f9dbd55202e74853	23552	23040	772276224
prepare	112	0	f9dbd55202e74853	24064	23552	789053440
prepare	113	1	f9a8d95202bbf586	24576	24064	804782080
prepare	114	1	f9a8d95202bbf586	25088	24576	797442048
prepare	115	2	f9a8ca5202bbdc09	25600	25088	812646400
