### U5 FIDELITY — gfx1201, plain-Q8_0.gguf, teacher-forced vs f16/f16  2026-08-18T10:13:47-04:00
### tool: buun-quality-bench frontier-hazard | 16 prompts, n_prefix 128, n_score 128

K/V              flip_rate  mean_KL    mean_R     mean_L     frac_L>=1 
f16/f16          0.0000     0.00000    0.0000     0.0000     0.0000    
q8_0/q8_0        0.0148     0.00061    10.4820    0.0332     0.0143    
q4_0/q4_0        0.0364     0.00509    89.5338    0.1543     0.0340    
turbo2/turbo2    0.1240     0.05160    817.2947   0.4491     0.1073    
turbo3/turbo3    0.0674     0.01351    228.4426   -0.0146    0.0620    
turbo4/turbo4    0.0359     0.00423    68.1421    0.0920     0.0344    
q8_0/turbo4      0.0315     0.00273    45.1692    0.0166     0.0310    
turbo3/q8_0      0.0482     0.00584    76.4326    0.0927     0.0433    

### U5 DONE 2026-08-18T10:16:24-04:00
