### U5e v2 LOAD-ONLY KV SIZE - .194 sm_60, buun 02f8581, 2026-08-18T17:05:28+00:00
### n_ctx = n_prefix + 8. Reported size is the QUANT context (2nd occurrence), summed over devices.
K/V            n_ctx    quant_MiB      bytes/token    bits/value  
f16/f16        512      32.00          65536.00       2.000       
f16/f16        4096     256.00         65536.00       2.000       
f16/f16        16384    1024.00        65536.00       2.000       
q8_0/q8_0      512      17.00          34816.00       1.062       
q8_0/q8_0      4096     136.00         34816.00       1.062       
q8_0/q8_0      16384    544.00         34816.00       1.062       
turbo8/turbo8  512      16.37          33525.76       1.023       
turbo8/turbo8  4096     130.12         33310.72       1.016       
turbo8/turbo8  16384    520.12         33287.68       1.015       
q4_0/q4_0      512      9.00           18432.00       .562        
q4_0/q4_0      4096     72.00          18432.00       .562        
q4_0/q4_0      16384    288.00         18432.00       .562        
turbo4/turbo4  512      8.37           17141.76       .523        
turbo4/turbo4  4096     66.12          16926.72       .516        
turbo4/turbo4  16384    264.12         16903.68       .515        
turbo3/turbo3  512      7.13           14602.24       .445        
turbo3/turbo3  4096     56.12          14366.72       .438        
turbo3/turbo3  16384    224.12         14343.68       .437        
turbo2/turbo2  512      5.13           10506.24       .320        
turbo2/turbo2  4096     40.12          10270.72       .313        
turbo2/turbo2  16384    160.12         10247.68       .312        
### U5e DONE 2026-08-18T17:08:10+00:00
