0.00.057.543 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.058.208 W srv  llama_server: -----------------
0.00.058.211 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.058.212 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.058.212 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.058.213 W srv  llama_server: -----------------
0.00.059.690 I srv    load_model: loading model '~/AI/Models/ladder/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.04.131.978 I cmn          init: llama threadpool init, n_threads = 20
0.04.428.025 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'true'
0.04.446.129 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.446.226 I srv  llama_server: model loaded
0.04.446.248 I srv  llama_server: listening on http://0.0.0.0:8097
0.05.193.911 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.194.024 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.13.735.210 I slot print_timing: id  0 | task 0 | prompt eval time =    3184.70 ms /   128 tokens (   24.88 ms per token,    40.19 tokens per second)
0.13.735.217 I slot print_timing: id  0 | task 0 |        eval time =    5356.39 ms /    80 tokens (   67.80 ms per token,    14.75 tokens per second)
0.13.735.219 I slot print_timing: id  0 | task 0 |       total time =    8541.08 ms /   208 tokens
0.13.735.233 I slot print_timing: id  0 | task 0 |    graphs reused =         79
0.13.735.439 I slot      release: id  0 | task 0 | stop processing: n_tokens = 207, truncated = 0
0.13.924.515 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.618
0.13.924.612 I slot launch_slot_: id  0 | task 83 | processing task, is_child = 0
0.19.649.189 I slot print_timing: id  0 | task 83 | prompt eval time =     371.98 ms /     4 tokens (   92.99 ms per token,    10.75 tokens per second)
0.19.649.196 I slot print_timing: id  0 | task 83 |        eval time =    5352.55 ms /    80 tokens (   67.75 ms per token,    14.76 tokens per second)
0.19.649.198 I slot print_timing: id  0 | task 83 |       total time =    5724.53 ms /    84 tokens
0.19.649.199 I slot print_timing: id  0 | task 83 |    graphs reused =        157
0.19.649.243 I slot      release: id  0 | task 83 | stop processing: n_tokens = 207, truncated = 0
0.19.835.659 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.618
0.19.835.741 I slot launch_slot_: id  0 | task 164 | processing task, is_child = 0
0.25.500.275 I slot print_timing: id  0 | task 164 | prompt eval time =     309.71 ms /     4 tokens (   77.43 ms per token,    12.92 tokens per second)
0.25.500.299 I slot print_timing: id  0 | task 164 |        eval time =    5354.77 ms /    80 tokens (   67.78 ms per token,    14.75 tokens per second)
0.25.500.300 I slot print_timing: id  0 | task 164 |       total time =    5664.49 ms /    84 tokens
0.25.500.302 I slot print_timing: id  0 | task 164 |    graphs reused =        235
0.25.500.497 I slot      release: id  0 | task 164 | stop processing: n_tokens = 207, truncated = 0
0.25.730.207 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.333 (> 0.100 thold), f_keep = 0.217
0.26.196.146 I slot launch_slot_: id  0 | task 245 | processing task, is_child = 0
0.34.916.133 I slot print_timing: id  0 | task 245 | n_gen =    100, tg =  14.75 t/s, tg_3s =  14.90 t/s
0.37.968.921 I slot print_timing: id  0 | task 245 | n_gen =    145, tg =  14.75 t/s, tg_3s =  14.74 t/s
0.39.661.617 I slot print_timing: id  0 | task 245 | prompt eval time =    2010.11 ms /    93 tokens (   21.61 ms per token,    46.27 tokens per second)
0.39.661.625 I slot print_timing: id  0 | task 245 |        eval time =   11455.32 ms /   170 tokens (   67.78 ms per token,    14.75 tokens per second)
0.39.661.627 I slot print_timing: id  0 | task 245 |       total time =   13465.42 ms /   263 tokens
0.39.661.629 I slot print_timing: id  0 | task 245 |    graphs reused =        402
0.39.661.772 I slot      release: id  0 | task 245 | stop processing: n_tokens = 304, truncated = 0
0.39.887.266 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.444
0.40.436.198 I slot launch_slot_: id  0 | task 417 | processing task, is_child = 0
0.47.466.772 I slot print_timing: id  0 | task 417 | n_gen =    100, tg =  14.75 t/s, tg_3s =  14.90 t/s
0.50.522.283 I slot print_timing: id  0 | task 417 | n_gen =    145, tg =  14.74 t/s, tg_3s =  14.73 t/s
0.51.877.103 I slot print_timing: id  0 | task 417 | prompt eval time =     316.87 ms /     4 tokens (   79.22 ms per token,    12.62 tokens per second)
0.51.877.111 I slot print_timing: id  0 | task 417 |        eval time =   11124.00 ms /   165 tokens (   67.83 ms per token,    14.74 tokens per second)
0.51.877.113 I slot print_timing: id  0 | task 417 |       total time =   11440.87 ms /   169 tokens
0.51.877.114 I slot print_timing: id  0 | task 417 |    graphs reused =        564
0.51.877.258 I slot      release: id  0 | task 417 | stop processing: n_tokens = 299, truncated = 0
0.52.095.060 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.452
0.52.632.837 I slot launch_slot_: id  0 | task 583 | processing task, is_child = 0
0.59.646.270 I slot print_timing: id  0 | task 583 | n_gen =    100, tg =  14.76 t/s, tg_3s =  14.91 t/s
1.02.695.638 I slot print_timing: id  0 | task 583 | n_gen =    145, tg =  14.76 t/s, tg_3s =  14.76 t/s
1.04.385.900 I slot print_timing: id  0 | task 583 | prompt eval time =     307.36 ms /     4 tokens (   76.84 ms per token,    13.01 tokens per second)
1.04.385.908 I slot print_timing: id  0 | task 583 |        eval time =   11445.66 ms /   170 tokens (   67.73 ms per token,    14.77 tokens per second)
1.04.385.909 I slot print_timing: id  0 | task 583 |       total time =   11753.02 ms /   174 tokens
1.04.385.911 I slot print_timing: id  0 | task 583 |    graphs reused =        731
1.04.385.972 I slot      release: id  0 | task 583 | stop processing: n_tokens = 304, truncated = 0
1.04.611.051 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.357 (> 0.100 thold), f_keep = 0.148
1.04.611.224 I slot launch_slot_: id  0 | task 754 | processing task, is_child = 0
1.13.321.857 I slot print_timing: id  0 | task 754 | n_gen =    100, tg =  14.76 t/s, tg_3s =  14.91 t/s
1.16.376.031 I slot print_timing: id  0 | task 754 | n_gen =    145, tg =  14.75 t/s, tg_3s =  14.73 t/s
1.19.421.013 I slot print_timing: id  0 | task 754 | n_gen =    190, tg =  14.76 t/s, tg_3s =  14.78 t/s
1.22.470.550 I slot print_timing: id  0 | task 754 | n_gen =    235, tg =  14.76 t/s, tg_3s =  14.76 t/s
1.25.516.206 I slot print_timing: id  0 | task 754 | n_gen =    280, tg =  14.76 t/s, tg_3s =  14.78 t/s
1.25.922.953 I slot print_timing: id  0 | task 754 | prompt eval time =    2003.50 ms /    84 tokens (   23.85 ms per token,    41.93 tokens per second)
1.25.922.961 I slot print_timing: id  0 | task 754 |        eval time =   19308.20 ms /   286 tokens (   67.75 ms per token,    14.76 tokens per second)
1.25.922.962 I slot print_timing: id  0 | task 754 |       total time =   21311.70 ms /   370 tokens
1.25.922.964 I slot print_timing: id  0 | task 754 |    graphs reused =       1014
1.25.923.101 I slot      release: id  0 | task 754 | stop processing: n_tokens = 411, truncated = 0
1.26.149.437 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.307
1.26.707.761 I slot launch_slot_: id  0 | task 1042 | processing task, is_child = 0
1.33.729.544 I slot print_timing: id  0 | task 1042 | n_gen =    100, tg =  14.77 t/s, tg_3s =  14.91 t/s
1.36.779.775 I slot print_timing: id  0 | task 1042 | n_gen =    145, tg =  14.76 t/s, tg_3s =  14.75 t/s
1.39.826.923 I slot print_timing: id  0 | task 1042 | n_gen =    190, tg =  14.76 t/s, tg_3s =  14.77 t/s
1.42.872.361 I slot print_timing: id  0 | task 1042 | n_gen =    235, tg =  14.77 t/s, tg_3s =  14.78 t/s
1.45.444.640 I slot print_timing: id  0 | task 1042 | prompt eval time =     316.80 ms /     4 tokens (   79.20 ms per token,    12.63 tokens per second)
1.45.444.648 I slot print_timing: id  0 | task 1042 |        eval time =   18420.04 ms /   273 tokens (   67.72 ms per token,    14.77 tokens per second)
1.45.444.650 I slot print_timing: id  0 | task 1042 |       total time =   18736.84 ms /   277 tokens
1.45.444.651 I slot print_timing: id  0 | task 1042 |    graphs reused =       1284
1.45.444.821 I slot      release: id  0 | task 1042 | stop processing: n_tokens = 398, truncated = 0
1.45.674.672 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.317
1.46.223.023 I slot launch_slot_: id  0 | task 1316 | processing task, is_child = 0
1.53.240.276 I slot print_timing: id  0 | task 1316 | n_gen =    100, tg =  14.76 t/s, tg_3s =  14.91 t/s
1.56.293.660 I slot print_timing: id  0 | task 1316 | n_gen =    145, tg =  14.76 t/s, tg_3s =  14.74 t/s
1.59.342.273 I slot print_timing: id  0 | task 1316 | n_gen =    190, tg =  14.76 t/s, tg_3s =  14.76 t/s
2.02.386.932 I slot print_timing: id  0 | task 1316 | n_gen =    235, tg =  14.76 t/s, tg_3s =  14.78 t/s
2.04.689.338 I slot print_timing: id  0 | task 1316 | prompt eval time =     312.09 ms /     4 tokens (   78.02 ms per token,    12.82 tokens per second)
2.04.689.346 I slot print_timing: id  0 | task 1316 |        eval time =   18154.15 ms /   269 tokens (   67.74 ms per token,    14.76 tokens per second)
2.04.689.347 I slot print_timing: id  0 | task 1316 |       total time =   18466.24 ms /   273 tokens
2.04.689.349 I slot print_timing: id  0 | task 1316 |    graphs reused =       1550
2.04.689.395 I slot      release: id  0 | task 1316 | stop processing: n_tokens = 394, truncated = 0
2.04.910.094 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.360 (> 0.100 thold), f_keep = 0.114
2.05.452.963 I slot launch_slot_: id  0 | task 1586 | processing task, is_child = 0
2.14.168.746 I slot print_timing: id  0 | task 1586 | n_gen =    100, tg =  14.75 t/s, tg_3s =  14.90 t/s
2.16.542.912 I slot print_timing: id  0 | task 1586 | prompt eval time =    2003.27 ms /    83 tokens (   24.14 ms per token,    41.43 tokens per second)
2.16.542.920 I slot print_timing: id  0 | task 1586 |        eval time =    9086.64 ms /   135 tokens (   67.81 ms per token,    14.75 tokens per second)
2.16.542.922 I slot print_timing: id  0 | task 1586 |       total time =   11089.91 ms /   218 tokens
2.16.542.923 I slot print_timing: id  0 | task 1586 |    graphs reused =       1682
2.16.542.965 I slot      release: id  0 | task 1586 | stop processing: n_tokens = 259, truncated = 0
2.16.765.381 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.483
2.17.315.469 I slot launch_slot_: id  0 | task 1723 | processing task, is_child = 0
2.24.340.369 I slot print_timing: id  0 | task 1723 | n_gen =    100, tg =  14.76 t/s, tg_3s =  14.91 t/s
2.25.694.916 I slot print_timing: id  0 | task 1723 | prompt eval time =     316.15 ms /     4 tokens (   79.04 ms per token,    12.65 tokens per second)
2.25.694.928 I slot print_timing: id  0 | task 1723 |        eval time =    8063.23 ms /   120 tokens (   67.76 ms per token,    14.76 tokens per second)
2.25.694.929 I slot print_timing: id  0 | task 1723 |       total time =    8379.38 ms /   124 tokens
2.25.694.931 I slot print_timing: id  0 | task 1723 |    graphs reused =       1800
2.25.695.045 I slot      release: id  0 | task 1723 | stop processing: n_tokens = 244, truncated = 0
2.25.921.832 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.512
2.25.921.928 I slot launch_slot_: id  0 | task 1844 | processing task, is_child = 0
2.32.948.436 I slot print_timing: id  0 | task 1844 | n_gen =    100, tg =  14.75 t/s, tg_3s =  14.89 t/s
