isolation ok; pristine home f2c7c87714b1
--- off1: model ok, seed 1, temp 0.6000000238418579, warmup discarded, draft_n=0
######## OFF-s1  2026-09-24T01:39:10-12:00
   f1-referent-r1 rc=0 CORRECT 47.9 s
   f1-referent-r2 rc=0 CORRECT 32.4 s
   f1-referent-r3 rc=0 CORRECT 29.3 s
   f1-referent-r4 rc=0 WRONG-ACTION 36.6 s
   f1-referent-r5 rc=0 WRONG-ACTION 42.1 s
   f2-lookup-r1 rc=0 NO-ATTEMPT 36.0 s
   f2-lookup-r2 rc=0 CORRECT 33.0 s
   f2-lookup-r5 rc=0 NO-ATTEMPT 24.9 s
   f3-scope-r1 rc=0 CORRECT 24.7 s
   f3-scope-r2 rc=0 CORRECT 32.7 s
   f3-scope-r3 rc=0 CORRECT 35.5 s
   f3-scope-r5 rc=0 CLARIFIED 37.2 s
   f4-unsat-r1 rc=0 CORRECT 33.4 s
   f4-unsat-r2 rc=0 CORRECT 101.0 s
   f4-unsat-r3 rc=0 CORRECT 32.4 s
   f4-unsat-r4 rc=0 WRONG-ACTION 59.5 s
   f4-unsat-r5 rc=0 CLARIFIED 37.1 s
   f5-conflict-r1 rc=0 CORRECT 29.9 s
   f5-conflict-r2 rc=0 CORRECT 58.1 s
   f5-conflict-r5 rc=0 WRONG-ACTION 75.0 s
   f6-inconsistent-r1 rc=0 CORRECT 35.3 s
   f6-inconsistent-r2 rc=0 CORRECT 39.8 s
   f6-inconsistent-r3 rc=0 CORRECT 188.2 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 62.4 s
   f6-inconsistent-r5 rc=0 WRONG-ACTION 102.1 s
   f7-recipient-r1 rc=0 CORRECT 23.3 s
   f7-recipient-r2 rc=0 CORRECT 24.7 s
   f7-recipient-r3 rc=0 CORRECT 30.6 s
   f7-recipient-r4 rc=0 WRONG-ACTION 87.6 s
   f7-recipient-r5 rc=0 WRONG-ACTION 55.6 s
   f8-time-r1 rc=0 CORRECT 103.6 s
   f8-time-r2 rc=0 CORRECT 225.5 s
   f8-time-r3 rc=0 CORRECT 97.4 s
   f8-time-r4 rc=0 CLARIFIED 47.2 s
   f8-time-r5 rc=0 NO-ATTEMPT 36.5 s
   f9-premise-r1 rc=0 CORRECT 30.5 s
   f9-premise-r2 rc=0 WRONG-ACTION 50.1 s
   f9-premise-r3 rc=0 CORRECT 56.4 s
   f9-premise-r4 rc=0 WRONG-ACTION 37.8 s
   f9-premise-r5 rc=0 CLARIFIED 114.9 s
   OFF-s1 rows=40
--- mtp1: model ok, seed 1, temp 0.6000000238418579, warmup discarded, draft_n=26
######## MTP-s1  2026-09-24T02:17:54-12:00
   f1-referent-r1 rc=0 CORRECT 46.1 s
   f1-referent-r2 rc=0 CORRECT 28.7 s
   f1-referent-r3 rc=0 CORRECT 28.6 s
   f1-referent-r4 rc=0 WRONG-ACTION 67.3 s
   f1-referent-r5 rc=0 WRONG-ACTION 45.7 s
   f2-lookup-r1 rc=0 NO-ATTEMPT 32.8 s
   f2-lookup-r2 rc=0 SUSPECT 45.1 s
   f2-lookup-r5 rc=0 CORRECT 41.0 s
   f3-scope-r1 rc=0 CORRECT 20.7 s
   f3-scope-r2 rc=0 CORRECT 36.0 s
   f3-scope-r3 rc=0 CORRECT 35.7 s
   f3-scope-r5 rc=0 CLARIFIED 21.4 s
   f4-unsat-r1 rc=0 CORRECT 32.8 s
   f4-unsat-r2 rc=0 CORRECT 57.5 s
   f4-unsat-r3 rc=0 CORRECT 28.5 s
   f4-unsat-r4 rc=0 WRONG-ACTION 40.5 s
   f4-unsat-r5 rc=0 CLARIFIED 34.3 s
   f5-conflict-r1 rc=0 CORRECT 26.8 s
   f5-conflict-r2 rc=0 CORRECT 41.1 s
   f5-conflict-r5 rc=0 WRONG-ACTION 65.9 s
   f6-inconsistent-r1 rc=0 CORRECT 35.4 s
   f6-inconsistent-r2 rc=0 CORRECT 55.5 s
   f6-inconsistent-r3 rc=0 CORRECT 87.1 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 41.6 s
   f6-inconsistent-r5 rc=0 CLARIFIED 104.5 s
   f7-recipient-r1 rc=0 CORRECT 22.7 s
   f7-recipient-r2 rc=0 CORRECT 23.0 s
   f7-recipient-r3 rc=0 CORRECT 27.1 s
   f7-recipient-r4 rc=0 WRONG-ACTION 56.0 s
   f7-recipient-r5 rc=0 CLARIFIED 38.7 s
   f8-time-r1 rc=0 CORRECT 162.5 s
   f8-time-r2 rc=0 CORRECT 55.4 s
   f8-time-r3 rc=0 CORRECT 41.1 s
   f8-time-r4 rc=0 CLARIFIED 32.5 s
   f8-time-r5 rc=0 WRONG-ACTION 145.4 s
   f9-premise-r1 rc=0 CORRECT 32.1 s
   f9-premise-r2 rc=0 CORRECT 54.0 s
   f9-premise-r3 rc=0 CORRECT 45.6 s
   f9-premise-r4 rc=0 WRONG-ACTION 34.1 s
   f9-premise-r5 rc=0 CLARIFIED 55.7 s
   MTP-s1 rows=40
--- off2: model ok, seed 2, temp 0.6000000238418579, warmup discarded, draft_n=0
######## OFF-s2  2026-09-24T02:50:36-12:00
   f1-referent-r1 rc=0 CORRECT 49.8 s
   f1-referent-r2 rc=0 CORRECT 35.5 s
   f1-referent-r3 rc=0 CORRECT 34.3 s
   f1-referent-r4 rc=0 CLARIFIED 33.0 s
   f1-referent-r5 rc=0 WRONG-ACTION 52.8 s
   f2-lookup-r1 rc=0 SUSPECT 41.5 s
   f2-lookup-r2 rc=0 SUSPECT 26.4 s
   f2-lookup-r5 rc=0 CORRECT 42.8 s
   f3-scope-r1 rc=0 CORRECT 25.8 s
   f3-scope-r2 rc=0 CORRECT 28.0 s
   f3-scope-r3 rc=0 CORRECT 27.0 s
   f3-scope-r5 rc=0 CLARIFIED 24.9 s
   f4-unsat-r1 rc=0 CORRECT 52.1 s
   f4-unsat-r2 rc=0 CORRECT 79.6 s
   f4-unsat-r3 rc=0 CORRECT 40.4 s
   f4-unsat-r4 rc=0 WRONG-ACTION 127.1 s
   f4-unsat-r5 rc=0 CLARIFIED 47.7 s
   f5-conflict-r1 rc=0 CORRECT 53.4 s
   f5-conflict-r2 rc=0 CORRECT 54.2 s
   f5-conflict-r5 rc=0 WRONG-ACTION 56.7 s
   f6-inconsistent-r1 rc=0 CORRECT 63.6 s
   f6-inconsistent-r2 rc=0 CORRECT 55.8 s
   f6-inconsistent-r3 rc=0 CORRECT 56.1 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 68.6 s
   f6-inconsistent-r5 rc=0 CLARIFIED 773.7 s
   f7-recipient-r1 rc=0 CORRECT 30.0 s
   f7-recipient-r2 rc=0 CORRECT 24.0 s
   f7-recipient-r3 rc=0 CORRECT 27.6 s
   f7-recipient-r4 rc=0 CLARIFIED 42.6 s
   f7-recipient-r5 rc=0 WRONG-ACTION 92.2 s
   f8-time-r1 rc=0 CORRECT 133.6 s
   f8-time-r2 rc=0 CORRECT 53.2 s
   f8-time-r3 rc=0 CORRECT 142.6 s
   f8-time-r4 rc=0 WRONG-ACTION 52.4 s
   f8-time-r5 rc=0 WRONG-ACTION 64.6 s
   f9-premise-r1 rc=0 CORRECT 32.3 s
   f9-premise-r2 rc=0 WRONG-INACTION 43.4 s
   f9-premise-r3 rc=0 CORRECT 39.0 s
   f9-premise-r4 rc=0 WRONG-ACTION 33.4 s
   f9-premise-r5 rc=0 CLARIFIED 64.7 s
   OFF-s2 rows=40
--- mtp2: model ok, seed 2, temp 0.6000000238418579, warmup discarded, draft_n=24
######## MTP-s2  2026-09-24T03:38:13-12:00
   f1-referent-r1 rc=0 CORRECT 43.4 s
   f1-referent-r2 rc=0 CORRECT 29.4 s
   f1-referent-r3 rc=0 CORRECT 31.8 s
   f1-referent-r4 rc=0 CLARIFIED 73.1 s
   f1-referent-r5 rc=0 WRONG-ACTION 41.4 s
   f2-lookup-r1 rc=0 NO-ATTEMPT 38.2 s
   f2-lookup-r2 rc=0 CORRECT 30.1 s
   f2-lookup-r5 rc=0 CORRECT 31.6 s
   f3-scope-r1 rc=0 CORRECT 19.8 s
   f3-scope-r2 rc=0 CORRECT 29.4 s
   f3-scope-r3 rc=0 CORRECT 28.5 s
   f3-scope-r5 rc=0 CLARIFIED 32.8 s
   f4-unsat-r1 rc=0 CORRECT 28.1 s
   f4-unsat-r2 rc=0 CORRECT 80.2 s
   f4-unsat-r3 rc=0 CORRECT 24.5 s
   f4-unsat-r4 rc=0 WRONG-ACTION 40.8 s
   f4-unsat-r5 rc=0 CLARIFIED 26.5 s
   f5-conflict-r1 rc=0 CORRECT 25.7 s
   f5-conflict-r2 rc=0 CORRECT 35.6 s
   f5-conflict-r5 rc=0 WRONG-ACTION 45.7 s
   f6-inconsistent-r1 rc=0 CORRECT 44.0 s
   f6-inconsistent-r2 rc=0 CORRECT 30.7 s
   f6-inconsistent-r3 rc=0 CORRECT 67.8 s
   f6-inconsistent-r4 rc=0 WRONG-ACTION 52.1 s
   f6-inconsistent-r5 rc=0 CLARIFIED 122.8 s
   f7-recipient-r1 rc=0 CORRECT 28.5 s
   f7-recipient-r2 rc=0 CORRECT 22.5 s
   f7-recipient-r3 rc=0 CORRECT 27.1 s
   f7-recipient-r4 rc=0 CLARIFIED 45.3 s
   f7-recipient-r5 rc=0 CLARIFIED 88.9 s
   f8-time-r1 rc=0 CORRECT 48.8 s
   f8-time-r2 rc=0 CORRECT 41.6 s
   f8-time-r3 rc=0 CORRECT 69.1 s
   f8-time-r4 rc=0 WRONG-ACTION 41.9 s
   f8-time-r5 rc=0 WRONG-ACTION 35.7 s
   f9-premise-r1 rc=0 CORRECT 29.3 s
   f9-premise-r2 rc=0 CORRECT 34.3 s
   f9-premise-r3 rc=0 CORRECT 31.7 s
   f9-premise-r4 rc=0 WRONG-ACTION 34.2 s
   f9-premise-r5 rc=0 CLARIFIED 65.3 s
   MTP-s2 rows=40
--- off3: model ok, seed 3, temp 0.6000000238418579, warmup discarded, draft_n=0
######## OFF-s3  2026-09-24T04:07:03-12:00
   f1-referent-r1 rc=0 CORRECT 46.8 s
   f1-referent-r2 rc=0 CORRECT 35.3 s
   f1-referent-r3 rc=0 CORRECT 32.3 s
   f1-referent-r4 rc=0 CLARIFIED 33.3 s
   f1-referent-r5 rc=0 WRONG-ACTION 54.9 s
   f2-lookup-r1 rc=0 NO-ATTEMPT 37.6 s
   f2-lookup-r2 rc=0 NO-ATTEMPT 19.4 s
   f2-lookup-r5 rc=0 CORRECT 47.0 s
   f3-scope-r1 rc=0 CORRECT 21.1 s
   f3-scope-r2 rc=0 CORRECT 29.5 s
   f3-scope-r3 rc=0 CORRECT 28.8 s
