### digest of server_graphs.log  (original: 18504 bytes, 168 lines)
--- header: build / model / device ---
6.10.653.136 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 260096, kv_unified = 'true'
--- graph / perf / timing evidence ---
      1 9.57.110.597 I slot print_timing: id  0 | task 1356 | n_decoded =   1328, tg =  23.57 t/s, tg_3s =  19.25 t/s
      1 9.54.046.443 I slot print_timing: id  0 | task 1356 | n_decoded =   1269, tg =  23.82 t/s, tg_3s =  23.61 t/s
      1 9.50.954.696 I slot print_timing: id  0 | task 1356 | n_decoded =   1196, tg =  23.83 t/s, tg_3s =  25.46 t/s
      1 9.47.890.573 I slot print_timing: id  0 | task 1356 | n_decoded =   1118, tg =  23.73 t/s, tg_3s =  22.24 t/s
      1 9.44.832.444 I slot print_timing: id  0 | task 1356 | n_decoded =   1050, tg =  23.83 t/s, tg_3s =  21.39 t/s
      1 9.41.746.219 I slot print_timing: id  0 | task 1356 | n_decoded =    984, tg =  24.02 t/s, tg_3s =  21.59 t/s
      1 9.38.688.673 I slot print_timing: id  0 | task 1356 | n_decoded =    918, tg =  24.21 t/s, tg_3s =  25.52 t/s
      1 9.35.632.616 I slot print_timing: id  0 | task 1356 | n_decoded =    840, tg =  24.10 t/s, tg_3s =  25.53 t/s
      1 9.32.577.130 I slot print_timing: id  0 | task 1356 | n_decoded =    762, tg =  23.96 t/s, tg_3s =  25.32 t/s
      1 9.29.496.534 I slot print_timing: id  0 | task 1356 | n_decoded =    684, tg =  23.82 t/s, tg_3s =  22.87 t/s
      1 9.26.436.149 I slot print_timing: id  0 | task 1356 | n_decoded =    614, tg =  23.93 t/s, tg_3s =  22.57 t/s
      1 9.23.379.227 I slot print_timing: id  0 | task 1356 | n_decoded =    545, tg =  24.11 t/s, tg_3s =  25.32 t/s
      1 9.20.299.238 I slot print_timing: id  0 | task 1356 | n_decoded =    467, tg =  23.92 t/s, tg_3s =  25.57 t/s
      1 9.17.248.991 I slot print_timing: id  0 | task 1356 | n_decoded =    389, tg =  23.61 t/s, tg_3s =  24.26 t/s
      1 9.14.198.116 I slot print_timing: id  0 | task 1356 | n_decoded =    315, tg =  23.47 t/s, tg_3s =  21.64 t/s
      1 9.11.148.408 I slot print_timing: id  0 | task 1356 | n_decoded =    249, tg =  24.01 t/s, tg_3s =  23.73 t/s
      1 9.08.072.329 I slot print_timing: id  0 | task 1356 | n_decoded =    176, tg =  24.12 t/s, tg_3s =  24.25 t/s
      1 9.05.020.388 I slot print_timing: id  0 | task 1356 | n_decoded =    102, tg =  24.03 t/s, tg_3s =  24.03 t/s
      1 9.00.554.340 I slot print_timing: id  0 | task 678 |    graphs reused =       1336
      1 9.00.554.340 I slot print_timing: id  0 | task 678 |       total time =   79969.83 ms /  1902 tokens
      1 9.00.554.339 I slot print_timing: id  0 | task 678 |        eval time =   79765.35 ms /  1898 tokens (   42.03 ms per token,    23.79 tokens per second)
      1 9.00.554.334 I slot print_timing: id  0 | task 678 | prompt eval time =     204.48 ms /     4 tokens (   51.12 ms per token,    19.56 tokens per second)
      1 8.58.657.048 I slot print_timing: id  0 | task 678 | n_decoded =   1850, tg =  23.76 t/s, tg_3s =  25.38 t/s
      1 8.55.584.277 I slot print_timing: id  0 | task 678 | n_decoded =   1772, tg =  23.69 t/s, tg_3s =  25.11 t/s
      1 8.52.477.672 I slot print_timing: id  0 | task 678 | n_decoded =   1694, tg =  23.63 t/s, tg_3s =  22.48 t/s
      1 8.49.407.720 I slot print_timing: id  0 | task 678 | n_decoded =   1625, tg =  23.68 t/s, tg_3s =  25.42 t/s
      1 8.46.339.337 I slot print_timing: id  0 | task 678 | n_decoded =   1547, tg =  23.60 t/s, tg_3s =  23.59 t/s
      1 8.43.244.813 I slot print_timing: id  0 | task 678 | n_decoded =   1474, tg =  23.60 t/s, tg_3s =  23.80 t/s
      1 8.40.177.366 I slot print_timing: id  0 | task 678 | n_decoded =   1401, tg =  23.59 t/s, tg_3s =  23.82 t/s
      1 8.37.112.098 I slot print_timing: id  0 | task 678 | n_decoded =   1328, tg =  23.58 t/s, tg_3s =  19.27 t/s
      1 8.34.049.613 I slot print_timing: id  0 | task 678 | n_decoded =   1269, tg =  23.83 t/s, tg_3s =  23.54 t/s
      1 8.30.949.053 I slot print_timing: id  0 | task 678 | n_decoded =   1196, tg =  23.84 t/s, tg_3s =  25.43 t/s
      1 8.27.881.990 I slot print_timing: id  0 | task 678 | n_decoded =   1118, tg =  23.74 t/s, tg_3s =  22.23 t/s
      1 8.24.822.929 I slot print_timing: id  0 | task 678 | n_decoded =   1050, tg =  23.85 t/s, tg_3s =  21.38 t/s
      1 8.21.736.402 I slot print_timing: id  0 | task 678 | n_decoded =    984, tg =  24.03 t/s, tg_3s =  21.59 t/s
