### digest of server_nographs.log  (original: 18609 bytes, 169 lines)
--- header: build / model / device ---
7.22.570.672 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 260096, kv_unified = 'true'
--- graph / perf / timing evidence ---
      1 9.59.083.036 I slot print_timing: id  0 | task 678 | n_decoded =   1547, tg =  23.59 t/s, tg_3s =  23.65 t/s
      1 9.55.996.200 I slot print_timing: id  0 | task 678 | n_decoded =   1474, tg =  23.59 t/s, tg_3s =  23.83 t/s
      1 9.52.932.772 I slot print_timing: id  0 | task 678 | n_decoded =   1401, tg =  23.58 t/s, tg_3s =  23.79 t/s
      1 9.49.864.330 I slot print_timing: id  0 | task 678 | n_decoded =   1328, tg =  23.57 t/s, tg_3s =  19.21 t/s
      1 9.46.792.233 I slot print_timing: id  0 | task 678 | n_decoded =   1269, tg =  23.82 t/s, tg_3s =  23.59 t/s
      1 9.43.697.128 I slot print_timing: id  0 | task 678 | n_decoded =   1196, tg =  23.83 t/s, tg_3s =  25.42 t/s
      1 9.40.628.925 I slot print_timing: id  0 | task 678 | n_decoded =   1118, tg =  23.73 t/s, tg_3s =  22.24 t/s
      1 9.37.570.783 I slot print_timing: id  0 | task 678 | n_decoded =   1050, tg =  23.83 t/s, tg_3s =  21.43 t/s
      1 9.34.491.134 I slot print_timing: id  0 | task 678 | n_decoded =    984, tg =  24.01 t/s, tg_3s =  21.58 t/s
      1 9.31.432.821 I slot print_timing: id  0 | task 678 | n_decoded =    918, tg =  24.21 t/s, tg_3s =  25.50 t/s
      1 9.28.373.852 I slot print_timing: id  0 | task 678 | n_decoded =    840, tg =  24.10 t/s, tg_3s =  25.43 t/s
      1 9.25.306.831 I slot print_timing: id  0 | task 678 | n_decoded =    762, tg =  23.97 t/s, tg_3s =  25.37 t/s
      1 9.22.232.663 I slot print_timing: id  0 | task 678 | n_decoded =    684, tg =  23.82 t/s, tg_3s =  22.90 t/s
      1 9.19.175.970 I slot print_timing: id  0 | task 678 | n_decoded =    614, tg =  23.93 t/s, tg_3s =  22.58 t/s
      1 9.16.120.046 I slot print_timing: id  0 | task 678 | n_decoded =    545, tg =  24.11 t/s, tg_3s =  25.33 t/s
      1 9.13.040.569 I slot print_timing: id  0 | task 678 | n_decoded =    467, tg =  23.92 t/s, tg_3s =  25.55 t/s
      1 9.09.987.656 I slot print_timing: id  0 | task 678 | n_decoded =    389, tg =  23.62 t/s, tg_3s =  24.27 t/s
      1 9.06.938.757 I slot print_timing: id  0 | task 678 | n_decoded =    315, tg =  23.47 t/s, tg_3s =  21.67 t/s
      1 9.03.893.376 I slot print_timing: id  0 | task 678 | n_decoded =    249, tg =  23.99 t/s, tg_3s =  23.74 t/s
      1 9.00.817.935 I slot print_timing: id  0 | task 678 | n_decoded =    176, tg =  24.10 t/s, tg_3s =  24.29 t/s
      1 8.57.770.834 I slot print_timing: id  0 | task 678 | n_decoded =    102, tg =  23.97 t/s, tg_3s =  23.97 t/s
      1 8.53.283.687 I slot print_timing: id  0 | task 0 |    graphs reused =        668
      1 8.53.283.680 I slot print_timing: id  0 | task 0 |       total time =   84595.16 ms /  1923 tokens
      1 8.53.283.678 I slot print_timing: id  0 | task 0 |        eval time =   81678.77 ms /  1898 tokens (   43.03 ms per token,    23.24 tokens per second)
      1 8.53.283.653 I slot print_timing: id  0 | task 0 | prompt eval time =    2916.39 ms /    25 tokens (  116.66 ms per token,     8.57 tokens per second)
      1 8.53.164.259 I slot print_timing: id  0 | task 0 | n_decoded =   1895, tg =  23.23 t/s, tg_3s =  25.34 t/s
      1 8.50.085.684 I slot print_timing: id  0 | task 0 | n_decoded =   1817, tg =  23.15 t/s, tg_3s =  24.76 t/s
      1 8.47.056.871 I slot print_timing: id  0 | task 0 | n_decoded =   1742, tg =  23.09 t/s, tg_3s =  24.38 t/s
      1 8.43.980.593 I slot print_timing: id  0 | task 0 | n_decoded =   1667, tg =  23.03 t/s, tg_3s =  23.46 t/s
      1 8.40.910.991 I slot print_timing: id  0 | task 0 | n_decoded =   1595, tg =  23.01 t/s, tg_3s =  24.00 t/s
      1 8.37.827.795 I slot print_timing: id  0 | task 0 | n_decoded =   1521, tg =  22.97 t/s, tg_3s =  23.06 t/s
      1 8.34.705.614 I slot print_timing: id  0 | task 0 | n_decoded =   1449, tg =  22.96 t/s, tg_3s =  25.44 t/s
      1 8.31.640.049 I slot print_timing: id  0 | task 0 | n_decoded =   1371, tg =  22.84 t/s, tg_3s =  20.29 t/s
      1 8.28.535.796 I slot print_timing: id  0 | task 0 | n_decoded =   1308, tg =  22.98 t/s, tg_3s =  22.31 t/s
      1 8.25.487.580 I slot print_timing: id  0 | task 0 | n_decoded =   1240, tg =  23.01 t/s, tg_3s =  23.92 t/s
      1 8.22.393.516 I slot print_timing: id  0 | task 0 | n_decoded =   1166, tg =  22.96 t/s, tg_3s =  24.84 t/s
      1 8.19.333.733 I slot print_timing: id  0 | task 0 | n_decoded =   1090, tg =  22.84 t/s, tg_3s =  21.07 t/s
