### digest of server_old.log  (original: 14723 bytes, 135 lines)
--- header: build / model / device ---
7.40.730.140 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 260096, kv_unified = 'true'
--- graph / perf / timing evidence ---
      1 9.59.271.435 I slot print_timing: id  0 | task 678 | n_decoded =   1196, tg =  23.78 t/s, tg_3s =  25.41 t/s
      1 9.56.202.368 I slot print_timing: id  0 | task 678 | n_decoded =   1118, tg =  23.67 t/s, tg_3s =  22.15 t/s
      1 9.53.133.010 I slot print_timing: id  0 | task 678 | n_decoded =   1050, tg =  23.78 t/s, tg_3s =  21.33 t/s
      1 9.50.039.477 I slot print_timing: id  0 | task 678 | n_decoded =    984, tg =  23.96 t/s, tg_3s =  21.55 t/s
      1 9.46.976.922 I slot print_timing: id  0 | task 678 | n_decoded =    918, tg =  24.16 t/s, tg_3s =  25.43 t/s
      1 9.43.909.463 I slot print_timing: id  0 | task 678 | n_decoded =    840, tg =  24.05 t/s, tg_3s =  25.39 t/s
      1 9.40.837.829 I slot print_timing: id  0 | task 678 | n_decoded =    762, tg =  23.92 t/s, tg_3s =  25.19 t/s
      1 9.37.741.344 I slot print_timing: id  0 | task 678 | n_decoded =    684, tg =  23.78 t/s, tg_3s =  22.85 t/s
      1 9.34.678.459 I slot print_timing: id  0 | task 678 | n_decoded =    614, tg =  23.89 t/s, tg_3s =  22.55 t/s
      1 9.31.618.804 I slot print_timing: id  0 | task 678 | n_decoded =    545, tg =  24.07 t/s, tg_3s =  25.31 t/s
      1 9.28.536.607 I slot print_timing: id  0 | task 678 | n_decoded =    467, tg =  23.87 t/s, tg_3s =  25.47 t/s
      1 9.25.474.274 I slot print_timing: id  0 | task 678 | n_decoded =    389, tg =  23.58 t/s, tg_3s =  24.16 t/s
      1 9.22.410.787 I slot print_timing: id  0 | task 678 | n_decoded =    315, tg =  23.45 t/s, tg_3s =  21.56 t/s
      1 9.19.349.066 I slot print_timing: id  0 | task 678 | n_decoded =    249, tg =  24.00 t/s, tg_3s =  23.73 t/s
      1 9.16.272.689 I slot print_timing: id  0 | task 678 | n_decoded =    176, tg =  24.12 t/s, tg_3s =  24.24 t/s
      1 9.13.220.328 I slot print_timing: id  0 | task 678 | n_decoded =    102, tg =  24.03 t/s, tg_3s =  24.03 t/s
      1 9.08.746.858 I slot print_timing: id  0 | task 0 |    graphs reused =        668
      1 9.08.746.855 I slot print_timing: id  0 | task 0 |       total time =   85359.55 ms /  1923 tokens
      1 9.08.746.854 I slot print_timing: id  0 | task 0 |        eval time =   82033.60 ms /  1898 tokens (   43.22 ms per token,    23.14 tokens per second)
      1 9.08.746.850 I slot print_timing: id  0 | task 0 | prompt eval time =    3325.96 ms /    25 tokens (  133.04 ms per token,     7.52 tokens per second)
