0.00.174.658 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.261.061 I srv    load_model: loading model '/home/mark/AI/Models/Nemotron/Puzzle-75B/Puzzle-75B-A9B-UD-IQ4-XL.gguf'
0.16.864.138 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.16.970.311 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.16.970.806 I srv  llama_server: model loaded
0.16.971.077 I srv  llama_server: listening on http://127.0.0.1:8091
0.17.929.269 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.17.929.319 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.26.535.727 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.26.535.778 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.26.535.788 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.26.535.829 I slot launch_slot_: id  1 | task 3 | processing task, is_child = 0
0.26.535.841 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.26.535.877 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.26.536.090 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    737, progress = 0.85, t =   8.61 s / 85.63 tokens per second
0.51.912.870 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =    681, progress = 0.84, t =  25.38 s / 26.84 tokens per second
0.52.038.612 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =    652, progress = 0.83, t =  25.50 s / 25.57 tokens per second
0.52.164.587 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =    659, progress = 0.83, t =  25.63 s / 25.71 tokens per second
0.52.291.609 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    793, progress = 0.91, t =  34.36 s / 23.08 tokens per second
0.58.624.226 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =    809, progress = 1.00, t =  32.09 s / 25.21 tokens per second
0.58.624.460 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =    780, progress = 0.99, t =  32.09 s / 24.31 tokens per second
0.58.624.644 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =    787, progress = 0.99, t =  32.09 s / 24.53 tokens per second
0.58.624.835 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    865, progress = 1.00, t =  40.70 s / 21.26 tokens per second
1.27.528.762 I slot print_timing: id  0 | task 4 | n_decoded =    100, tg =   3.52 t/s, tg_3s =   3.52 t/s
1.27.529.379 I slot print_timing: id  1 | task 3 | n_decoded =    100, tg =   3.52 t/s, tg_3s =   3.52 t/s
1.27.529.946 I slot print_timing: id  2 | task 2 | n_decoded =    100, tg =   3.52 t/s, tg_3s =   3.52 t/s
1.27.530.521 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   3.52 t/s, tg_3s =   3.52 t/s
1.30.678.618 I slot print_timing: id  0 | task 4 | n_decoded =    111, tg =   3.52 t/s, tg_3s =   3.49 t/s
1.30.679.280 I slot print_timing: id  1 | task 3 | n_decoded =    111, tg =   3.52 t/s, tg_3s =   3.49 t/s
1.30.679.894 I slot print_timing: id  2 | task 2 | n_decoded =    111, tg =   3.52 t/s, tg_3s =   3.49 t/s
1.30.680.524 I slot print_timing: id  3 | task 0 | n_decoded =    111, tg =   3.52 t/s, tg_3s =   3.49 t/s
1.33.840.831 I slot print_timing: id  0 | task 4 | n_decoded =    122, tg =   3.52 t/s, tg_3s =   3.48 t/s
1.33.841.465 I slot print_timing: id  1 | task 3 | n_decoded =    122, tg =   3.52 t/s, tg_3s =   3.48 t/s
1.33.842.081 I slot print_timing: id  2 | task 2 | n_decoded =    122, tg =   3.52 t/s, tg_3s =   3.48 t/s
1.33.842.672 I slot print_timing: id  3 | task 0 | n_decoded =    122, tg =   3.52 t/s, tg_3s =   3.48 t/s
