0.00.169.116 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.282.965 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q8_0.gguf'
1.09.975.727 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.10.031.847 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.10.031.929 I srv  llama_server: model loaded
1.10.031.937 I srv  llama_server: listening on http://0.0.0.0:8091
1.21.062.170 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.21.062.302 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.32.637.361 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   9.63 t/s, tg_3s =   9.63 t/s
1.35.672.603 I slot print_timing: id  0 | task 0 | n_decoded =    129, tg =   9.62 t/s, tg_3s =   9.55 t/s
1.35.986.593 I slot print_timing: id  0 | task 0 | prompt eval time =    1194.89 ms /    17 tokens (   70.29 ms per token,    14.23 tokens per second)
1.35.986.600 I slot print_timing: id  0 | task 0 |        eval time =   13729.35 ms /   132 tokens (  104.01 ms per token,     9.61 tokens per second)
1.35.986.602 I slot print_timing: id  0 | task 0 |       total time =   14924.24 ms /   149 tokens
1.35.986.614 I slot print_timing: id  0 | task 0 |    graphs reused =        131
1.35.986.698 I slot      release: id  0 | task 0 | stop processing: n_tokens = 148, truncated = 0
1.46.538.170 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98157587847
1.46.977.537 I slot launch_slot_: id  0 | task 134 | processing task, is_child = 0
1.56.028.022 I slot print_timing: id  0 | task 134 | prompt processing, n_tokens =   1129, progress = 0.69, t =   9.05 s / 124.75 tokens per second
1.56.553.252 I slot print_timing: id  0 | task 134 | prompt processing, n_tokens =   1641, progress = 1.00, t =   9.58 s / 171.37 tokens per second
2.12.051.450 I slot print_timing: id  0 | task 134 | n_decoded =    100, tg =   9.60 t/s, tg_3s =   9.60 t/s
2.15.101.557 I slot print_timing: id  0 | task 134 | n_decoded =    129, tg =   9.58 t/s, tg_3s =   9.51 t/s
2.18.168.904 I slot print_timing: id  0 | task 134 | n_decoded =    158, tg =   9.56 t/s, tg_3s =   9.45 t/s
2.21.223.663 I slot print_timing: id  0 | task 134 | n_decoded =    187, tg =   9.55 t/s, tg_3s =   9.49 t/s
2.22.171.168 I slot print_timing: id  0 | task 134 | prompt eval time =   14655.87 ms /  1645 tokens (    8.91 ms per token,   112.24 tokens per second)
2.22.171.174 I slot print_timing: id  0 | task 134 |        eval time =   20537.72 ms /   196 tokens (  104.78 ms per token,     9.54 tokens per second)
2.22.171.176 I slot print_timing: id  0 | task 134 |       total time =   35193.58 ms /  1841 tokens
2.22.171.178 I slot print_timing: id  0 | task 134 |    graphs reused =        324
2.22.171.737 I slot      release: id  0 | task 134 | stop processing: n_tokens = 1840, truncated = 0
2.22.188.185 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98203772885
2.22.603.294 I slot launch_slot_: id  0 | task 333 | processing task, is_child = 0
2.28.968.385 I slot print_timing: id  0 | task 333 | prompt processing, n_tokens =   1463, progress = 1.00, t =   6.37 s / 229.85 tokens per second
2.44.480.026 I slot print_timing: id  0 | task 333 | n_decoded =    100, tg =   9.60 t/s, tg_3s =   9.60 t/s
2.47.423.058 I slot print_timing: id  0 | task 333 | prompt eval time =   11463.21 ms /  1467 tokens (    7.81 ms per token,   127.97 tokens per second)
2.47.423.065 I slot print_timing: id  0 | task 333 |        eval time =   13356.51 ms /   128 tokens (  104.35 ms per token,     9.58 tokens per second)
2.47.423.066 I slot print_timing: id  0 | task 333 |       total time =   24819.72 ms /  1595 tokens
2.47.423.068 I slot print_timing: id  0 | task 333 |    graphs reused =        449
2.47.423.432 I slot      release: id  0 | task 333 | stop processing: n_tokens = 1594, truncated = 0
2.47.433.159 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98229024580
2.47.825.901 I slot launch_slot_: id  0 | task 464 | processing task, is_child = 0
2.54.175.351 I slot print_timing: id  0 | task 464 | prompt processing, n_tokens =   1441, progress = 1.00, t =   6.35 s / 226.95 tokens per second
3.09.664.043 I slot print_timing: id  0 | task 464 | n_decoded =    100, tg =   9.60 t/s, tg_3s =   9.60 t/s
3.12.712.164 I slot print_timing: id  0 | task 464 | n_decoded =    129, tg =   9.58 t/s, tg_3s =   9.51 t/s
3.15.759.915 I slot print_timing: id  0 | task 464 | n_decoded =    158, tg =   9.57 t/s, tg_3s =   9.52 t/s
3.16.600.690 I slot print_timing: id  0 | task 464 | prompt eval time =   11425.75 ms /  1445 tokens (    7.91 ms per token,   126.47 tokens per second)
3.16.600.698 I slot print_timing: id  0 | task 464 |        eval time =   17349.01 ms /   166 tokens (  104.51 ms per token,     9.57 tokens per second)
3.16.600.699 I slot print_timing: id  0 | task 464 |       total time =   28774.76 ms /  1611 tokens
3.16.600.701 I slot print_timing: id  0 | task 464 |    graphs reused =        612
3.16.600.928 I slot      release: id  0 | task 464 | stop processing: n_tokens = 1610, truncated = 0
3.16.610.557 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98258202076
3.17.006.002 I slot launch_slot_: id  0 | task 633 | processing task, is_child = 0
3.22.971.193 I slot print_timing: id  0 | task 633 | prompt processing, n_tokens =   1312, progress = 1.00, t =   5.97 s / 219.94 tokens per second
3.38.473.687 I slot print_timing: id  0 | task 633 | n_decoded =    100, tg =   9.61 t/s, tg_3s =   9.61 t/s
3.41.519.752 I slot print_timing: id  0 | task 633 | n_decoded =    129, tg =   9.59 t/s, tg_3s =   9.52 t/s
3.44.566.277 I slot print_timing: id  0 | task 633 | n_decoded =    158, tg =   9.58 t/s, tg_3s =   9.52 t/s
3.47.612.680 I slot print_timing: id  0 | task 633 | n_decoded =    187, tg =   9.57 t/s, tg_3s =   9.52 t/s
3.50.658.920 I slot print_timing: id  0 | task 633 | n_decoded =    216, tg =   9.56 t/s, tg_3s =   9.52 t/s
3.53.709.686 I slot print_timing: id  0 | task 633 | n_decoded =    245, tg =   9.56 t/s, tg_3s =   9.51 t/s
3.54.865.245 I slot print_timing: id  0 | task 633 | prompt eval time =   11062.88 ms /  1316 tokens (    8.41 ms per token,   118.96 tokens per second)
3.54.865.252 I slot print_timing: id  0 | task 633 |        eval time =   26796.33 ms /   256 tokens (  104.67 ms per token,     9.55 tokens per second)
3.54.865.254 I slot print_timing: id  0 | task 633 |       total time =   37859.21 ms /  1572 tokens
3.54.865.255 I slot print_timing: id  0 | task 633 |    graphs reused =        865
3.54.865.493 I slot      release: id  0 | task 633 | stop processing: n_tokens = 1571, truncated = 0
3.54.874.637 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98296466641
3.55.268.372 I slot launch_slot_: id  0 | task 892 | processing task, is_child = 0
3.59.089.176 I slot print_timing: id  0 | task 892 | prompt processing, n_tokens =    846, progress = 0.62, t =   3.82 s / 221.42 tokens per second
4.01.200.408 I slot print_timing: id  0 | task 892 | prompt processing, n_tokens =   1358, progress = 1.00, t =   5.93 s / 228.93 tokens per second
4.16.703.688 I slot print_timing: id  0 | task 892 | n_decoded =    100, tg =   9.61 t/s, tg_3s =   9.61 t/s
4.19.750.225 I slot print_timing: id  0 | task 892 | n_decoded =    129, tg =   9.59 t/s, tg_3s =   9.52 t/s
4.22.797.591 I slot print_timing: id  0 | task 892 | n_decoded =    158, tg =   9.58 t/s, tg_3s =   9.52 t/s
4.25.851.757 I slot print_timing: id  0 | task 892 | n_decoded =    187, tg =   9.56 t/s, tg_3s =   9.50 t/s
4.28.898.463 I slot print_timing: id  0 | task 892 | n_decoded =    216, tg =   9.56 t/s, tg_3s =   9.52 t/s
4.31.945.217 I slot print_timing: id  0 | task 892 | n_decoded =    245, tg =   9.55 t/s, tg_3s =   9.52 t/s
4.33.100.861 I slot print_timing: id  0 | task 892 | prompt eval time =   11030.68 ms /  1362 tokens (    8.10 ms per token,   123.47 tokens per second)
4.33.100.867 I slot print_timing: id  0 | task 892 |        eval time =   26801.76 ms /   256 tokens (  104.69 ms per token,     9.55 tokens per second)
4.33.100.869 I slot print_timing: id  0 | task 892 |       total time =   37832.44 ms /  1618 tokens
4.33.100.870 I slot print_timing: id  0 | task 892 |    graphs reused =       1118
4.33.101.770 I slot      release: id  0 | task 892 | stop processing: n_tokens = 1617, truncated = 0
4.33.114.273 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98334702918
4.33.511.726 I slot launch_slot_: id  0 | task 1151 | processing task, is_child = 0
4.37.420.264 I slot print_timing: id  0 | task 1151 | prompt processing, n_tokens =    720, progress = 0.58, t =   3.91 s / 184.21 tokens per second
4.39.216.984 I slot print_timing: id  0 | task 1151 | prompt processing, n_tokens =   1232, progress = 1.00, t =   5.71 s / 215.94 tokens per second
4.52.797.558 I slot print_timing: id  0 | task 1151 | prompt eval time =   10763.56 ms /  1236 tokens (    8.71 ms per token,   114.83 tokens per second)
4.52.797.565 I slot print_timing: id  0 | task 1151 |        eval time =    8522.23 ms /    82 tokens (  103.93 ms per token,     9.62 tokens per second)
4.52.797.567 I slot print_timing: id  0 | task 1151 |       total time =   19285.79 ms /  1318 tokens
4.52.797.568 I slot print_timing: id  0 | task 1151 |    graphs reused =       1197
4.52.798.086 I slot      release: id  0 | task 1151 | stop processing: n_tokens = 1317, truncated = 0
4.52.806.764 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98354399235
4.53.186.484 I slot launch_slot_: id  0 | task 1236 | processing task, is_child = 0
4.57.017.093 I slot print_timing: id  0 | task 1236 | prompt processing, n_tokens =    830, progress = 0.62, t =   3.83 s / 216.68 tokens per second
4.59.130.454 I slot print_timing: id  0 | task 1236 | prompt processing, n_tokens =   1342, progress = 1.00, t =   5.94 s / 225.78 tokens per second
5.14.614.339 I slot print_timing: id  0 | task 1236 | n_decoded =    100, tg =   9.61 t/s, tg_3s =   9.61 t/s
5.17.660.517 I slot print_timing: id  0 | task 1236 | n_decoded =    129, tg =   9.59 t/s, tg_3s =   9.52 t/s
5.19.026.005 I slot print_timing: id  0 | task 1236 | prompt eval time =   11022.66 ms /  1346 tokens (    8.19 ms per token,   122.11 tokens per second)
5.19.026.017 I slot print_timing: id  0 | task 1236 |        eval time =   14816.83 ms /   142 tokens (  104.34 ms per token,     9.58 tokens per second)
5.19.026.019 I slot print_timing: id  0 | task 1236 |       total time =   25839.49 ms /  1488 tokens
5.19.026.021 I slot print_timing: id  0 | task 1236 |    graphs reused =       1337
5.19.026.611 I slot      release: id  0 | task 1236 | stop processing: n_tokens = 1487, truncated = 0
5.19.038.682 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 98380627760
5.19.489.033 I slot launch_slot_: id  0 | task 1381 | processing task, is_child = 0
5.23.322.357 I slot print_timing: id  0 | task 1381 | prompt processing, n_tokens =    772, progress = 0.60, t =   3.83 s / 201.39 tokens per second
5.25.418.620 I slot print_timing: id  0 | task 1381 | prompt processing, n_tokens =   1284, progress = 1.00, t =   5.93 s / 216.54 tokens per second
5.40.899.710 I slot print_timing: id  0 | task 1381 | n_decoded =    100, tg =   9.61 t/s, tg_3s =   9.61 t/s
5.43.946.048 I slot print_timing: id  0 | task 1381 | n_decoded =    129, tg =   9.59 t/s, tg_3s =   9.52 t/s
5.46.992.311 I slot print_timing: id  0 | task 1381 | n_decoded =    158, tg =   9.58 t/s, tg_3s =   9.52 t/s
5.50.038.374 I slot print_timing: id  0 | task 1381 | n_decoded =    187, tg =   9.57 t/s, tg_3s =   9.52 t/s
5.53.085.006 I slot print_timing: id  0 | task 1381 | n_decoded =    216, tg =   9.56 t/s, tg_3s =   9.52 t/s
