0.00.176.935 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.265.869 I srv    load_model: loading model '/home/mark/AI/Models/Nemotron/Puzzle-75B/Puzzle-75B-A9B-UD-IQ4-XL.gguf'
1.42.849.265 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.42.929.306 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.42.930.055 I srv  llama_server: model loaded
1.42.930.070 I srv  llama_server: listening on http://0.0.0.0:8091
1.48.821.848 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.48.822.290 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.53.342.738 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    306, progress = 0.92, t =   4.52 s / 67.70 tokens per second
1.54.006.037 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    330, progress = 0.99, t =   5.18 s / 63.67 tokens per second
2.01.852.043 I slot print_timing: id  0 | task 0 | prompt eval time =    5332.89 ms /   334 tokens (   15.97 ms per token,    62.63 tokens per second)
2.01.852.051 I slot print_timing: id  0 | task 0 |        eval time =    7696.49 ms /    85 tokens (   90.55 ms per token,    11.04 tokens per second)
2.01.852.053 I slot print_timing: id  0 | task 0 |       total time =   13029.37 ms /   419 tokens
2.01.852.059 I slot print_timing: id  0 | task 0 |    graphs reused =         84
2.01.852.433 I slot      release: id  0 | task 0 | stop processing: n_tokens = 418, truncated = 0
4.23.707.849 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 343226587289
4.24.264.620 I slot launch_slot_: id  0 | task 91 | processing task, is_child = 0
4.27.870.330 I slot print_timing: id  0 | task 91 | prompt processing, n_tokens =    267, progress = 0.67, t =   3.61 s / 74.05 tokens per second
4.29.334.330 I slot print_timing: id  0 | task 91 | prompt processing, n_tokens =    364, progress = 0.91, t =   5.07 s / 71.80 tokens per second
4.30.024.017 I slot print_timing: id  0 | task 91 | prompt processing, n_tokens =    395, progress = 0.99, t =   5.76 s / 68.58 tokens per second
4.39.251.467 I slot print_timing: id  0 | task 91 | n_decoded =    100, tg =  10.99 t/s, tg_3s =  10.99 t/s
4.42.282.543 I slot print_timing: id  0 | task 91 | n_decoded =    133, tg =  10.97 t/s, tg_3s =  10.89 t/s
4.45.306.016 I slot print_timing: id  0 | task 91 | n_decoded =    166, tg =  10.96 t/s, tg_3s =  10.91 t/s
4.47.138.856 I slot print_timing: id  0 | task 91 | prompt eval time =    5891.25 ms /   399 tokens (   14.77 ms per token,    67.73 tokens per second)
4.47.138.865 I slot print_timing: id  0 | task 91 |        eval time =   16982.92 ms /   186 tokens (   91.31 ms per token,    10.95 tokens per second)
4.47.138.867 I slot print_timing: id  0 | task 91 |       total time =   22874.18 ms /   585 tokens
4.47.138.869 I slot print_timing: id  0 | task 91 |    graphs reused =        267
4.47.139.189 I slot      release: id  0 | task 91 | stop processing: n_tokens = 584, truncated = 0
4.47.139.294 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 343391874043
4.47.499.638 I slot launch_slot_: id  0 | task 89 | processing task, is_child = 0
4.52.132.424 I slot print_timing: id  0 | task 89 | prompt processing, n_tokens =    362, progress = 0.73, t =   4.63 s / 78.14 tokens per second
4.53.512.421 I slot print_timing: id  0 | task 89 | prompt processing, n_tokens =    453, progress = 0.92, t =   6.01 s / 75.34 tokens per second
4.54.335.754 I slot print_timing: id  0 | task 89 | prompt processing, n_tokens =    490, progress = 0.99, t =   6.84 s / 71.68 tokens per second
5.03.557.274 I slot print_timing: id  0 | task 89 | n_decoded =    100, tg =  11.00 t/s, tg_3s =  11.00 t/s
5.06.583.945 I slot print_timing: id  0 | task 89 | n_decoded =    133, tg =  10.98 t/s, tg_3s =  10.90 t/s
5.09.609.121 I slot print_timing: id  0 | task 89 | n_decoded =    166, tg =  10.96 t/s, tg_3s =  10.91 t/s
