0.00.174.349 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.253.863 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q8_0.gguf'
0.51.320.463 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.51.378.071 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.51.378.129 I srv  llama_server: model loaded
0.51.378.135 I srv  llama_server: listening on http://0.0.0.0:8091
0.52.733.493 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.52.734.213 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.55.741.229 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    291, progress = 0.92, t =   3.01 s / 96.79 tokens per second
0.57.325.078 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    314, progress = 0.99, t =   4.59 s / 68.40 tokens per second
1.07.963.241 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   9.63 t/s, tg_3s =   9.63 t/s
1.11.005.023 I slot print_timing: id  0 | task 0 | n_decoded =    129, tg =   9.61 t/s, tg_3s =   9.53 t/s
1.13.836.665 I slot print_timing: id  0 | task 0 | prompt eval time =    4840.33 ms /   318 tokens (   15.22 ms per token,    65.70 tokens per second)
1.13.836.672 I slot print_timing: id  0 | task 0 |        eval time =   16261.75 ms /   156 tokens (  104.24 ms per token,     9.59 tokens per second)
1.13.836.674 I slot print_timing: id  0 | task 0 |       total time =   21102.08 ms /   474 tokens
1.13.836.679 I slot print_timing: id  0 | task 0 |    graphs reused =        155
1.13.837.062 I slot      release: id  0 | task 0 | stop processing: n_tokens = 473, truncated = 0
1.13.837.102 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.672
1.13.837.524 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
1.25.409.327 I slot print_timing: id  0 | task 2 | n_decoded =    100, tg =   9.63 t/s, tg_3s =   9.63 t/s
1.28.452.010 I slot print_timing: id  0 | task 2 | n_decoded =    129, tg =   9.60 t/s, tg_3s =   9.53 t/s
