0.00.185.518 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.322.002 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.36.650.549 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.36.704.354 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.36.704.424 I srv  llama_server: model loaded
0.36.704.433 I srv  llama_server: listening on http://127.0.0.1:8093
0.40.212.943 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.40.213.106 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.48.217.339 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   8.00 s / 255.88 tokens per second
0.53.854.374 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  13.64 s / 300.28 tokens per second
0.59.610.585 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  19.40 s / 316.75 tokens per second
1.06.269.148 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  26.06 s / 314.41 tokens per second
1.12.211.359 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =  32.00 s / 320.02 tokens per second
1.18.290.948 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  38.08 s / 322.71 tokens per second
1.25.273.593 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14336, progress = 0.53, t =  45.06 s / 318.15 tokens per second
1.31.527.783 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  51.31 s / 319.29 tokens per second
1.37.945.645 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18432, progress = 0.68, t =  57.73 s / 319.27 tokens per second
1.45.239.156 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  65.03 s / 314.95 tokens per second
1.51.822.929 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  71.61 s / 314.60 tokens per second
1.58.552.254 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  78.34 s / 313.72 tokens per second
2.06.177.860 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26607, progress = 0.98, t =  85.96 s / 309.51 tokens per second
2.09.364.962 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  89.15 s / 304.19 tokens per second
2.22.202.516 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.82 t/s, tg_3s =  13.82 t/s
2.25.268.595 I slot print_timing: id  3 | task 0 | n_decoded =    142, tg =  13.78 t/s, tg_3s =  13.70 t/s
2.28.334.061 I slot print_timing: id  3 | task 0 | n_decoded =    184, tg =  13.76 t/s, tg_3s =  13.70 t/s
2.31.399.452 I slot print_timing: id  3 | task 0 | n_decoded =    226, tg =  13.75 t/s, tg_3s =  13.70 t/s
2.33.588.941 I slot print_timing: id  3 | task 0 | prompt eval time =   94750.77 ms / 27123 tokens (    3.49 ms per token,   286.26 tokens per second)
2.33.588.948 I slot print_timing: id  3 | task 0 |        eval time =   18624.45 ms /   256 tokens (   72.75 ms per token,    13.75 tokens per second)
2.33.588.950 I slot print_timing: id  3 | task 0 |       total time =  113375.22 ms / 27379 tokens
2.33.588.955 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.33.593.023 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.33.615.307 I srv    operator(): operator(): cleaning up before exit...
