0.00.185.040 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.331.721 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.05.519.700 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.05.555.751 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.555.805 I srv  llama_server: model loaded
0.05.555.810 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.226.542 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.226.623 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.17.299.624 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   7.07 s / 289.56 tokens per second
0.24.002.346 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  13.78 s / 297.34 tokens per second
0.30.860.757 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  20.63 s / 297.76 tokens per second
0.37.877.428 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  27.65 s / 296.27 tokens per second
0.45.029.226 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =  34.80 s / 294.23 tokens per second
0.52.344.682 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  42.12 s / 291.75 tokens per second
0.59.784.153 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14336, progress = 0.53, t =  49.56 s / 289.28 tokens per second
1.07.380.599 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  57.15 s / 286.66 tokens per second
1.15.147.787 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18432, progress = 0.68, t =  64.92 s / 283.91 tokens per second
1.23.050.529 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  72.82 s / 281.23 tokens per second
1.31.083.515 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  80.86 s / 278.62 tokens per second
1.39.283.705 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  89.06 s / 275.96 tokens per second
1.47.625.227 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26607, progress = 0.98, t =  97.40 s / 273.18 tokens per second
1.50.778.783 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t = 100.55 s / 269.70 tokens per second
2.02.587.177 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  14.16 t/s, tg_3s =  14.16 t/s
2.05.651.209 I slot print_timing: id  3 | task 0 | n_decoded =    143, tg =  14.12 t/s, tg_3s =  14.03 t/s
2.08.715.027 I slot print_timing: id  3 | task 0 | n_decoded =    186, tg =  14.10 t/s, tg_3s =  14.03 t/s
2.11.778.727 I slot print_timing: id  3 | task 0 | n_decoded =    229, tg =  14.09 t/s, tg_3s =  14.04 t/s
2.13.702.242 I slot print_timing: id  3 | task 0 | prompt eval time =  105297.08 ms / 27123 tokens (    3.88 ms per token,   257.59 tokens per second)
2.13.702.248 I slot print_timing: id  3 | task 0 |        eval time =   18178.38 ms /   256 tokens (   71.01 ms per token,    14.08 tokens per second)
2.13.702.250 I slot print_timing: id  3 | task 0 |       total time =  123475.46 ms / 27379 tokens
2.13.702.259 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.13.706.378 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.13.727.296 I srv    operator(): operator(): cleaning up before exit...
