0.00.169.548 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.298.783 W srv  llama_server: -----------------
0.01.298.789 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.298.789 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.298.790 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.298.790 W srv  llama_server: -----------------
0.01.300.297 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.428.975 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.465.227 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.465.281 I srv  llama_server: model loaded
0.06.465.287 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.167.951 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.168.029 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.18.114.034 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   7.95 s / 257.74 tokens per second
0.23.755.491 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  13.59 s / 301.46 tokens per second
0.29.485.914 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  19.32 s / 318.05 tokens per second
0.36.147.518 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  25.98 s / 315.33 tokens per second
0.42.106.593 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =  31.94 s / 320.62 tokens per second
0.48.173.352 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  38.01 s / 323.32 tokens per second
0.55.154.845 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14336, progress = 0.53, t =  44.99 s / 318.67 tokens per second
1.01.419.656 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  51.25 s / 319.68 tokens per second
1.07.797.456 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18432, progress = 0.68, t =  57.63 s / 319.84 tokens per second
1.15.131.074 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  64.96 s / 315.26 tokens per second
1.21.681.505 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  71.51 s / 315.02 tokens per second
1.28.407.765 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  78.24 s / 314.11 tokens per second
1.36.073.631 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26607, progress = 0.98, t =  85.91 s / 309.72 tokens per second
1.39.226.200 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  89.06 s / 304.51 tokens per second
1.52.157.027 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.83 t/s, tg_3s =  13.83 t/s
1.55.220.795 I slot print_timing: id  3 | task 0 | n_decoded =    142, tg =  13.80 t/s, tg_3s =  13.71 t/s
1.58.284.445 I slot print_timing: id  3 | task 0 | n_decoded =    184, tg =  13.78 t/s, tg_3s =  13.71 t/s
2.01.349.890 I slot print_timing: id  3 | task 0 | n_decoded =    226, tg =  13.76 t/s, tg_3s =  13.70 t/s
2.03.538.584 I slot print_timing: id  3 | task 0 | prompt eval time =   94759.19 ms / 27123 tokens (    3.49 ms per token,   286.23 tokens per second)
2.03.538.593 I slot print_timing: id  3 | task 0 |        eval time =   18611.19 ms /   256 tokens (   72.70 ms per token,    13.76 tokens per second)
2.03.538.595 I slot print_timing: id  3 | task 0 |       total time =  113370.38 ms / 27379 tokens
2.03.538.604 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.03.542.767 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.03.562.318 I srv    operator(): operator(): cleaning up before exit...
