0.00.179.249 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.284.472 W srv  llama_server: -----------------
0.01.284.477 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.284.478 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.284.478 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.284.478 W srv  llama_server: -----------------
0.01.285.993 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.37.873.031 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.37.925.416 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.37.925.497 I srv  llama_server: model loaded
0.37.925.506 I srv  llama_server: listening on http://127.0.0.1:8093
0.40.295.646 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.40.295.732 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.56.469.214 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  16.17 s / 253.26 tokens per second
0.59.401.485 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  19.11 s / 428.78 tokens per second
1.16.427.908 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  36.13 s / 340.09 tokens per second
1.23.323.444 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  43.03 s / 380.78 tokens per second
1.38.510.730 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  58.21 s / 351.80 tokens per second
1.46.371.139 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23027, progress = 0.85, t =  66.08 s / 348.50 tokens per second
1.54.649.524 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  74.35 s / 364.73 tokens per second
2.29.682.468 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.04 t/s, tg_3s =  13.04 t/s
2.32.716.907 I slot print_timing: id  3 | task 0 | n_decoded =    139, tg =  12.99 t/s, tg_3s =  12.85 t/s
2.35.752.734 I slot print_timing: id  3 | task 0 | n_decoded =    178, tg =  12.96 t/s, tg_3s =  12.85 t/s
2.38.787.074 I slot print_timing: id  3 | task 0 | n_decoded =    217, tg =  12.94 t/s, tg_3s =  12.85 t/s
2.41.821.251 I slot print_timing: id  3 | task 0 | prompt eval time =  101717.50 ms / 27123 tokens (    3.75 ms per token,   266.65 tokens per second)
2.41.821.257 I slot print_timing: id  3 | task 0 |        eval time =   19807.85 ms /   256 tokens (   77.37 ms per token,    12.92 tokens per second)
2.41.821.259 I slot print_timing: id  3 | task 0 |       total time =  121525.35 ms / 27379 tokens
2.41.821.269 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.41.825.484 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.41.850.824 I srv    operator(): operator(): cleaning up before exit...
