0.00.177.445 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.287.028 W srv  llama_server: -----------------
0.01.287.034 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.287.035 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.287.036 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.287.036 W srv  llama_server: -----------------
0.01.288.543 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.07.912.548 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.07.948.958 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.07.949.030 I srv  llama_server: model loaded
0.07.949.039 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.168.715 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.168.805 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.31.832.304 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  21.66 s / 189.08 tokens per second
0.32.802.563 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  22.63 s / 361.94 tokens per second
0.47.609.859 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  37.44 s / 328.20 tokens per second
1.00.920.124 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  50.75 s / 322.83 tokens per second
1.09.993.196 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  59.82 s / 342.34 tokens per second
1.19.390.289 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23027, progress = 0.85, t =  69.22 s / 332.66 tokens per second
1.40.069.554 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  89.90 s / 301.66 tokens per second
2.23.681.492 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  12.93 t/s, tg_3s =  12.93 t/s
2.26.737.911 I slot print_timing: id  3 | task 0 | n_decoded =    139, tg =  12.88 t/s, tg_3s =  12.76 t/s
2.29.794.524 I slot print_timing: id  3 | task 0 | n_decoded =    178, tg =  12.85 t/s, tg_3s =  12.76 t/s
2.32.850.827 I slot print_timing: id  3 | task 0 | n_decoded =    217, tg =  12.84 t/s, tg_3s =  12.76 t/s
2.35.906.668 I slot print_timing: id  3 | task 0 | prompt eval time =  125776.70 ms / 27123 tokens (    4.64 ms per token,   215.64 tokens per second)
2.35.906.676 I slot print_timing: id  3 | task 0 |        eval time =   19961.00 ms /   256 tokens (   77.97 ms per token,    12.83 tokens per second)
2.35.906.678 I slot print_timing: id  3 | task 0 |       total time =  145737.70 ms / 27379 tokens
2.35.906.684 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.35.910.877 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.35.932.073 I srv    operator(): operator(): cleaning up before exit...
