0.00.175.320 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.273.703 W srv  llama_server: -----------------
0.01.273.708 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.273.709 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.273.709 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.273.710 W srv  llama_server: -----------------
0.01.275.193 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.205.644 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.241.949 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.242.010 I srv  llama_server: model loaded
0.06.242.019 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.172.778 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.172.867 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.13.509.492 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1024, progress = 0.04, t =   3.34 s / 306.91 tokens per second
0.16.265.505 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1536, progress = 0.06, t =   6.09 s / 252.11 tokens per second
0.17.234.526 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   7.06 s / 290.02 tokens per second
0.19.566.034 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2560, progress = 0.09, t =   9.39 s / 272.54 tokens per second
0.20.560.837 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3072, progress = 0.11, t =  10.39 s / 295.73 tokens per second
0.22.909.993 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3584, progress = 0.13, t =  12.74 s / 281.39 tokens per second
0.23.905.332 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  13.73 s / 298.27 tokens per second
0.26.280.720 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4608, progress = 0.17, t =  16.11 s / 286.07 tokens per second
0.27.288.122 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5120, progress = 0.19, t =  17.12 s / 299.15 tokens per second
0.29.688.413 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5632, progress = 0.21, t =  19.52 s / 288.59 tokens per second
0.30.705.827 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  20.53 s / 299.23 tokens per second
0.33.130.811 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6656, progress = 0.25, t =  22.96 s / 289.92 tokens per second
0.34.155.199 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   7168, progress = 0.26, t =  23.98 s / 298.89 tokens per second
0.36.599.580 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   7680, progress = 0.28, t =  26.43 s / 290.62 tokens per second
0.37.636.327 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  27.46 s / 298.29 tokens per second
0.40.113.328 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8704, progress = 0.32, t =  29.94 s / 290.71 tokens per second
0.41.153.895 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9216, progress = 0.34, t =  30.98 s / 297.47 tokens per second
0.43.644.824 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9728, progress = 0.36, t =  33.47 s / 290.63 tokens per second
0.44.706.226 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =  34.53 s / 296.53 tokens per second
0.47.225.989 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10752, progress = 0.40, t =  37.05 s / 290.18 tokens per second
0.48.301.213 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  11264, progress = 0.42, t =  38.13 s / 295.42 tokens per second
0.50.825.952 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  11776, progress = 0.43, t =  40.65 s / 289.67 tokens per second
0.51.924.851 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  41.75 s / 294.31 tokens per second
0.54.445.714 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12800, progress = 0.47, t =  44.27 s / 289.12 tokens per second
0.55.567.707 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  13312, progress = 0.49, t =  45.39 s / 293.25 tokens per second
0.58.098.783 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  13824, progress = 0.51, t =  47.93 s / 288.45 tokens per second
0.59.240.022 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14336, progress = 0.53, t =  49.07 s / 292.17 tokens per second
1.01.793.539 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14848, progress = 0.55, t =  51.62 s / 287.64 tokens per second
1.02.966.986 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  15360, progress = 0.57, t =  52.79 s / 290.94 tokens per second
1.05.522.814 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  15872, progress = 0.59, t =  55.35 s / 286.76 tokens per second
1.06.716.350 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  56.54 s / 289.76 tokens per second
1.09.279.409 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16896, progress = 0.62, t =  59.11 s / 285.86 tokens per second
1.10.497.487 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  17408, progress = 0.64, t =  60.32 s / 288.57 tokens per second
1.13.086.416 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  17920, progress = 0.66, t =  62.91 s / 284.84 tokens per second
1.14.307.771 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18432, progress = 0.68, t =  64.13 s / 287.39 tokens per second
1.16.916.664 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18944, progress = 0.70, t =  66.74 s / 283.83 tokens per second
1.18.151.865 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  19456, progress = 0.72, t =  67.98 s / 286.21 tokens per second
1.20.779.002 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  19968, progress = 0.74, t =  70.61 s / 282.81 tokens per second
1.22.023.622 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  71.85 s / 285.04 tokens per second
1.24.667.049 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20992, progress = 0.77, t =  74.49 s / 281.79 tokens per second
1.25.933.383 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  21504, progress = 0.79, t =  75.76 s / 283.84 tokens per second
1.28.593.087 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22016, progress = 0.81, t =  78.42 s / 280.74 tokens per second
1.29.877.577 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  79.70 s / 282.64 tokens per second
1.32.545.813 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23040, progress = 0.85, t =  82.37 s / 279.70 tokens per second
1.33.846.486 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23552, progress = 0.87, t =  83.67 s / 281.48 tokens per second
1.36.538.387 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24064, progress = 0.89, t =  86.37 s / 278.63 tokens per second
1.37.843.202 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  87.67 s / 280.32 tokens per second
1.40.554.851 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  25088, progress = 0.92, t =  90.38 s / 277.58 tokens per second
1.41.876.383 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  25600, progress = 0.94, t =  91.70 s / 279.16 tokens per second
1.44.606.936 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26112, progress = 0.96, t =  94.43 s / 276.51 tokens per second
1.45.953.482 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26611, progress = 0.98, t =  95.78 s / 277.83 tokens per second
1.49.165.027 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  98.99 s / 273.95 tokens per second
2.01.030.593 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.92 t/s, tg_3s =  13.92 t/s
2.04.074.448 I slot print_timing: id  3 | task 0 | n_decoded =    142, tg =  13.89 t/s, tg_3s =  13.80 t/s
2.07.118.155 I slot print_timing: id  3 | task 0 | n_decoded =    184, tg =  13.87 t/s, tg_3s =  13.80 t/s
2.10.161.251 I slot print_timing: id  3 | task 0 | n_decoded =    226, tg =  13.85 t/s, tg_3s =  13.80 t/s
2.12.335.322 I slot print_timing: id  3 | task 0 | prompt eval time =  103675.89 ms / 27123 tokens (    3.82 ms per token,   261.61 tokens per second)
2.12.335.328 I slot print_timing: id  3 | task 0 |        eval time =   18486.39 ms /   256 tokens (   72.21 ms per token,    13.85 tokens per second)
2.12.335.330 I slot print_timing: id  3 | task 0 |       total time =  122162.28 ms / 27379 tokens
2.12.335.339 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.12.339.363 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.12.360.602 I srv    operator(): operator(): cleaning up before exit...
