0.00.175.201 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.262.530 W srv  llama_server: -----------------
0.01.262.535 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.262.536 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.262.536 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.262.537 W srv  llama_server: -----------------
0.01.264.027 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.352.232 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.388.507 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.388.569 I srv  llama_server: model loaded
0.06.388.576 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.169.191 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.169.276 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.18.106.366 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   7.94 s / 258.03 tokens per second
0.23.741.816 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  13.57 s / 301.79 tokens per second
0.29.497.097 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  19.33 s / 317.89 tokens per second
0.36.145.015 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  25.98 s / 315.37 tokens per second
0.42.094.528 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =  31.93 s / 320.75 tokens per second
0.48.171.560 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  38.00 s / 323.35 tokens per second
0.55.140.205 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14336, progress = 0.53, t =  44.97 s / 318.78 tokens per second
1.01.407.899 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  51.24 s / 319.76 tokens per second
1.07.819.680 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18432, progress = 0.68, t =  57.65 s / 319.72 tokens per second
1.15.117.341 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  64.95 s / 315.33 tokens per second
1.21.692.406 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  71.52 s / 314.98 tokens per second
1.28.431.194 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  78.26 s / 314.02 tokens per second
1.36.010.637 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26607, progress = 0.98, t =  85.84 s / 309.96 tokens per second
1.39.239.440 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  89.07 s / 304.47 tokens per second
1.52.170.532 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.82 t/s, tg_3s =  13.82 t/s
1.55.238.039 I slot print_timing: id  3 | task 0 | n_decoded =    142, tg =  13.78 t/s, tg_3s =  13.69 t/s
1.58.304.264 I slot print_timing: id  3 | task 0 | n_decoded =    184, tg =  13.76 t/s, tg_3s =  13.70 t/s
2.01.370.298 I slot print_timing: id  3 | task 0 | n_decoded =    226, tg =  13.75 t/s, tg_3s =  13.70 t/s
2.03.559.951 I slot print_timing: id  3 | task 0 | prompt eval time =   94766.96 ms / 27123 tokens (    3.49 ms per token,   286.21 tokens per second)
2.03.559.957 I slot print_timing: id  3 | task 0 |        eval time =   18623.52 ms /   256 tokens (   72.75 ms per token,    13.75 tokens per second)
2.03.559.959 I slot print_timing: id  3 | task 0 |       total time =  113390.49 ms / 27379 tokens
2.03.559.970 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.03.563.997 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.03.584.530 I srv    operator(): operator(): cleaning up before exit...
