0.00.178.298 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.262.608 W srv  llama_server: -----------------
0.01.262.613 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.262.613 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.262.614 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.262.614 W srv  llama_server: -----------------
0.01.264.124 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.782.920 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.819.020 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.819.078 I srv  llama_server: model loaded
0.06.819.090 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.069.760 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.069.863 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.17.147.175 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   7.08 s / 289.38 tokens per second
0.23.822.485 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  13.75 s / 297.84 tokens per second
0.30.627.005 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  20.56 s / 298.88 tokens per second
0.37.568.725 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  27.50 s / 297.90 tokens per second
0.44.640.034 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =  34.57 s / 296.21 tokens per second
0.51.845.184 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  41.78 s / 294.15 tokens per second
0.59.171.181 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14336, progress = 0.53, t =  49.10 s / 291.97 tokens per second
1.06.645.969 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  56.58 s / 289.59 tokens per second
1.14.257.634 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18432, progress = 0.68, t =  64.19 s / 287.16 tokens per second
1.21.979.884 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  71.91 s / 284.80 tokens per second
1.29.809.658 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22528, progress = 0.83, t =  79.74 s / 282.52 tokens per second
1.37.788.197 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  24576, progress = 0.91, t =  87.72 s / 280.17 tokens per second
1.45.893.211 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  26607, progress = 0.98, t =  95.82 s / 277.67 tokens per second
1.48.968.150 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  98.90 s / 274.21 tokens per second
2.00.841.347 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.94 t/s, tg_3s =  13.94 t/s
2.03.882.704 I slot print_timing: id  3 | task 0 | n_decoded =    142, tg =  13.90 t/s, tg_3s =  13.81 t/s
2.06.921.912 I slot print_timing: id  3 | task 0 | n_decoded =    184, tg =  13.88 t/s, tg_3s =  13.82 t/s
2.09.961.486 I slot print_timing: id  3 | task 0 | n_decoded =    226, tg =  13.87 t/s, tg_3s =  13.82 t/s
2.12.132.563 I slot print_timing: id  3 | task 0 | prompt eval time =  103599.31 ms / 27123 tokens (    3.82 ms per token,   261.81 tokens per second)
2.12.132.570 I slot print_timing: id  3 | task 0 |        eval time =   18463.22 ms /   256 tokens (   72.12 ms per token,    13.87 tokens per second)
2.12.132.572 I slot print_timing: id  3 | task 0 |       total time =  122062.53 ms / 27379 tokens
2.12.132.584 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.12.136.719 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.12.155.823 I srv    operator(): operator(): cleaning up before exit...
