0.00.168.469 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.261.840 W srv  llama_server: -----------------
0.01.261.845 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.261.845 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.261.846 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.261.846 W srv  llama_server: -----------------
0.01.263.365 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.07.781.295 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.07.817.676 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.07.817.735 I srv  llama_server: model loaded
0.07.817.743 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.165.328 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.165.411 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.31.807.031 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  21.64 s / 189.27 tokens per second
0.32.771.022 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  22.61 s / 362.39 tokens per second
0.47.593.484 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  37.43 s / 328.31 tokens per second
1.00.910.527 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  50.74 s / 322.87 tokens per second
1.09.970.595 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  59.81 s / 342.45 tokens per second
1.19.371.613 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23027, progress = 0.85, t =  69.21 s / 332.73 tokens per second
1.40.096.086 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  89.93 s / 301.56 tokens per second
2.23.546.550 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.11 t/s, tg_3s =  13.11 t/s
2.26.622.717 I slot print_timing: id  3 | task 0 | n_decoded =    140, tg =  13.08 t/s, tg_3s =  13.00 t/s
2.29.632.824 I slot print_timing: id  3 | task 0 | n_decoded =    179, tg =  13.05 t/s, tg_3s =  12.96 t/s
2.32.689.611 I slot print_timing: id  3 | task 0 | n_decoded =    218, tg =  13.00 t/s, tg_3s =  12.76 t/s
2.35.667.804 I slot print_timing: id  3 | task 0 | prompt eval time =  125753.40 ms / 27123 tokens (    4.64 ms per token,   215.68 tokens per second)
2.35.667.816 I slot print_timing: id  3 | task 0 |        eval time =   19748.83 ms /   256 tokens (   77.14 ms per token,    12.96 tokens per second)
2.35.667.817 I slot print_timing: id  3 | task 0 |       total time =  145502.24 ms / 27379 tokens
2.35.667.827 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.35.671.870 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.35.692.742 I srv    operator(): operator(): cleaning up before exit...
