0.00.178.866 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.313.242 W srv  llama_server: -----------------
0.01.313.249 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.313.249 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.313.250 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.313.250 W srv  llama_server: -----------------
0.01.314.771 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.08.117.705 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.08.176.407 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.176.529 I srv  llama_server: model loaded
0.08.176.545 I srv  llama_server: listening on http://127.0.0.1:8093
0.10.182.173 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.182.265 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.26.228.278 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  16.05 s / 255.27 tokens per second
0.29.164.429 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  18.98 s / 431.57 tokens per second
0.46.197.380 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12288, progress = 0.45, t =  36.01 s / 341.19 tokens per second
0.53.049.342 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16384, progress = 0.60, t =  42.87 s / 382.21 tokens per second
1.08.224.177 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20480, progress = 0.76, t =  58.04 s / 352.85 tokens per second
1.16.037.337 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23027, progress = 0.85, t =  65.85 s / 349.66 tokens per second
1.24.411.687 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  27119, progress = 1.00, t =  74.23 s / 365.34 tokens per second
1.59.371.868 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  13.22 t/s, tg_3s =  13.22 t/s
2.02.423.348 I slot print_timing: id  3 | task 0 | n_decoded =    140, tg =  13.19 t/s, tg_3s =  13.11 t/s
2.05.474.263 I slot print_timing: id  3 | task 0 | n_decoded =    180, tg =  13.17 t/s, tg_3s =  13.11 t/s
2.08.525.223 I slot print_timing: id  3 | task 0 | n_decoded =    220, tg =  13.16 t/s, tg_3s =  13.11 t/s
2.11.273.277 I slot print_timing: id  3 | task 0 | prompt eval time =  101623.74 ms / 27123 tokens (    3.75 ms per token,   266.90 tokens per second)
2.11.273.286 I slot print_timing: id  3 | task 0 |        eval time =   19467.10 ms /   256 tokens (   76.04 ms per token,    13.15 tokens per second)
2.11.273.287 I slot print_timing: id  3 | task 0 |       total time =  121090.83 ms / 27379 tokens
2.11.273.299 I slot print_timing: id  3 | task 0 |    graphs reused =        254
2.11.277.420 I slot      release: id  3 | task 0 | stop processing: n_tokens = 27378, truncated = 0
2.11.298.959 I srv    operator(): operator(): cleaning up before exit...
