0.00.182.597 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.367.452 W srv  llama_server: -----------------
0.01.367.458 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.367.458 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.367.459 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.367.459 W srv  llama_server: -----------------
0.01.368.954 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.464.920 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.501.029 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.501.087 I srv  llama_server: model loaded
0.06.501.109 I srv  llama_server: listening on http://127.0.0.1:8094
0.10.156.642 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.156.732 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.13.723.129 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    512, progress = 0.02, t =   3.57 s / 143.57 tokens per second
0.13.747.009 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1024, progress = 0.04, t =   3.59 s / 285.23 tokens per second
0.16.092.361 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1536, progress = 0.06, t =   5.94 s / 258.78 tokens per second
0.18.084.467 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   7.93 s / 258.34 tokens per second
0.19.272.065 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2560, progress = 0.09, t =   9.12 s / 280.85 tokens per second
0.20.497.121 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3072, progress = 0.11, t =  10.34 s / 297.09 tokens per second
0.22.509.740 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3584, progress = 0.13, t =  12.35 s / 290.14 tokens per second
0.23.708.461 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  13.55 s / 302.25 tokens per second
0.24.966.473 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4608, progress = 0.17, t =  14.81 s / 311.15 tokens per second
0.26.992.811 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5120, progress = 0.19, t =  16.84 s / 304.11 tokens per second
0.28.211.145 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5632, progress = 0.21, t =  18.05 s / 311.95 tokens per second
0.29.485.546 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  19.33 s / 317.87 tokens per second
0.31.533.198 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6656, progress = 0.25, t =  21.38 s / 311.37 tokens per second
