0.00.184.484 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.268.330 W srv  llama_server: -----------------
0.01.268.335 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.268.336 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.268.336 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.268.337 W srv  llama_server: -----------------
0.01.269.821 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_0-STATIC.gguf'
0.06.556.393 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.06.592.503 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.592.572 I srv  llama_server: model loaded
0.06.592.583 I srv  llama_server: listening on http://127.0.0.1:8094
0.10.174.817 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.174.904 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.13.574.632 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1024, progress = 0.04, t =   3.40 s / 301.21 tokens per second
0.16.470.626 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1536, progress = 0.06, t =   6.30 s / 243.98 tokens per second
0.17.447.148 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.08, t =   7.27 s / 281.62 tokens per second
0.19.829.503 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2560, progress = 0.09, t =   9.65 s / 265.16 tokens per second
0.20.820.912 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3072, progress = 0.11, t =  10.65 s / 288.56 tokens per second
0.23.219.908 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3584, progress = 0.13, t =  13.04 s / 274.74 tokens per second
0.24.233.308 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.15, t =  14.06 s / 291.36 tokens per second
0.26.639.332 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4608, progress = 0.17, t =  16.46 s / 279.88 tokens per second
0.27.660.989 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5120, progress = 0.19, t =  17.49 s / 292.81 tokens per second
0.30.081.508 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   5632, progress = 0.21, t =  19.91 s / 282.92 tokens per second
0.31.127.750 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.23, t =  20.95 s / 293.23 tokens per second
0.33.566.245 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6656, progress = 0.25, t =  23.39 s / 284.55 tokens per second
0.34.620.152 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   7168, progress = 0.26, t =  24.45 s / 293.23 tokens per second
0.37.076.137 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   7680, progress = 0.28, t =  26.90 s / 285.49 tokens per second
0.38.154.192 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.30, t =  27.98 s / 292.79 tokens per second
0.40.613.460 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8704, progress = 0.32, t =  30.44 s / 285.95 tokens per second
0.41.744.870 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9216, progress = 0.34, t =  31.57 s / 291.92 tokens per second
0.44.203.978 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9728, progress = 0.36, t =  34.03 s / 285.87 tokens per second
0.45.377.084 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10240, progress = 0.38, t =  35.20 s / 290.89 tokens per second
0.47.841.614 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10752, progress = 0.40, t =  37.67 s / 285.45 tokens per second
0.49.042.829 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  11264, progress = 0.42, t =  38.87 s / 289.80 tokens per second
