0.00.184.974 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.334.370 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q8_0.gguf'
0.08.880.073 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.08.932.221 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.932.277 I srv  llama_server: model loaded
0.08.932.284 I srv  llama_server: listening on http://127.0.0.1:8090
0.09.827.566 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.09.827.643 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.827.649 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.827.679 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.09.827.683 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.09.827.707 I slot launch_slot_: id  1 | task 2 | processing task, is_child = 0
0.09.827.711 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.09.827.736 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.30.888.578 I slot print_timing: id  0 | task 3 | n_decoded =    100, tg =   5.68 t/s, tg_3s =   5.68 t/s
0.30.889.405 I slot print_timing: id  1 | task 2 | n_decoded =    100, tg =   5.68 t/s, tg_3s =   5.68 t/s
0.30.890.257 I slot print_timing: id  2 | task 1 | n_decoded =    100, tg =   5.68 t/s, tg_3s =   5.68 t/s
0.30.891.094 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   5.68 t/s, tg_3s =   5.68 t/s
0.33.912.051 I slot print_timing: id  0 | task 3 | n_decoded =    117, tg =   5.67 t/s, tg_3s =   5.62 t/s
0.33.912.874 I slot print_timing: id  1 | task 2 | n_decoded =    117, tg =   5.67 t/s, tg_3s =   5.62 t/s
0.33.913.745 I slot print_timing: id  2 | task 1 | n_decoded =    117, tg =   5.68 t/s, tg_3s =   5.62 t/s
0.33.914.599 I slot print_timing: id  3 | task 0 | n_decoded =    117, tg =   5.68 t/s, tg_3s =   5.62 t/s
0.36.936.662 I slot print_timing: id  0 | task 3 | n_decoded =    134, tg =   5.67 t/s, tg_3s =   5.62 t/s
0.36.937.495 I slot print_timing: id  1 | task 2 | n_decoded =    134, tg =   5.67 t/s, tg_3s =   5.62 t/s
0.36.938.354 I slot print_timing: id  2 | task 1 | n_decoded =    134, tg =   5.67 t/s, tg_3s =   5.62 t/s
0.36.939.199 I slot print_timing: id  3 | task 0 | n_decoded =    134, tg =   5.67 t/s, tg_3s =   5.62 t/s
0.39.960.130 I slot print_timing: id  0 | task 3 | n_decoded =    151, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.39.960.990 I slot print_timing: id  1 | task 2 | n_decoded =    151, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.39.961.909 I slot print_timing: id  2 | task 1 | n_decoded =    151, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.39.962.828 I slot print_timing: id  3 | task 0 | n_decoded =    151, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.42.985.731 I slot print_timing: id  0 | task 3 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.42.986.569 I slot print_timing: id  1 | task 2 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.42.987.447 I slot print_timing: id  2 | task 1 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.42.988.308 I slot print_timing: id  3 | task 0 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.46.011.512 I slot print_timing: id  0 | task 3 | n_decoded =    185, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.46.012.343 I slot print_timing: id  1 | task 2 | n_decoded =    185, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.46.013.209 I slot print_timing: id  2 | task 1 | n_decoded =    185, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.46.014.049 I slot print_timing: id  3 | task 0 | n_decoded =    185, tg =   5.66 t/s, tg_3s =   5.62 t/s
0.49.035.622 I slot print_timing: id  0 | task 3 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.49.036.486 I slot print_timing: id  1 | task 2 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.49.037.401 I slot print_timing: id  2 | task 1 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.49.038.252 I slot print_timing: id  3 | task 0 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.52.061.096 I slot print_timing: id  0 | task 3 | n_decoded =    219, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.52.061.920 I slot print_timing: id  1 | task 2 | n_decoded =    219, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.52.062.772 I slot print_timing: id  2 | task 1 | n_decoded =    219, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.52.063.617 I slot print_timing: id  3 | task 0 | n_decoded =    219, tg =   5.65 t/s, tg_3s =   5.62 t/s
0.55.171.026 I slot print_timing: id  0 | task 3 | n_decoded =    236, tg =   5.64 t/s, tg_3s =   5.47 t/s
0.55.171.856 I slot print_timing: id  1 | task 2 | n_decoded =    236, tg =   5.64 t/s, tg_3s =   5.47 t/s
0.55.172.714 I slot print_timing: id  2 | task 1 | n_decoded =    236, tg =   5.64 t/s, tg_3s =   5.47 t/s
0.55.173.558 I slot print_timing: id  3 | task 0 | n_decoded =    236, tg =   5.64 t/s, tg_3s =   5.47 t/s
0.58.189.648 I slot print_timing: id  0 | task 3 | n_decoded =    252, tg =   5.61 t/s, tg_3s =   5.30 t/s
0.58.190.487 I slot print_timing: id  1 | task 2 | n_decoded =    252, tg =   5.61 t/s, tg_3s =   5.30 t/s
0.58.191.360 I slot print_timing: id  2 | task 1 | n_decoded =    252, tg =   5.61 t/s, tg_3s =   5.30 t/s
0.58.192.201 I slot print_timing: id  3 | task 0 | n_decoded =    252, tg =   5.61 t/s, tg_3s =   5.30 t/s
1.01.212.699 I slot print_timing: id  0 | task 3 | n_decoded =    268, tg =   5.59 t/s, tg_3s =   5.29 t/s
1.01.213.593 I slot print_timing: id  1 | task 2 | n_decoded =    268, tg =   5.59 t/s, tg_3s =   5.29 t/s
1.01.214.504 I slot print_timing: id  2 | task 1 | n_decoded =    268, tg =   5.59 t/s, tg_3s =   5.29 t/s
1.01.215.400 I slot print_timing: id  3 | task 0 | n_decoded =    268, tg =   5.59 t/s, tg_3s =   5.29 t/s
1.04.235.611 I slot print_timing: id  0 | task 3 | n_decoded =    284, tg =   5.57 t/s, tg_3s =   5.29 t/s
1.04.236.457 I slot print_timing: id  1 | task 2 | n_decoded =    284, tg =   5.57 t/s, tg_3s =   5.29 t/s
1.04.237.327 I slot print_timing: id  2 | task 1 | n_decoded =    284, tg =   5.58 t/s, tg_3s =   5.29 t/s
1.04.238.198 I slot print_timing: id  3 | task 0 | n_decoded =    284, tg =   5.58 t/s, tg_3s =   5.29 t/s
1.07.257.232 I slot print_timing: id  0 | task 3 | n_decoded =    300, tg =   5.56 t/s, tg_3s =   5.30 t/s
1.07.258.039 I slot print_timing: id  1 | task 2 | n_decoded =    300, tg =   5.56 t/s, tg_3s =   5.30 t/s
1.07.258.878 I slot print_timing: id  2 | task 1 | n_decoded =    300, tg =   5.56 t/s, tg_3s =   5.30 t/s
1.07.259.706 I slot print_timing: id  3 | task 0 | n_decoded =    300, tg =   5.56 t/s, tg_3s =   5.30 t/s
1.10.277.489 I slot print_timing: id  0 | task 3 | n_decoded =    316, tg =   5.55 t/s, tg_3s =   5.30 t/s
1.10.278.338 I slot print_timing: id  1 | task 2 | n_decoded =    316, tg =   5.55 t/s, tg_3s =   5.30 t/s
1.10.279.213 I slot print_timing: id  2 | task 1 | n_decoded =    316, tg =   5.55 t/s, tg_3s =   5.30 t/s
1.10.280.083 I slot print_timing: id  3 | task 0 | n_decoded =    316, tg =   5.55 t/s, tg_3s =   5.30 t/s
1.13.304.684 I slot print_timing: id  0 | task 3 | n_decoded =    332, tg =   5.53 t/s, tg_3s =   5.29 t/s
1.13.305.519 I slot print_timing: id  1 | task 2 | n_decoded =    332, tg =   5.53 t/s, tg_3s =   5.29 t/s
1.13.306.371 I slot print_timing: id  2 | task 1 | n_decoded =    332, tg =   5.53 t/s, tg_3s =   5.29 t/s
1.13.307.221 I slot print_timing: id  3 | task 0 | n_decoded =    332, tg =   5.53 t/s, tg_3s =   5.29 t/s
1.16.327.398 I slot print_timing: id  0 | task 3 | n_decoded =    348, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.16.328.265 I slot print_timing: id  1 | task 2 | n_decoded =    348, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.16.329.159 I slot print_timing: id  2 | task 1 | n_decoded =    348, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.16.330.031 I slot print_timing: id  3 | task 0 | n_decoded =    348, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.19.349.047 I slot print_timing: id  0 | task 3 | n_decoded =    364, tg =   5.51 t/s, tg_3s =   5.30 t/s
1.19.349.870 I slot print_timing: id  1 | task 2 | n_decoded =    364, tg =   5.51 t/s, tg_3s =   5.30 t/s
1.19.350.738 I slot print_timing: id  2 | task 1 | n_decoded =    364, tg =   5.51 t/s, tg_3s =   5.30 t/s
1.19.351.588 I slot print_timing: id  3 | task 0 | n_decoded =    364, tg =   5.51 t/s, tg_3s =   5.30 t/s
1.22.371.459 I slot print_timing: id  0 | task 3 | n_decoded =    380, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.22.372.278 I slot print_timing: id  1 | task 2 | n_decoded =    380, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.22.373.132 I slot print_timing: id  2 | task 1 | n_decoded =    380, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.22.373.961 I slot print_timing: id  3 | task 0 | n_decoded =    380, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.25.392.755 I slot print_timing: id  0 | task 3 | n_decoded =    396, tg =   5.49 t/s, tg_3s =   5.30 t/s
1.25.393.581 I slot print_timing: id  1 | task 2 | n_decoded =    396, tg =   5.49 t/s, tg_3s =   5.30 t/s
1.25.394.437 I slot print_timing: id  2 | task 1 | n_decoded =    396, tg =   5.49 t/s, tg_3s =   5.30 t/s
