0.00.167.587 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.245.567 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B-ThinkingCap/ThinkingCap-Qwen3.6-27B-Q8_0-MTP.gguf'
0.46.294.074 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.46.340.530 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.46.340.600 I srv  llama_server: model loaded
0.46.340.608 I srv  llama_server: listening on http://127.0.0.1:8090
0.50.182.040 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.50.182.132 I slot launch_slot_: id  3 | task 2 | processing task, is_child = 0
0.50.182.138 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.50.182.171 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.50.182.175 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.50.182.201 I slot launch_slot_: id  1 | task 0 | processing task, is_child = 0
0.50.182.205 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.50.182.231 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
1.11.253.633 I slot print_timing: id  0 | task 3 | n_decoded =    100, tg =   5.69 t/s, tg_3s =   5.69 t/s
1.11.254.456 I slot print_timing: id  1 | task 0 | n_decoded =    100, tg =   5.69 t/s, tg_3s =   5.69 t/s
1.11.255.280 I slot print_timing: id  2 | task 1 | n_decoded =    100, tg =   5.69 t/s, tg_3s =   5.69 t/s
1.11.256.091 I slot print_timing: id  3 | task 2 | n_decoded =    100, tg =   5.70 t/s, tg_3s =   5.70 t/s
1.14.276.904 I slot print_timing: id  0 | task 3 | n_decoded =    117, tg =   5.68 t/s, tg_3s =   5.62 t/s
1.14.277.726 I slot print_timing: id  1 | task 0 | n_decoded =    117, tg =   5.68 t/s, tg_3s =   5.62 t/s
1.14.278.551 I slot print_timing: id  2 | task 1 | n_decoded =    117, tg =   5.68 t/s, tg_3s =   5.62 t/s
1.14.279.366 I slot print_timing: id  3 | task 2 | n_decoded =    117, tg =   5.68 t/s, tg_3s =   5.62 t/s
1.17.304.835 I slot print_timing: id  0 | task 3 | n_decoded =    134, tg =   5.67 t/s, tg_3s =   5.61 t/s
1.17.305.680 I slot print_timing: id  1 | task 0 | n_decoded =    134, tg =   5.67 t/s, tg_3s =   5.61 t/s
1.17.306.517 I slot print_timing: id  2 | task 1 | n_decoded =    134, tg =   5.68 t/s, tg_3s =   5.61 t/s
1.17.307.360 I slot print_timing: id  3 | task 2 | n_decoded =    134, tg =   5.68 t/s, tg_3s =   5.61 t/s
1.20.328.002 I slot print_timing: id  0 | task 3 | n_decoded =    151, tg =   5.67 t/s, tg_3s =   5.62 t/s
1.20.328.828 I slot print_timing: id  1 | task 0 | n_decoded =    151, tg =   5.67 t/s, tg_3s =   5.62 t/s
1.20.329.652 I slot print_timing: id  2 | task 1 | n_decoded =    151, tg =   5.67 t/s, tg_3s =   5.62 t/s
1.20.330.462 I slot print_timing: id  3 | task 2 | n_decoded =    151, tg =   5.67 t/s, tg_3s =   5.62 t/s
1.23.355.646 I slot print_timing: id  0 | task 3 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.61 t/s
1.23.356.492 I slot print_timing: id  1 | task 0 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.61 t/s
1.23.357.336 I slot print_timing: id  2 | task 1 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.61 t/s
1.23.358.150 I slot print_timing: id  3 | task 2 | n_decoded =    168, tg =   5.66 t/s, tg_3s =   5.61 t/s
1.26.378.681 I slot print_timing: id  0 | task 3 | n_decoded =    185, tg =   5.66 t/s, tg_3s =   5.62 t/s
1.26.379.525 I slot print_timing: id  1 | task 0 | n_decoded =    185, tg =   5.66 t/s, tg_3s =   5.62 t/s
1.26.380.364 I slot print_timing: id  2 | task 1 | n_decoded =    185, tg =   5.66 t/s, tg_3s =   5.62 t/s
1.26.381.186 I slot print_timing: id  3 | task 2 | n_decoded =    185, tg =   5.66 t/s, tg_3s =   5.62 t/s
1.29.420.284 I slot print_timing: id  0 | task 3 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.59 t/s
1.29.421.086 I slot print_timing: id  1 | task 0 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.59 t/s
1.29.421.909 I slot print_timing: id  2 | task 1 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.59 t/s
1.29.422.717 I slot print_timing: id  3 | task 2 | n_decoded =    202, tg =   5.65 t/s, tg_3s =   5.59 t/s
1.32.502.029 I slot print_timing: id  0 | task 3 | n_decoded =    219, tg =   5.64 t/s, tg_3s =   5.52 t/s
1.32.502.879 I slot print_timing: id  1 | task 0 | n_decoded =    219, tg =   5.64 t/s, tg_3s =   5.52 t/s
1.32.503.719 I slot print_timing: id  2 | task 1 | n_decoded =    219, tg =   5.64 t/s, tg_3s =   5.52 t/s
1.32.504.560 I slot print_timing: id  3 | task 2 | n_decoded =    219, tg =   5.64 t/s, tg_3s =   5.52 t/s
1.35.661.978 I slot print_timing: id  0 | task 3 | n_decoded =    236, tg =   5.62 t/s, tg_3s =   5.38 t/s
1.35.662.796 I slot print_timing: id  1 | task 0 | n_decoded =    236, tg =   5.62 t/s, tg_3s =   5.38 t/s
1.35.663.604 I slot print_timing: id  2 | task 1 | n_decoded =    236, tg =   5.62 t/s, tg_3s =   5.38 t/s
1.35.664.397 I slot print_timing: id  3 | task 2 | n_decoded =    236, tg =   5.62 t/s, tg_3s =   5.38 t/s
1.38.686.357 I slot print_timing: id  0 | task 3 | n_decoded =    252, tg =   5.60 t/s, tg_3s =   5.29 t/s
1.38.687.167 I slot print_timing: id  1 | task 0 | n_decoded =    252, tg =   5.60 t/s, tg_3s =   5.29 t/s
1.38.687.981 I slot print_timing: id  2 | task 1 | n_decoded =    252, tg =   5.60 t/s, tg_3s =   5.29 t/s
1.38.688.788 I slot print_timing: id  3 | task 2 | n_decoded =    252, tg =   5.60 t/s, tg_3s =   5.29 t/s
1.41.709.806 I slot print_timing: id  0 | task 3 | n_decoded =    268, tg =   5.58 t/s, tg_3s =   5.29 t/s
1.41.711.660 I slot print_timing: id  1 | task 0 | n_decoded =    268, tg =   5.58 t/s, tg_3s =   5.29 t/s
1.41.713.487 I slot print_timing: id  2 | task 1 | n_decoded =    268, tg =   5.58 t/s, tg_3s =   5.29 t/s
1.41.715.311 I slot print_timing: id  3 | task 2 | n_decoded =    268, tg =   5.58 t/s, tg_3s =   5.29 t/s
1.44.736.114 I slot print_timing: id  0 | task 3 | n_decoded =    284, tg =   5.56 t/s, tg_3s =   5.29 t/s
1.44.736.929 I slot print_timing: id  1 | task 0 | n_decoded =    284, tg =   5.56 t/s, tg_3s =   5.29 t/s
1.44.737.738 I slot print_timing: id  2 | task 1 | n_decoded =    284, tg =   5.56 t/s, tg_3s =   5.29 t/s
1.44.738.543 I slot print_timing: id  3 | task 2 | n_decoded =    284, tg =   5.56 t/s, tg_3s =   5.29 t/s
1.47.758.464 I slot print_timing: id  0 | task 3 | n_decoded =    300, tg =   5.55 t/s, tg_3s =   5.29 t/s
1.47.759.314 I slot print_timing: id  1 | task 0 | n_decoded =    300, tg =   5.55 t/s, tg_3s =   5.29 t/s
1.47.760.132 I slot print_timing: id  2 | task 1 | n_decoded =    300, tg =   5.55 t/s, tg_3s =   5.29 t/s
1.47.760.956 I slot print_timing: id  3 | task 2 | n_decoded =    300, tg =   5.55 t/s, tg_3s =   5.29 t/s
1.50.782.436 I slot print_timing: id  0 | task 3 | n_decoded =    316, tg =   5.53 t/s, tg_3s =   5.29 t/s
1.50.783.253 I slot print_timing: id  1 | task 0 | n_decoded =    316, tg =   5.53 t/s, tg_3s =   5.29 t/s
1.50.784.057 I slot print_timing: id  2 | task 1 | n_decoded =    316, tg =   5.54 t/s, tg_3s =   5.29 t/s
1.50.784.857 I slot print_timing: id  3 | task 2 | n_decoded =    316, tg =   5.54 t/s, tg_3s =   5.29 t/s
1.53.805.028 I slot print_timing: id  0 | task 3 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.53.805.862 I slot print_timing: id  1 | task 0 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.53.806.679 I slot print_timing: id  2 | task 1 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.53.807.499 I slot print_timing: id  3 | task 2 | n_decoded =    332, tg =   5.52 t/s, tg_3s =   5.29 t/s
1.56.827.108 I slot print_timing: id  0 | task 3 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.56.827.932 I slot print_timing: id  1 | task 0 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.56.828.755 I slot print_timing: id  2 | task 1 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.56.829.560 I slot print_timing: id  3 | task 2 | n_decoded =    348, tg =   5.51 t/s, tg_3s =   5.29 t/s
1.59.851.069 I slot print_timing: id  0 | task 3 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.59.851.905 I slot print_timing: id  1 | task 0 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.59.852.738 I slot print_timing: id  2 | task 1 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
1.59.853.566 I slot print_timing: id  3 | task 2 | n_decoded =    364, tg =   5.50 t/s, tg_3s =   5.29 t/s
2.02.874.407 I slot print_timing: id  0 | task 3 | n_decoded =    380, tg =   5.49 t/s, tg_3s =   5.29 t/s
