0.00.170.922 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.318.524 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-BF16-00001-of-00002.gguf'
1.58.775.375 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
1.58.837.911 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.58.838.328 I srv  llama_server: model loaded
1.58.838.337 I srv  llama_server: listening on http://127.0.0.1:8090
2.01.016.787 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.01.016.903 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
2.01.016.913 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
2.01.016.974 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
2.01.970.377 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
2.01.970.487 I slot launch_slot_: id  1 | task 2 | processing task, is_child = 0
2.01.970.496 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.01.970.561 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
2.35.919.613 I slot print_timing: id  2 | task 1 | n_decoded =    100, tg =   3.13 t/s, tg_3s =   3.13 t/s
2.35.920.605 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   3.13 t/s, tg_3s =   3.13 t/s
2.36.234.872 I slot print_timing: id  0 | task 4 | n_decoded =    100, tg =   3.19 t/s, tg_3s =   3.19 t/s
2.36.235.709 I slot print_timing: id  1 | task 2 | n_decoded =    100, tg =   3.19 t/s, tg_3s =   3.19 t/s
2.39.087.074 I slot print_timing: id  2 | task 1 | n_decoded =    110, tg =   3.13 t/s, tg_3s =   3.16 t/s
2.39.087.899 I slot print_timing: id  3 | task 0 | n_decoded =    110, tg =   3.13 t/s, tg_3s =   3.16 t/s
2.39.402.132 I slot print_timing: id  0 | task 4 | n_decoded =    110, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.39.402.975 I slot print_timing: id  1 | task 2 | n_decoded =    110, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.42.254.466 I slot print_timing: id  2 | task 1 | n_decoded =    120, tg =   3.13 t/s, tg_3s =   3.16 t/s
2.42.255.312 I slot print_timing: id  3 | task 0 | n_decoded =    120, tg =   3.13 t/s, tg_3s =   3.16 t/s
2.42.569.494 I slot print_timing: id  0 | task 4 | n_decoded =    120, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.42.570.340 I slot print_timing: id  1 | task 2 | n_decoded =    120, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.45.421.483 I slot print_timing: id  2 | task 1 | n_decoded =    130, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.45.422.310 I slot print_timing: id  3 | task 0 | n_decoded =    130, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.45.736.463 I slot print_timing: id  0 | task 4 | n_decoded =    130, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.45.737.302 I slot print_timing: id  1 | task 2 | n_decoded =    130, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.48.590.218 I slot print_timing: id  2 | task 1 | n_decoded =    140, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.48.591.045 I slot print_timing: id  3 | task 0 | n_decoded =    140, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.48.905.200 I slot print_timing: id  0 | task 4 | n_decoded =    140, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.48.906.032 I slot print_timing: id  1 | task 2 | n_decoded =    140, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.51.757.769 I slot print_timing: id  2 | task 1 | n_decoded =    150, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.51.758.585 I slot print_timing: id  3 | task 0 | n_decoded =    150, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.52.072.784 I slot print_timing: id  0 | task 4 | n_decoded =    150, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.52.073.615 I slot print_timing: id  1 | task 2 | n_decoded =    150, tg =   3.18 t/s, tg_3s =   3.16 t/s
2.54.924.462 I slot print_timing: id  2 | task 1 | n_decoded =    160, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.54.925.288 I slot print_timing: id  3 | task 0 | n_decoded =    160, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.55.239.407 I slot print_timing: id  0 | task 4 | n_decoded =    160, tg =   3.17 t/s, tg_3s =   3.16 t/s
2.55.240.232 I slot print_timing: id  1 | task 2 | n_decoded =    160, tg =   3.17 t/s, tg_3s =   3.16 t/s
2.58.091.840 I slot print_timing: id  2 | task 1 | n_decoded =    170, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.58.092.665 I slot print_timing: id  3 | task 0 | n_decoded =    170, tg =   3.14 t/s, tg_3s =   3.16 t/s
2.58.406.801 I slot print_timing: id  0 | task 4 | n_decoded =    170, tg =   3.17 t/s, tg_3s =   3.16 t/s
2.58.407.659 I slot print_timing: id  1 | task 2 | n_decoded =    170, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.01.259.464 I slot print_timing: id  2 | task 1 | n_decoded =    180, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.01.260.461 I slot print_timing: id  3 | task 0 | n_decoded =    180, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.01.574.760 I slot print_timing: id  0 | task 4 | n_decoded =    180, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.01.575.603 I slot print_timing: id  1 | task 2 | n_decoded =    180, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.04.426.632 I slot print_timing: id  2 | task 1 | n_decoded =    190, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.04.427.452 I slot print_timing: id  3 | task 0 | n_decoded =    190, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.04.741.692 I slot print_timing: id  0 | task 4 | n_decoded =    190, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.04.742.521 I slot print_timing: id  1 | task 2 | n_decoded =    190, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.07.594.426 I slot print_timing: id  2 | task 1 | n_decoded =    200, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.07.595.249 I slot print_timing: id  3 | task 0 | n_decoded =    200, tg =   3.14 t/s, tg_3s =   3.16 t/s
3.07.909.533 I slot print_timing: id  0 | task 4 | n_decoded =    200, tg =   3.17 t/s, tg_3s =   3.16 t/s
3.07.910.356 I slot print_timing: id  1 | task 2 | n_decoded =    200, tg =   3.17 t/s, tg_3s =   3.16 t/s
