0.00.177.300 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.279.785 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q3_K_M-STOCK-IMAT.gguf'
0.21.201.541 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.21.237.701 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.21.237.751 I srv  llama_server: model loaded
0.21.237.757 I srv  llama_server: listening on http://127.0.0.1:8091
0.24.952.888 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.24.952.977 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.26.158.344 I slot print_timing: id  3 | task 0 | prompt eval time =    1101.78 ms /    13 tokens (   84.75 ms per token,    11.80 tokens per second)
0.26.158.352 I slot print_timing: id  3 | task 0 |        eval time =     103.52 ms /     2 tokens (   51.76 ms per token,    19.32 tokens per second)
0.26.158.353 I slot print_timing: id  3 | task 0 |       total time =    1205.30 ms /    15 tokens
0.26.158.358 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.26.158.394 I slot      release: id  3 | task 0 | stop processing: n_tokens = 14, truncated = 0
0.26.312.075 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.26.312.757 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
0.29.891.029 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    358, progress = 0.73, t =   3.24 s / 110.37 tokens per second
0.30.899.971 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    469, progress = 0.96, t =   4.25 s / 110.28 tokens per second
0.32.985.223 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    486, progress = 0.99, t =   6.34 s / 76.68 tokens per second
0.38.069.438 I slot print_timing: id  2 | task 4 | prompt eval time =    7221.96 ms /   490 tokens (   14.74 ms per token,    67.85 tokens per second)
0.38.069.445 I slot print_timing: id  2 | task 4 |        eval time =    4200.16 ms /    42 tokens (  100.00 ms per token,    10.00 tokens per second)
0.38.069.447 I slot print_timing: id  2 | task 4 |       total time =   11422.12 ms /   532 tokens
0.38.069.448 I slot print_timing: id  2 | task 4 |    graphs reused =         40
0.38.069.785 I slot      release: id  2 | task 4 | stop processing: n_tokens = 531, truncated = 0
0.38.109.924 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.38.110.263 I slot launch_slot_: id  1 | task 50 | processing task, is_child = 0
0.42.544.680 I slot print_timing: id  1 | task 50 | prompt processing, n_tokens =    467, progress = 0.96, t =   3.77 s / 123.89 tokens per second
0.44.636.184 I slot print_timing: id  1 | task 50 | prompt processing, n_tokens =    481, progress = 0.99, t =   5.86 s / 82.07 tokens per second
0.48.193.072 I slot print_timing: id  1 | task 50 | prompt eval time =    6743.83 ms /   485 tokens (   13.90 ms per token,    71.92 tokens per second)
0.48.193.081 I slot print_timing: id  1 | task 50 |        eval time =    2674.15 ms /    28 tokens (   95.51 ms per token,    10.47 tokens per second)
0.48.193.083 I slot print_timing: id  1 | task 50 |       total time =    9417.99 ms /   513 tokens
0.48.193.084 I slot print_timing: id  1 | task 50 |    graphs reused =         66
0.48.193.354 I slot      release: id  1 | task 50 | stop processing: n_tokens = 512, truncated = 0
0.48.230.137 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.961 (> 0.100 thold), f_keep = 0.918
0.48.230.582 I slot launch_slot_: id  1 | task 82 | processing task, is_child = 0
0.53.397.886 I slot print_timing: id  1 | task 82 | prompt eval time =    1102.60 ms /    22 tokens (   50.12 ms per token,    19.95 tokens per second)
0.53.397.895 I slot print_timing: id  1 | task 82 |        eval time =    4064.62 ms /    42 tokens (   96.78 ms per token,    10.33 tokens per second)
0.53.397.896 I slot print_timing: id  1 | task 82 |       total time =    5167.22 ms /    64 tokens
0.53.397.898 I slot print_timing: id  1 | task 82 |    graphs reused =        105
0.53.398.780 I slot      release: id  1 | task 82 | stop processing: n_tokens = 530, truncated = 0
0.53.447.381 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.971 (> 0.100 thold), f_keep = 0.887
0.53.447.831 I slot launch_slot_: id  1 | task 126 | processing task, is_child = 0
0.57.132.119 I slot print_timing: id  1 | task 126 | prompt eval time =    1110.35 ms /    17 tokens (   65.31 ms per token,    15.31 tokens per second)
0.57.132.127 I slot print_timing: id  1 | task 126 |        eval time =    2573.85 ms /    27 tokens (   95.33 ms per token,    10.49 tokens per second)
0.57.132.128 I slot print_timing: id  1 | task 126 |       total time =    3684.20 ms /    44 tokens
0.57.132.130 I slot print_timing: id  1 | task 126 |    graphs reused =        130
0.57.132.267 I slot      release: id  1 | task 126 | stop processing: n_tokens = 510, truncated = 0
