0.00.190.934 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.291.641 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_K_M.gguf'
0.39.977.202 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.40.015.153 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.40.015.211 I srv  llama_server: model loaded
0.40.015.217 I srv  llama_server: listening on http://0.0.0.0:8091
0.45.045.960 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.45.046.068 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.46.199.942 I slot print_timing: id  3 | task 0 | prompt eval time =    1061.93 ms /    13 tokens (   81.69 ms per token,    12.24 tokens per second)
0.46.199.948 I slot print_timing: id  3 | task 0 |        eval time =      91.86 ms /     2 tokens (   45.93 ms per token,    21.77 tokens per second)
0.46.199.950 I slot print_timing: id  3 | task 0 |       total time =    1153.79 ms /    15 tokens
0.46.199.955 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.46.200.005 I slot      release: id  3 | task 0 | stop processing: n_tokens = 14, truncated = 0
0.46.370.608 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.46.371.069 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
0.49.732.463 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    358, progress = 0.73, t =   3.08 s / 116.14 tokens per second
0.50.718.712 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    469, progress = 0.96, t =   4.07 s / 115.27 tokens per second
0.52.707.915 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    486, progress = 0.99, t =   6.06 s / 80.22 tokens per second
0.55.959.591 I slot print_timing: id  2 | task 4 | prompt eval time =    6859.74 ms /   490 tokens (   14.00 ms per token,    71.43 tokens per second)
0.55.959.598 I slot print_timing: id  2 | task 4 |        eval time =    2449.94 ms /    29 tokens (   84.48 ms per token,    11.84 tokens per second)
0.55.959.600 I slot print_timing: id  2 | task 4 |       total time =    9309.68 ms /   519 tokens
0.55.959.601 I slot print_timing: id  2 | task 4 |    graphs reused =         27
0.55.959.934 I slot      release: id  2 | task 4 | stop processing: n_tokens = 518, truncated = 0
0.56.005.361 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.56.005.677 I slot launch_slot_: id  1 | task 37 | processing task, is_child = 0
1.00.156.860 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    467, progress = 0.96, t =   3.56 s / 131.00 tokens per second
1.02.162.923 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    481, progress = 0.99, t =   5.57 s / 86.34 tokens per second
1.05.321.929 I slot print_timing: id  1 | task 37 | prompt eval time =    6373.31 ms /   485 tokens (   13.14 ms per token,    76.10 tokens per second)
1.05.321.936 I slot print_timing: id  1 | task 37 |        eval time =    2356.66 ms /    28 tokens (   84.17 ms per token,    11.88 tokens per second)
1.05.321.938 I slot print_timing: id  1 | task 37 |       total time =    8729.97 ms /   513 tokens
1.05.321.939 I slot print_timing: id  1 | task 37 |    graphs reused =         53
1.05.322.072 I slot      release: id  1 | task 37 | stop processing: n_tokens = 512, truncated = 0
