0.00.177.101 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.279.976 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q6_K.gguf'
0.07.563.640 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.07.599.787 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.07.599.850 I srv  llama_server: model loaded
0.07.599.859 I srv  llama_server: listening on http://0.0.0.0:8091
0.47.068.747 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.47.068.862 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.48.018.126 I slot print_timing: id  3 | task 0 | prompt eval time =     829.51 ms /    17 tokens (   48.79 ms per token,    20.49 tokens per second)
0.48.018.134 I slot print_timing: id  3 | task 0 |        eval time =     119.67 ms /     2 tokens (   59.84 ms per token,    16.71 tokens per second)
0.48.018.136 I slot print_timing: id  3 | task 0 |       total time =     949.18 ms /    19 tokens
0.48.018.141 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.48.018.202 I slot      release: id  3 | task 0 | stop processing: n_tokens = 18, truncated = 0
13.52.425.999 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
13.52.426.533 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
13.56.331.612 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    469, progress = 0.96, t =   3.62 s / 129.53 tokens per second
13.58.100.179 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    486, progress = 0.99, t =   5.39 s / 90.18 tokens per second
14.01.921.491 I slot print_timing: id  2 | task 4 | prompt eval time =    5966.29 ms /   490 tokens (   12.18 ms per token,    82.13 tokens per second)
14.01.921.498 I slot print_timing: id  2 | task 4 |        eval time =    3244.48 ms /    29 tokens (  111.88 ms per token,     8.94 tokens per second)
14.01.921.500 I slot print_timing: id  2 | task 4 |       total time =    9210.77 ms /   519 tokens
14.01.921.501 I slot print_timing: id  2 | task 4 |    graphs reused =         27
14.01.921.880 I slot      release: id  2 | task 4 | stop processing: n_tokens = 518, truncated = 0
14.01.962.622 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
14.01.962.934 I slot launch_slot_: id  1 | task 37 | processing task, is_child = 0
14.05.664.368 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    467, progress = 0.96, t =   3.16 s / 147.96 tokens per second
14.07.433.414 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    481, progress = 0.99, t =   4.93 s / 97.66 tokens per second
14.11.116.585 I slot print_timing: id  1 | task 37 | prompt eval time =    5504.19 ms /   485 tokens (   11.35 ms per token,    88.11 tokens per second)
14.11.116.592 I slot print_timing: id  1 | task 37 |        eval time =    3104.34 ms /    28 tokens (  110.87 ms per token,     9.02 tokens per second)
14.11.116.594 I slot print_timing: id  1 | task 37 |       total time =    8608.53 ms /   513 tokens
14.11.116.595 I slot print_timing: id  1 | task 37 |    graphs reused =         53
14.11.116.914 I slot      release: id  1 | task 37 | stop processing: n_tokens = 512, truncated = 0
14.11.165.810 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.961 (> 0.100 thold), f_keep = 0.918
14.11.166.324 I slot launch_slot_: id  1 | task 69 | processing task, is_child = 0
14.16.715.021 I slot print_timing: id  1 | task 69 | prompt eval time =     834.83 ms /    22 tokens (   37.95 ms per token,    26.35 tokens per second)
14.16.715.028 I slot print_timing: id  1 | task 69 |        eval time =    4713.78 ms /    42 tokens (  112.23 ms per token,     8.91 tokens per second)
14.16.715.030 I slot print_timing: id  1 | task 69 |       total time =    5548.62 ms /    64 tokens
14.16.715.031 I slot print_timing: id  1 | task 69 |    graphs reused =         92
14.16.715.146 I slot      release: id  1 | task 69 | stop processing: n_tokens = 530, truncated = 0
14.16.752.130 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.971 (> 0.100 thold), f_keep = 0.887
14.16.752.477 I slot launch_slot_: id  1 | task 113 | processing task, is_child = 0
14.20.526.569 I slot print_timing: id  1 | task 113 | prompt eval time =     786.25 ms /    17 tokens (   46.25 ms per token,    21.62 tokens per second)
14.20.526.577 I slot print_timing: id  1 | task 113 |        eval time =    2987.79 ms /    27 tokens (  110.66 ms per token,     9.04 tokens per second)
14.20.526.579 I slot print_timing: id  1 | task 113 |       total time =    3774.04 ms /    44 tokens
14.20.526.580 I slot print_timing: id  1 | task 113 |    graphs reused =        117
14.20.526.685 I slot      release: id  1 | task 113 | stop processing: n_tokens = 510, truncated = 0
14.20.565.639 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
14.20.688.837 I slot launch_slot_: id  0 | task 142 | processing task, is_child = 0
14.25.513.821 I slot print_timing: id  0 | task 142 | prompt eval time =     861.08 ms /    20 tokens (   43.05 ms per token,    23.23 tokens per second)
14.25.513.829 I slot print_timing: id  0 | task 142 |        eval time =    3110.30 ms /    28 tokens (  111.08 ms per token,     9.00 tokens per second)
14.25.513.831 I slot print_timing: id  0 | task 142 |       total time =    3971.37 ms /    48 tokens
14.25.513.832 I slot print_timing: id  0 | task 142 |    graphs reused =        143
14.25.513.995 I slot      release: id  0 | task 142 | stop processing: n_tokens = 516, truncated = 0
14.25.552.478 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 129858683193
14.25.552.976 I slot launch_slot_: id  3 | task 172 | processing task, is_child = 0
14.29.465.053 I slot print_timing: id  3 | task 172 | prompt processing, n_tokens =    465, progress = 0.96, t =   3.16 s / 146.96 tokens per second
14.31.241.398 I slot print_timing: id  3 | task 172 | prompt processing, n_tokens =    480, progress = 0.99, t =   4.94 s / 97.16 tokens per second
14.35.958.689 I slot print_timing: id  3 | task 172 | prompt eval time =    5517.95 ms /   484 tokens (   11.40 ms per token,    87.71 tokens per second)
14.35.958.697 I slot print_timing: id  3 | task 172 |        eval time =    4139.78 ms /    37 tokens (  111.89 ms per token,     8.94 tokens per second)
14.35.958.699 I slot print_timing: id  3 | task 172 |       total time =    9657.73 ms /   521 tokens
14.35.958.701 I slot print_timing: id  3 | task 172 |    graphs reused =        177
14.35.959.027 I slot      release: id  3 | task 172 | stop processing: n_tokens = 520, truncated = 0
14.36.000.714 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 130652586871
14.36.079.708 I slot launch_slot_: id  2 | task 213 | processing task, is_child = 0
14.41.979.319 I slot print_timing: id  2 | task 213 | prompt eval time =     809.74 ms /    26 tokens (   31.14 ms per token,    32.11 tokens per second)
14.41.979.327 I slot print_timing: id  2 | task 213 |        eval time =    4605.71 ms /    41 tokens (  112.33 ms per token,     8.90 tokens per second)
14.41.979.328 I slot print_timing: id  2 | task 213 |       total time =    5415.44 ms /    67 tokens
14.41.979.330 I slot print_timing: id  2 | task 213 |    graphs reused =        216
14.41.979.479 I slot      release: id  2 | task 213 | stop processing: n_tokens = 535, truncated = 0
14.42.017.375 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.946 (> 0.100 thold), f_keep = 0.884
14.42.017.913 I slot launch_slot_: id  2 | task 256 | processing task, is_child = 0
14.48.409.690 I slot print_timing: id  2 | task 256 | prompt eval time =     815.37 ms /    31 tokens (   26.30 ms per token,    38.02 tokens per second)
14.48.409.698 I slot print_timing: id  2 | task 256 |        eval time =    5576.34 ms /    49 tokens (  113.80 ms per token,     8.79 tokens per second)
14.48.409.699 I slot print_timing: id  2 | task 256 |       total time =    6391.71 ms /    80 tokens
14.48.409.701 I slot print_timing: id  2 | task 256 |    graphs reused =        263
14.48.410.078 I slot      release: id  2 | task 256 | stop processing: n_tokens = 548, truncated = 0
14.48.450.422 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 130671191676
14.48.728.147 I slot launch_slot_: id  1 | task 307 | processing task, is_child = 0
