0.00.185.846 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.329.637 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q8_0.gguf'
0.47.427.268 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.47.466.701 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.47.466.792 I srv  llama_server: model loaded
0.47.466.804 I srv  llama_server: listening on http://0.0.0.0:8091
0.49.955.969 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.49.956.076 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.51.056.407 I slot print_timing: id  3 | task 0 | prompt eval time =    1001.47 ms /    13 tokens (   77.04 ms per token,    12.98 tokens per second)
0.51.056.414 I slot print_timing: id  3 | task 0 |        eval time =      98.76 ms /     2 tokens (   49.38 ms per token,    20.25 tokens per second)
0.51.056.416 I slot print_timing: id  3 | task 0 |       total time =    1100.23 ms /    15 tokens
0.51.056.420 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.51.056.468 I slot      release: id  3 | task 0 | stop processing: n_tokens = 14, truncated = 0
0.51.215.194 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.51.215.654 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
0.54.534.431 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    358, progress = 0.73, t =   3.04 s / 117.87 tokens per second
0.55.469.282 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    469, progress = 0.96, t =   3.97 s / 118.08 tokens per second
0.57.421.415 I slot print_timing: id  2 | task 4 | prompt processing, n_tokens =    486, progress = 0.99, t =   5.92 s / 82.04 tokens per second
1.00.803.182 I slot print_timing: id  2 | task 4 | prompt eval time =    6664.45 ms /   490 tokens (   13.60 ms per token,    73.52 tokens per second)
1.00.803.190 I slot print_timing: id  2 | task 4 |        eval time =    2641.49 ms /    29 tokens (   91.09 ms per token,    10.98 tokens per second)
1.00.803.192 I slot print_timing: id  2 | task 4 |       total time =    9305.95 ms /   519 tokens
1.00.803.193 I slot print_timing: id  2 | task 4 |    graphs reused =         27
1.00.803.542 I slot      release: id  2 | task 4 | stop processing: n_tokens = 518, truncated = 0
1.00.844.095 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
1.00.844.389 I slot launch_slot_: id  1 | task 37 | processing task, is_child = 0
1.04.992.272 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    467, progress = 0.96, t =   3.51 s / 133.22 tokens per second
1.06.946.818 I slot print_timing: id  1 | task 37 | prompt processing, n_tokens =    481, progress = 0.99, t =   5.46 s / 88.09 tokens per second
1.10.232.162 I slot print_timing: id  1 | task 37 | prompt eval time =    6201.78 ms /   485 tokens (   12.79 ms per token,    78.20 tokens per second)
1.10.232.169 I slot print_timing: id  1 | task 37 |        eval time =    2543.59 ms /    28 tokens (   90.84 ms per token,    11.01 tokens per second)
1.10.232.171 I slot print_timing: id  1 | task 37 |       total time =    8745.37 ms /   513 tokens
1.10.232.172 I slot print_timing: id  1 | task 37 |    graphs reused =         53
1.10.232.317 I slot      release: id  1 | task 37 | stop processing: n_tokens = 512, truncated = 0
1.10.269.235 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.961 (> 0.100 thold), f_keep = 0.918
1.10.269.561 I slot launch_slot_: id  1 | task 69 | processing task, is_child = 0
1.15.161.450 I slot print_timing: id  1 | task 69 | prompt eval time =     972.44 ms /    22 tokens (   44.20 ms per token,    22.62 tokens per second)
1.15.161.457 I slot print_timing: id  1 | task 69 |        eval time =    3919.39 ms /    42 tokens (   93.32 ms per token,    10.72 tokens per second)
1.15.161.459 I slot print_timing: id  1 | task 69 |       total time =    4891.83 ms /    64 tokens
1.15.161.460 I slot print_timing: id  1 | task 69 |    graphs reused =         92
1.15.161.575 I slot      release: id  1 | task 69 | stop processing: n_tokens = 530, truncated = 0
1.15.201.147 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.971 (> 0.100 thold), f_keep = 0.887
1.15.201.458 I slot launch_slot_: id  1 | task 113 | processing task, is_child = 0
1.18.664.064 I slot print_timing: id  1 | task 113 | prompt eval time =    1012.31 ms /    17 tokens (   59.55 ms per token,    16.79 tokens per second)
1.18.664.072 I slot print_timing: id  1 | task 113 |        eval time =    2450.23 ms /    27 tokens (   90.75 ms per token,    11.02 tokens per second)
1.18.664.073 I slot print_timing: id  1 | task 113 |       total time =    3462.54 ms /    44 tokens
1.18.664.075 I slot print_timing: id  1 | task 113 |    graphs reused =        117
1.18.664.170 I slot      release: id  1 | task 113 | stop processing: n_tokens = 510, truncated = 0
1.18.702.216 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.18.766.120 I slot launch_slot_: id  0 | task 142 | processing task, is_child = 0
1.23.176.207 I slot print_timing: id  0 | task 142 | prompt eval time =     970.88 ms /    20 tokens (   48.54 ms per token,    20.60 tokens per second)
1.23.176.213 I slot print_timing: id  0 | task 142 |        eval time =    2551.79 ms /    28 tokens (   91.14 ms per token,    10.97 tokens per second)
1.23.176.215 I slot print_timing: id  0 | task 142 |       total time =    3522.67 ms /    48 tokens
1.23.176.216 I slot print_timing: id  0 | task 142 |    graphs reused =        143
1.23.176.339 I slot      release: id  0 | task 142 | stop processing: n_tokens = 516, truncated = 0
1.23.215.526 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 178878814975
1.23.215.994 I slot launch_slot_: id  3 | task 172 | processing task, is_child = 0
1.27.441.150 I slot print_timing: id  3 | task 172 | prompt processing, n_tokens =    465, progress = 0.96, t =   3.51 s / 132.67 tokens per second
1.29.386.117 I slot print_timing: id  3 | task 172 | prompt processing, n_tokens =    480, progress = 0.99, t =   5.45 s / 88.07 tokens per second
1.33.521.764 I slot print_timing: id  3 | task 172 | prompt eval time =    6191.42 ms /   484 tokens (   12.79 ms per token,    78.17 tokens per second)
1.33.521.774 I slot print_timing: id  3 | task 172 |        eval time =    3394.23 ms /    37 tokens (   91.74 ms per token,    10.90 tokens per second)
1.33.521.775 I slot print_timing: id  3 | task 172 |       total time =    9585.65 ms /   521 tokens
1.33.521.777 I slot print_timing: id  3 | task 172 |    graphs reused =        177
1.33.521.908 I slot      release: id  3 | task 172 | stop processing: n_tokens = 520, truncated = 0
1.33.559.697 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 178888562049
1.33.639.155 I slot launch_slot_: id  2 | task 213 | processing task, is_child = 0
1.38.848.420 I slot print_timing: id  2 | task 213 | prompt eval time =     975.31 ms /    26 tokens (   37.51 ms per token,    26.66 tokens per second)
1.38.848.428 I slot print_timing: id  2 | task 213 |        eval time =    3789.83 ms /    41 tokens (   92.43 ms per token,    10.82 tokens per second)
1.38.848.430 I slot print_timing: id  2 | task 213 |       total time =    4765.14 ms /    67 tokens
1.38.848.431 I slot print_timing: id  2 | task 213 |    graphs reused =        216
