0.00.506.880 D load_tensors: layer   0 assigned to device CUDA0, is_swa = 0
0.00.506.881 D load_tensors: layer   1 assigned to device CUDA0, is_swa = 0
0.00.506.882 D load_tensors: layer   2 assigned to device CUDA0, is_swa = 0
0.00.506.882 D load_tensors: layer   3 assigned to device CUDA0, is_swa = 0
0.00.506.882 D load_tensors: layer   4 assigned to device CUDA0, is_swa = 0
0.00.506.882 D load_tensors: layer   5 assigned to device CUDA0, is_swa = 0
0.00.506.882 D load_tensors: layer   6 assigned to device CUDA0, is_swa = 0
0.00.506.883 D load_tensors: layer   7 assigned to device CUDA0, is_swa = 0
0.00.506.883 D load_tensors: layer   8 assigned to device CUDA0, is_swa = 0
0.00.506.883 D load_tensors: layer   9 assigned to device CUDA0, is_swa = 0
0.00.506.883 D load_tensors: layer  10 assigned to device CUDA0, is_swa = 0
0.00.506.884 D load_tensors: layer  11 assigned to device CUDA0, is_swa = 0
0.00.506.899 D load_tensors: layer  12 assigned to device CUDA0, is_swa = 0
0.00.506.899 D load_tensors: layer  13 assigned to device CUDA0, is_swa = 0
0.00.506.899 D load_tensors: layer  14 assigned to device CUDA0, is_swa = 0
0.00.506.900 D load_tensors: layer  15 assigned to device CUDA0, is_swa = 0
0.00.506.900 D load_tensors: layer  16 assigned to device CUDA0, is_swa = 0
0.00.506.900 D load_tensors: layer  17 assigned to device CUDA0, is_swa = 0
0.00.506.900 D load_tensors: layer  18 assigned to device CUDA0, is_swa = 0
0.00.506.900 D load_tensors: layer  19 assigned to device CUDA0, is_swa = 0
0.00.506.901 D load_tensors: layer  20 assigned to device CUDA0, is_swa = 0
0.00.506.901 D load_tensors: layer  21 assigned to device CUDA0, is_swa = 0
0.00.506.901 D load_tensors: layer  22 assigned to device CUDA0, is_swa = 0
0.00.506.901 D load_tensors: layer  23 assigned to device CUDA0, is_swa = 0
0.00.506.901 D load_tensors: layer  24 assigned to device CUDA0, is_swa = 0
0.00.506.902 D load_tensors: layer  25 assigned to device CUDA0, is_swa = 0
0.00.506.902 D load_tensors: layer  26 assigned to device CUDA0, is_swa = 0
0.00.506.902 D load_tensors: layer  27 assigned to device CUDA0, is_swa = 0
0.00.506.902 D load_tensors: layer  28 assigned to device CUDA0, is_swa = 0
0.00.506.902 D load_tensors: layer  29 assigned to device CUDA0, is_swa = 0
0.00.506.903 D load_tensors: layer  30 assigned to device CUDA0, is_swa = 0
0.00.506.903 D load_tensors: layer  31 assigned to device CUDA0, is_swa = 0
0.00.506.903 D load_tensors: layer  32 assigned to device CUDA0, is_swa = 0
0.00.506.903 D load_tensors: layer  33 assigned to device CUDA1, is_swa = 0
0.00.506.903 D load_tensors: layer  34 assigned to device CUDA1, is_swa = 0
0.00.506.904 D load_tensors: layer  35 assigned to device CUDA1, is_swa = 0
0.00.506.904 D load_tensors: layer  36 assigned to device CUDA1, is_swa = 0
0.00.506.904 D load_tensors: layer  37 assigned to device CUDA1, is_swa = 0
0.00.506.904 D load_tensors: layer  38 assigned to device CUDA1, is_swa = 0
0.00.506.904 D load_tensors: layer  39 assigned to device CUDA1, is_swa = 0
0.00.506.905 D load_tensors: layer  40 assigned to device CUDA1, is_swa = 0
0.00.506.905 D load_tensors: layer  41 assigned to device CUDA1, is_swa = 0
0.00.506.905 D load_tensors: layer  42 assigned to device CUDA1, is_swa = 0
0.00.506.905 D load_tensors: layer  43 assigned to device CUDA1, is_swa = 0
0.00.506.905 D load_tensors: layer  44 assigned to device CUDA1, is_swa = 0
0.00.506.906 D load_tensors: layer  45 assigned to device CUDA1, is_swa = 0
0.00.506.906 D load_tensors: layer  46 assigned to device CUDA1, is_swa = 0
0.00.506.906 D load_tensors: layer  47 assigned to device CUDA1, is_swa = 0
0.00.506.906 D load_tensors: layer  48 assigned to device CUDA1, is_swa = 0
0.00.506.906 D load_tensors: layer  49 assigned to device CUDA1, is_swa = 0
0.00.506.907 D load_tensors: layer  50 assigned to device CUDA1, is_swa = 0
0.00.506.907 D load_tensors: layer  51 assigned to device CUDA1, is_swa = 0
0.00.506.908 D load_tensors: layer  52 assigned to device CUDA1, is_swa = 0
0.00.506.909 D load_tensors: layer  53 assigned to device CUDA1, is_swa = 0
0.00.506.909 D load_tensors: layer  54 assigned to device CUDA1, is_swa = 0
0.00.506.910 D load_tensors: layer  55 assigned to device CUDA1, is_swa = 0
0.00.506.910 D load_tensors: layer  56 assigned to device CUDA1, is_swa = 0
0.00.506.910 D load_tensors: layer  57 assigned to device CUDA1, is_swa = 0
0.00.506.910 D load_tensors: layer  58 assigned to device CUDA1, is_swa = 0
0.00.506.910 D load_tensors: layer  59 assigned to device CUDA1, is_swa = 0
0.00.506.911 D load_tensors: layer  60 assigned to device CUDA1, is_swa = 0
0.00.506.911 D load_tensors: layer  61 assigned to device CUDA1, is_swa = 0
0.00.506.911 D load_tensors: layer  62 assigned to device CUDA1, is_swa = 0
0.00.506.911 D load_tensors: layer  63 assigned to device CUDA1, is_swa = 0
0.00.506.911 D load_tensors: layer  64 assigned to device CUDA1, is_swa = 0
0.00.506.912 D load_tensors: layer  65 assigned to device CUDA1, is_swa = 0
0.01.004.467 D load_tensors: layer   0 assigned to device CUDA0, is_swa = 0
0.01.004.470 D load_tensors: layer   1 assigned to device CUDA0, is_swa = 0
0.01.004.470 D load_tensors: layer   2 assigned to device CUDA0, is_swa = 0
0.01.004.471 D load_tensors: layer   3 assigned to device CUDA0, is_swa = 0
0.01.004.472 D load_tensors: layer   4 assigned to device CUDA0, is_swa = 0
0.01.004.473 D load_tensors: layer   5 assigned to device CUDA0, is_swa = 0
0.01.004.473 D load_tensors: layer   6 assigned to device CUDA0, is_swa = 0
0.01.004.474 D load_tensors: layer   7 assigned to device CUDA0, is_swa = 0
0.01.004.474 D load_tensors: layer   8 assigned to device CUDA0, is_swa = 0
0.01.004.476 D load_tensors: layer   9 assigned to device CUDA0, is_swa = 0
0.01.004.476 D load_tensors: layer  10 assigned to device CUDA0, is_swa = 0
0.01.004.477 D load_tensors: layer  11 assigned to device CUDA0, is_swa = 0
0.01.004.477 D load_tensors: layer  12 assigned to device CUDA0, is_swa = 0
0.01.004.478 D load_tensors: layer  13 assigned to device CUDA0, is_swa = 0
0.01.004.478 D load_tensors: layer  14 assigned to device CUDA0, is_swa = 0
0.01.004.479 D load_tensors: layer  15 assigned to device CUDA0, is_swa = 0
0.01.004.480 D load_tensors: layer  16 assigned to device CUDA0, is_swa = 0
0.01.004.481 D load_tensors: layer  17 assigned to device CUDA0, is_swa = 0
0.01.004.481 D load_tensors: layer  18 assigned to device CUDA0, is_swa = 0
0.01.004.482 D load_tensors: layer  19 assigned to device CUDA0, is_swa = 0
0.01.004.482 D load_tensors: layer  20 assigned to device CUDA0, is_swa = 0
0.01.004.483 D load_tensors: layer  21 assigned to device CUDA0, is_swa = 0
0.01.004.484 D load_tensors: layer  22 assigned to device CUDA0, is_swa = 0
0.01.004.484 D load_tensors: layer  23 assigned to device CUDA0, is_swa = 0
0.01.004.485 D load_tensors: layer  24 assigned to device CUDA0, is_swa = 0
0.01.004.486 D load_tensors: layer  25 assigned to device CUDA0, is_swa = 0
0.01.004.486 D load_tensors: layer  26 assigned to device CUDA0, is_swa = 0
0.01.004.487 D load_tensors: layer  27 assigned to device CUDA0, is_swa = 0
0.01.004.488 D load_tensors: layer  28 assigned to device CUDA0, is_swa = 0
0.01.004.489 D load_tensors: layer  29 assigned to device CUDA0, is_swa = 0
0.01.004.489 D load_tensors: layer  30 assigned to device CUDA0, is_swa = 0
0.01.004.490 D load_tensors: layer  31 assigned to device CUDA0, is_swa = 0
0.01.004.490 D load_tensors: layer  32 assigned to device CUDA0, is_swa = 0
0.01.004.491 D load_tensors: layer  33 assigned to device CUDA1, is_swa = 0
0.01.004.492 D load_tensors: layer  34 assigned to device CUDA1, is_swa = 0
0.01.004.493 D load_tensors: layer  35 assigned to device CUDA1, is_swa = 0
0.01.004.494 D load_tensors: layer  36 assigned to device CUDA1, is_swa = 0
0.01.004.494 D load_tensors: layer  37 assigned to device CUDA1, is_swa = 0
0.01.004.495 D load_tensors: layer  38 assigned to device CUDA1, is_swa = 0
0.01.004.495 D load_tensors: layer  39 assigned to device CUDA1, is_swa = 0
0.01.004.496 D load_tensors: layer  40 assigned to device CUDA1, is_swa = 0
0.01.004.497 D load_tensors: layer  41 assigned to device CUDA1, is_swa = 0
0.01.004.498 D load_tensors: layer  42 assigned to device CUDA1, is_swa = 0
0.01.004.498 D load_tensors: layer  43 assigned to device CUDA1, is_swa = 0
0.01.004.499 D load_tensors: layer  44 assigned to device CUDA1, is_swa = 0
0.01.004.500 D load_tensors: layer  45 assigned to device CUDA1, is_swa = 0
0.01.004.501 D load_tensors: layer  46 assigned to device CUDA1, is_swa = 0
0.01.004.501 D load_tensors: layer  47 assigned to device CUDA1, is_swa = 0
0.01.004.502 D load_tensors: layer  48 assigned to device CUDA1, is_swa = 0
0.01.004.502 D load_tensors: layer  49 assigned to device CUDA1, is_swa = 0
0.01.004.503 D load_tensors: layer  50 assigned to device CUDA1, is_swa = 0
0.01.004.504 D load_tensors: layer  51 assigned to device CUDA1, is_swa = 0
0.01.004.505 D load_tensors: layer  52 assigned to device CUDA1, is_swa = 0
0.01.004.505 D load_tensors: layer  53 assigned to device CUDA1, is_swa = 0
0.01.004.506 D load_tensors: layer  54 assigned to device CUDA1, is_swa = 0
0.01.004.507 D load_tensors: layer  55 assigned to device CUDA1, is_swa = 0
0.01.004.507 D load_tensors: layer  56 assigned to device CUDA1, is_swa = 0
0.01.004.508 D load_tensors: layer  57 assigned to device CUDA1, is_swa = 0
0.01.004.509 D load_tensors: layer  58 assigned to device CUDA1, is_swa = 0
