0.00.510.948 D load_tensors: layer   0 assigned to device Meta(), is_swa = 0
0.00.510.949 D load_tensors: layer   1 assigned to device Meta(), is_swa = 0
0.00.510.949 D load_tensors: layer   2 assigned to device Meta(), is_swa = 0
0.00.510.950 D load_tensors: layer   3 assigned to device Meta(), is_swa = 0
0.00.510.950 D load_tensors: layer   4 assigned to device Meta(), is_swa = 0
0.00.510.950 D load_tensors: layer   5 assigned to device Meta(), is_swa = 0
0.00.510.950 D load_tensors: layer   6 assigned to device Meta(), is_swa = 0
0.00.510.950 D load_tensors: layer   7 assigned to device Meta(), is_swa = 0
0.00.510.951 D load_tensors: layer   8 assigned to device Meta(), is_swa = 0
0.00.510.951 D load_tensors: layer   9 assigned to device Meta(), is_swa = 0
0.00.510.951 D load_tensors: layer  10 assigned to device Meta(), is_swa = 0
0.00.510.951 D load_tensors: layer  11 assigned to device Meta(), is_swa = 0
0.00.510.951 D load_tensors: layer  12 assigned to device Meta(), is_swa = 0
0.00.510.952 D load_tensors: layer  13 assigned to device Meta(), is_swa = 0
0.00.510.952 D load_tensors: layer  14 assigned to device Meta(), is_swa = 0
0.00.510.952 D load_tensors: layer  15 assigned to device Meta(), is_swa = 0
0.00.510.952 D load_tensors: layer  16 assigned to device Meta(), is_swa = 0
0.00.510.952 D load_tensors: layer  17 assigned to device Meta(), is_swa = 0
0.00.510.953 D load_tensors: layer  18 assigned to device Meta(), is_swa = 0
0.00.510.953 D load_tensors: layer  19 assigned to device Meta(), is_swa = 0
0.00.510.953 D load_tensors: layer  20 assigned to device Meta(), is_swa = 0
0.00.510.953 D load_tensors: layer  21 assigned to device Meta(), is_swa = 0
0.00.510.953 D load_tensors: layer  22 assigned to device Meta(), is_swa = 0
0.00.510.954 D load_tensors: layer  23 assigned to device Meta(), is_swa = 0
0.00.510.954 D load_tensors: layer  24 assigned to device Meta(), is_swa = 0
0.00.510.954 D load_tensors: layer  25 assigned to device Meta(), is_swa = 0
0.00.510.954 D load_tensors: layer  26 assigned to device Meta(), is_swa = 0
0.00.510.954 D load_tensors: layer  27 assigned to device Meta(), is_swa = 0
0.00.510.954 D load_tensors: layer  28 assigned to device Meta(), is_swa = 0
0.00.510.955 D load_tensors: layer  29 assigned to device Meta(), is_swa = 0
0.00.510.955 D load_tensors: layer  30 assigned to device Meta(), is_swa = 0
0.00.510.955 D load_tensors: layer  31 assigned to device Meta(), is_swa = 0
0.00.510.955 D load_tensors: layer  32 assigned to device Meta(), is_swa = 0
0.00.510.955 D load_tensors: layer  33 assigned to device Meta(), is_swa = 0
0.00.510.956 D load_tensors: layer  34 assigned to device Meta(), is_swa = 0
0.00.510.956 D load_tensors: layer  35 assigned to device Meta(), is_swa = 0
0.00.510.956 D load_tensors: layer  36 assigned to device Meta(), is_swa = 0
0.00.510.956 D load_tensors: layer  37 assigned to device Meta(), is_swa = 0
0.00.510.956 D load_tensors: layer  38 assigned to device Meta(), is_swa = 0
0.00.510.957 D load_tensors: layer  39 assigned to device Meta(), is_swa = 0
0.00.510.957 D load_tensors: layer  40 assigned to device Meta(), is_swa = 0
0.00.510.957 D load_tensors: layer  41 assigned to device Meta(), is_swa = 0
0.00.510.957 D load_tensors: layer  42 assigned to device Meta(), is_swa = 0
0.00.510.957 D load_tensors: layer  43 assigned to device Meta(), is_swa = 0
0.00.510.958 D load_tensors: layer  44 assigned to device Meta(), is_swa = 0
0.00.510.958 D load_tensors: layer  45 assigned to device Meta(), is_swa = 0
0.00.510.958 D load_tensors: layer  46 assigned to device Meta(), is_swa = 0
0.00.510.958 D load_tensors: layer  47 assigned to device Meta(), is_swa = 0
0.00.510.958 D load_tensors: layer  48 assigned to device Meta(), is_swa = 0
0.00.510.958 D load_tensors: layer  49 assigned to device Meta(), is_swa = 0
0.00.510.959 D load_tensors: layer  50 assigned to device Meta(), is_swa = 0
0.00.510.959 D load_tensors: layer  51 assigned to device Meta(), is_swa = 0
0.00.510.959 D load_tensors: layer  52 assigned to device Meta(), is_swa = 0
0.00.510.959 D load_tensors: layer  53 assigned to device Meta(), is_swa = 0
0.00.510.959 D load_tensors: layer  54 assigned to device Meta(), is_swa = 0
0.00.510.960 D load_tensors: layer  55 assigned to device Meta(), is_swa = 0
0.00.510.960 D load_tensors: layer  56 assigned to device Meta(), is_swa = 0
0.00.510.960 D load_tensors: layer  57 assigned to device Meta(), is_swa = 0
0.00.510.960 D load_tensors: layer  58 assigned to device Meta(), is_swa = 0
0.00.510.960 D load_tensors: layer  59 assigned to device Meta(), is_swa = 0
0.00.510.961 D load_tensors: layer  60 assigned to device Meta(), is_swa = 0
0.00.510.961 D load_tensors: layer  61 assigned to device Meta(), is_swa = 0
0.00.510.961 D load_tensors: layer  62 assigned to device Meta(), is_swa = 0
0.00.510.961 D load_tensors: layer  63 assigned to device Meta(), is_swa = 0
0.00.510.961 D load_tensors: layer  64 assigned to device Meta(), is_swa = 0
0.00.510.962 D load_tensors: layer  65 assigned to device Meta(), is_swa = 0
0.00.975.819 D load_tensors: layer   0 assigned to device Meta(), is_swa = 0
0.00.975.820 D load_tensors: layer   1 assigned to device Meta(), is_swa = 0
0.00.975.820 D load_tensors: layer   2 assigned to device Meta(), is_swa = 0
0.00.975.821 D load_tensors: layer   3 assigned to device Meta(), is_swa = 0
0.00.975.821 D load_tensors: layer   4 assigned to device Meta(), is_swa = 0
0.00.975.821 D load_tensors: layer   5 assigned to device Meta(), is_swa = 0
0.00.975.821 D load_tensors: layer   6 assigned to device Meta(), is_swa = 0
0.00.975.821 D load_tensors: layer   7 assigned to device Meta(), is_swa = 0
0.00.975.822 D load_tensors: layer   8 assigned to device Meta(), is_swa = 0
0.00.975.822 D load_tensors: layer   9 assigned to device Meta(), is_swa = 0
0.00.975.822 D load_tensors: layer  10 assigned to device Meta(), is_swa = 0
0.00.975.822 D load_tensors: layer  11 assigned to device Meta(), is_swa = 0
0.00.975.822 D load_tensors: layer  12 assigned to device Meta(), is_swa = 0
0.00.975.823 D load_tensors: layer  13 assigned to device Meta(), is_swa = 0
0.00.975.823 D load_tensors: layer  14 assigned to device Meta(), is_swa = 0
0.00.975.838 D load_tensors: layer  15 assigned to device Meta(), is_swa = 0
0.00.975.838 D load_tensors: layer  16 assigned to device Meta(), is_swa = 0
0.00.975.838 D load_tensors: layer  17 assigned to device Meta(), is_swa = 0
0.00.975.839 D load_tensors: layer  18 assigned to device Meta(), is_swa = 0
0.00.975.839 D load_tensors: layer  19 assigned to device Meta(), is_swa = 0
0.00.975.839 D load_tensors: layer  20 assigned to device Meta(), is_swa = 0
0.00.975.839 D load_tensors: layer  21 assigned to device Meta(), is_swa = 0
0.00.975.839 D load_tensors: layer  22 assigned to device Meta(), is_swa = 0
0.00.975.839 D load_tensors: layer  23 assigned to device Meta(), is_swa = 0
0.00.975.840 D load_tensors: layer  24 assigned to device Meta(), is_swa = 0
0.00.975.840 D load_tensors: layer  25 assigned to device Meta(), is_swa = 0
0.00.975.840 D load_tensors: layer  26 assigned to device Meta(), is_swa = 0
0.00.975.840 D load_tensors: layer  27 assigned to device Meta(), is_swa = 0
0.00.975.840 D load_tensors: layer  28 assigned to device Meta(), is_swa = 0
0.00.975.841 D load_tensors: layer  29 assigned to device Meta(), is_swa = 0
0.00.975.841 D load_tensors: layer  30 assigned to device Meta(), is_swa = 0
0.00.975.841 D load_tensors: layer  31 assigned to device Meta(), is_swa = 0
0.00.975.841 D load_tensors: layer  32 assigned to device Meta(), is_swa = 0
0.00.975.841 D load_tensors: layer  33 assigned to device Meta(), is_swa = 0
0.00.975.842 D load_tensors: layer  34 assigned to device Meta(), is_swa = 0
0.00.975.842 D load_tensors: layer  35 assigned to device Meta(), is_swa = 0
0.00.975.842 D load_tensors: layer  36 assigned to device Meta(), is_swa = 0
0.00.975.842 D load_tensors: layer  37 assigned to device Meta(), is_swa = 0
0.00.975.842 D load_tensors: layer  38 assigned to device Meta(), is_swa = 0
0.00.975.842 D load_tensors: layer  39 assigned to device Meta(), is_swa = 0
0.00.975.843 D load_tensors: layer  40 assigned to device Meta(), is_swa = 0
0.00.975.843 D load_tensors: layer  41 assigned to device Meta(), is_swa = 0
0.00.975.843 D load_tensors: layer  42 assigned to device Meta(), is_swa = 0
0.00.975.843 D load_tensors: layer  43 assigned to device Meta(), is_swa = 0
0.00.975.843 D load_tensors: layer  44 assigned to device Meta(), is_swa = 0
0.00.975.844 D load_tensors: layer  45 assigned to device Meta(), is_swa = 0
0.00.975.844 D load_tensors: layer  46 assigned to device Meta(), is_swa = 0
0.00.975.844 D load_tensors: layer  47 assigned to device Meta(), is_swa = 0
0.00.975.844 D load_tensors: layer  48 assigned to device Meta(), is_swa = 0
0.00.975.844 D load_tensors: layer  49 assigned to device Meta(), is_swa = 0
0.00.975.844 D load_tensors: layer  50 assigned to device Meta(), is_swa = 0
0.00.975.845 D load_tensors: layer  51 assigned to device Meta(), is_swa = 0
0.00.975.845 D load_tensors: layer  52 assigned to device Meta(), is_swa = 0
0.00.975.845 D load_tensors: layer  53 assigned to device Meta(), is_swa = 0
0.00.975.846 D load_tensors: layer  54 assigned to device Meta(), is_swa = 0
0.00.975.847 D load_tensors: layer  55 assigned to device Meta(), is_swa = 0
0.00.975.847 D load_tensors: layer  56 assigned to device Meta(), is_swa = 0
0.00.975.847 D load_tensors: layer  57 assigned to device Meta(), is_swa = 0
0.00.975.847 D load_tensors: layer  58 assigned to device Meta(), is_swa = 0
0.00.975.847 D load_tensors: layer  59 assigned to device Meta(), is_swa = 0
0.00.975.848 D load_tensors: layer  60 assigned to device Meta(), is_swa = 0
0.00.975.848 D load_tensors: layer  61 assigned to device Meta(), is_swa = 0
