
######## effort=medium
  RD-02  DEFECT  FOUND         FOUND         FOUND       
  RD-03  DEFECT  missed        missed        missed      
  RD-05  DEFECT  missed        missed        missed      
  RD-06  DEFECT  missed        missed        missed      
  RD-07  DEFECT  missed        missed        missed      
  CC-01  control INVENTED×1    INVENTED×1    INVENTED×1  
  CC-02  control clean         INVENTED×1    INVENTED×1  
  CC-03  control clean         clean         clean       

######## effort=xhigh
  RD-02  DEFECT  missed        missed        missed      
  RD-03  DEFECT  missed        missed        missed      
  RD-05  DEFECT  missed        missed        missed      
  RD-06  DEFECT  missed        missed        missed      
