alloc_n,requested_bytes,rt_free_bytes,rt_used_delta_bytes,sysfs_used_bytes,sysfs_used_delta_bytes,charge_ratio
1,11534336,16731343872,46137344,2804424704,11554816,4.0000
2,23068672,16685206528,92274688,2815983616,23113728,4.0000
3,34603008,16599223296,178257920,2827538432,34668544,5.1515
4,46137344,16553085952,224395264,2839097344,46227456,4.8636
5,57671680,16546794496,230686720,2850652160,57782272,4.0000
6,69206016,16500657152,276824064,2862211072,69341184,4.0000
7,80740352,16454519808,322961408,2873765888,80896000,4.0000
8,92274688,16408382464,369098752,2885324800,92454912,4.0000
9,103809024,16353856512,423624704,2896879616,104009728,4.0808
10,115343360,16307719168,469762048,2908438528,115568640,4.0727
11,126877696,16269970432,507510784,2919993344,127123456,4.0000
12,138412032,16223833088,553648128,2931552256,138682368,4.0000
13,149946368,16177695744,599785472,2943107072,150237184,4.0000
14,161480704,16131558400,645922816,2954665984,161796096,4.0000
15,173015040,16045575168,731906048,2966220800,173350912,4.2303
16,184549376,15999437824,778043392,2977779712,184909824,4.2159
17,196083712,15993146368,784334848,2989334528,196464640,4.0000
18,207618048,15947009024,830472192,3000893440,208023552,4.0000
19,219152384,15900871680,876609536,3012448256,219578368,4.0000
20,230686720,15854734336,922746880,3024007168,231137280,4.0000
21,242221056,15808596992,968884224,3035561984,242692096,4.0000
22,253755392,15762459648,1015021568,3047120896,254251008,4.0000
23,265289728,15716322304,1061158912,3058675712,265805824,4.0000
24,276824064,15670184960,1107296256,3070234624,277364736,4.0000
25,288358400,15624047616,1153433600,3081789440,288919552,4.0000
26,299892736,15577910272,1199570944,3093348352,300478464,4.0000
27,311427072,15491927040,1285554176,3104903168,312033280,4.1279
28,322961408,15445789696,1331691520,3116462080,323592192,4.1234
29,334495744,15439498240,1337982976,3128016896,335147008,4.0000
30,346030080,15393360896,1384120320,3139575808,346705920,4.0000
31,357564416,15347223552,1430257664,3151130624,358260736,4.0000
32,369098752,15301086208,1476395008,3162689536,369819648,4.0000
33,380633088,15254948864,1522532352,3174244352,381374464,4.0000
