alloc_n,requested_bytes,rt_free_bytes,rt_used_delta_bytes,sysfs_used_bytes,sysfs_used_delta_bytes,charge_ratio
1,33554432,16643263488,134217728,2806185984,33619968,4.0000
2,67108864,16469199872,308281344,2839805952,67239936,4.5938
3,100663296,16374828032,402653184,2873425920,100859904,4.0000
4,134217728,16240610304,536870912,2907045888,134479872,4.0000
5,167772160,16106392576,671088640,2940665856,168099840,4.0000
6,201326592,15932328960,845152256,2974285824,201719808,4.1979
7,234881024,15837957120,939524096,3007905792,235339776,4.0000
8,268435456,15703739392,1073741824,3041525760,268959744,4.0000
9,301989888,15569521664,1207959552,3075145728,302579712,4.0000
10,335544320,15435303936,1342177280,3108765696,336199680,4.0000
11,369098752,15261240320,1516240896,3142385664,369819648,4.1080
12,402653184,15166868480,1610612736,3176005632,403439616,4.0000
13,436207616,15032650752,1744830464,3209625600,437059584,4.0000
14,469762048,14898433024,1879048192,3243245568,470679552,4.0000
15,503316480,14713883648,2063597568,3276865536,504299520,4.1000
16,536870912,14629997568,2147483648,3310485504,537919488,4.0000
17,570425344,14495779840,2281701376,3344105472,571539456,4.0000
18,603979776,14361562112,2415919104,3377725440,605159424,4.0000
19,637534208,14227344384,2550136832,3411345408,638779392,4.0000
20,671088640,14053280768,2724200448,3444965376,672399360,4.0594
21,704643072,13958908928,2818572288,3478585344,706019328,4.0000
22,738197504,13824691200,2952790016,3512205312,739639296,4.0000
23,771751936,13690473472,3087007744,3545825280,773259264,4.0000
24,805306368,13516409856,3261071360,3579445248,806879232,4.0495
25,838860800,13422038016,3355443200,3613065216,840499200,4.0000
26,872415232,13287820288,3489660928,3646685184,874119168,4.0000
27,905969664,13145213952,3632267264,3680305152,907739136,4.0093
28,939524096,13019384832,3758096384,3713925120,941359104,4.0000
29,973078528,12885167104,3892314112,3747545088,974979072,4.0000
30,1006632960,12750949376,4026531840,3781165056,1008599040,4.0000
31,1040187392,12616731648,4160749568,3814785024,1042219008,4.0000
32,1073741824,12482513920,4294967296,3848409088,1075843072,4.0000
33,1107296256,12308450304,4469030912,3882029056,1109463040,4.0360
34,1140850688,12214078464,4563402752,3915649024,1143083008,4.0000
35,1174405120,12079860736,4697620480,3949268992,1176702976,4.0000
36,1207959552,11945643008,4831838208,3982888960,1210322944,4.0000
37,1241513984,11771579392,5005901824,4016508928,1243942912,4.0321
38,1275068416,11677207552,5100273664,4050128896,1277562880,4.0000
39,1308622848,11534601216,5242880000,4083748864,1311182848,4.0064
40,1342177280,11408772096,5368709120,4117368832,1344802816,4.0000
41,1375731712,11274554368,5502926848,4150988800,1378422784,4.0000
42,1409286144,11100490752,5676990464,4184608768,1412042752,4.0283
43,1442840576,11006118912,5771362304,4218228736,1445662720,4.0000
44,1476395008,10871901184,5905580032,4251848704,1479282688,4.0000
45,1509949440,10737683456,6039797760,4285468672,1512902656,4.0000
46,1543503872,10563619840,6213861376,4319088640,1546522624,4.0258
47,1577058304,10469248000,6308233216,4352708608,1580142592,4.0000
48,1610612736,10335030272,6442450944,4386328576,1613762560,4.0000
