epoch,mem_avail_mb,mem_free_mb,cached_mb,swap_used_mb,gtt_used_mb,vram_used_mb
1789154114,22645,1924,20392,5678,172,1442
1789154115,22264,1502,20440,5670,173,1647
1789154116,22156,1393,20442,5669,165,13137
1789154117,21980,1217,20442,5669,165,14371
1789154118,22033,1269,20443,5669,167,14369
1789154119,21785,1320,20158,5700,167,14372
1789154120,21751,1422,20030,5705,165,14371
1789154121,21765,1496,19977,5708,165,14371
1789154122,21774,1539,19947,5711,165,14371
1789154123,21776,1541,19947,5711,165,14371
1789154124,21759,1524,19947,5711,165,14371
1789154125,21786,1570,19930,5712,165,14371
1789154126,21779,1563,19930,5712,165,14371
1789154127,21792,1591,19916,5712,165,14371
1789154128,21760,1559,19916,5712,165,14375
1789154129,21750,1548,19917,5712,165,14375
1789154130,21797,1595,19917,5711,165,14375
1789154131,21797,1595,19920,5708,165,14375
1789154132,21798,1596,19920,5708,165,14373
1789154133,21807,1604,19920,5708,159,14373
1789154134,21829,1641,19908,5708,159,14373
1789154135,21835,1647,19911,5708,159,14373
1789154136,21824,1635,19911,5708,159,14373
1789154137,21820,1628,19912,5708,159,14373
1789154138,21833,1641,19912,5708,159,14373
1789154139,21828,1637,19912,5708,159,14373
1789154140,21814,1622,19912,5708,159,14373
1789154142,21828,1636,19912,5708,159,14373
1789154143,21820,1628,19912,5708,157,14373
1789154144,21799,1607,19912,5708,157,14373
1789154145,21809,1613,19915,5708,157,14373
1789154146,21825,1629,19916,5708,157,14373
1789154147,21958,1760,19916,5708,157,14374
1789154148,21947,1750,19916,5708,157,14374
1789154149,21946,1749,19917,5708,157,14374
1789154150,21951,1754,19917,5708,157,14374
1789154151,21949,1748,19921,5708,157,14374
1789154152,21959,1757,19921,5708,157,14374
1789154153,21958,1757,19922,5707,157,14374
1789154154,21954,1751,19923,5707,157,14374
1789154155,21969,1766,19923,5707,157,14374
1789154156,21986,1783,19924,5707,157,14375
1789154157,21978,1774,19924,5707,157,14375
1789154158,21980,1776,19924,5707,157,14375
1789154159,21981,1777,19924,5707,157,14375
1789154160,21969,1761,19924,5702,159,14375
1789154161,21950,1741,19932,5702,159,14375
1789154162,21933,1725,19932,5702,157,14371
1789154163,21872,1663,19932,5702,157,14371
1789154164,21929,1720,19933,5702,157,14371
1789154165,21930,1720,19933,5702,157,14371
1789154166,21936,1720,19940,5702,157,14367
1789154167,21948,1731,19940,5702,157,14367
1789154168,21930,1705,19944,5702,163,14379
1789154169,21920,1695,19944,5702,163,14379
1789154170,21914,1697,19941,5702,163,14379
1789154171,21925,1708,19941,5702,163,14379
1789154172,21907,1689,19941,5702,163,14379
1789154173,21931,1713,19941,5701,163,14379
1789154174,21922,1705,19941,5701,163,14380
1789154175,21903,1685,19941,5700,165,14380
1789154176,21861,1644,19941,5647,167,14386
1789154177,21880,1663,19941,5646,167,14386
1789154178,21868,1651,19941,5646,167,14386
1789154179,21852,1634,19941,5646,167,14386
1789154180,21841,1624,19941,5646,163,14386
1789154181,21856,1639,19941,5646,163,14386
1789154182,21852,1634,19942,5646,163,14386
1789154183,21861,1643,19942,5646,163,14386
1789154184,21876,1658,19942,5646,163,14386
1789154185,21905,1685,19943,5646,163,14386
1789154186,21896,1677,19943,5646,163,14386
1789154187,21898,1678,19943,5646,163,14386
1789154188,21897,1676,19945,5646,163,14386
1789154189,21895,1674,19945,5646,163,14386
1789154190,21895,1673,19946,5646,163,14386
1789154191,21892,1670,19946,5646,163,14386
1789154192,21912,1689,19947,5646,163,14387
1789154193,21909,1686,19948,5646,163,14387
1789154194,21905,1681,19948,5646,163,14387
1789154195,21885,1660,19950,5646,163,14387
1789154196,21905,1680,19949,5646,163,14387
1789154197,21883,1656,19951,5646,163,14381
1789154198,21899,1672,19951,5646,161,14378
1789154199,21896,1669,19951,5646,161,14378
1789154200,21907,1680,19951,5646,161,14378
1789154201,21896,1669,19951,5646,161,14378
1789154202,21891,1663,19951,5646,161,14379
1789154203,21919,1691,19951,5646,161,14379
1789154204,21896,1669,19951,5645,161,14379
1789154205,21853,1598,19979,5645,161,14379
1789154206,22616,2361,19979,5645,155,1439
1789154207,22628,2373,19979,5645,155,1439
1789154208,22629,2374,19979,5645,155,1439
1789154228,22624,2368,19985,5642,161,1454
1789154229,22444,2188,19982,5642,161,1653
1789154230,22405,2148,19982,5642,161,13143
1789154231,22321,2064,19982,5642,161,14377
1789154232,22316,2059,19982,5642,157,14375
1789154233,21928,1765,19888,5644,157,14377
1789154234,21934,1831,19830,5644,157,14377
1789154235,21903,1844,19787,5642,159,14377
1789154236,21909,1892,19745,5639,161,14375
1789154237,21896,1896,19730,5637,161,14375
1789154238,21871,1893,19709,5637,161,14375
1789154239,21924,2043,19617,5637,161,14375
1789154240,21921,2046,19612,5637,161,14375
1789154241,21902,2022,19612,5637,161,14380
1789154242,21916,2065,19587,5637,161,14379
1789154243,21905,2048,19593,5637,161,14379
1789154244,21888,2038,19586,5637,161,14379
1789154245,21896,2045,19587,5637,161,14379
1789154247,21895,2045,19587,5637,161,14377
1789154248,21903,2052,19587,5636,161,14377
1789154249,21909,2062,19584,5636,161,14377
1789154250,21897,2050,19584,5636,161,14377
1789154251,21893,2046,19584,5636,161,14377
1789154252,21885,2037,19584,5636,161,14378
1789154253,21887,2039,19584,5636,161,14378
1789154254,21899,2051,19584,5636,161,14378
1789154255,21883,2035,19584,5636,161,14378
1789154256,21894,2050,19581,5636,161,14378
1789154257,21893,2048,19582,5636,161,14372
1789154258,21903,2058,19582,5636,161,14372
1789154259,21914,2068,19582,5636,161,14372
1789154260,21921,2075,19582,5636,161,14372
