epoch,arm,rep,mem_avail_mb,swap_used_mb,gtt_used_mb,vram_used_mb
1789160861,QWOPUS,1,20735,4306,104,1540
1789160863,QWOPUS,1,20769,4346,110,1739
1789160865,QWOPUS,1,20907,4527,110,1735
1789160867,QWOPUS,1,21129,4907,110,1733
1789160869,QWOPUS,1,21516,5386,110,1733
1789160871,QWOPUS,1,21947,5904,110,1729
1789160873,QWOPUS,1,22528,6519,110,1729
1789160875,QWOPUS,1,23037,7182,110,1729
1789160877,QWOPUS,1,23395,7678,110,1729
1789160879,QWOPUS,1,23208,7702,112,13200
1789160881,QWOPUS,1,23555,8129,112,13202
1789160883,QWOPUS,1,23537,8280,112,14448
1789160885,QWOPUS,1,23016,8280,112,14456
1789160887,QWOPUS,1,22999,8276,112,14456
1789160889,QWOPUS,1,22986,8272,112,14456
1789160891,QWOPUS,1,22982,8266,112,14456
1789160893,QWOPUS,1,22919,8262,112,14460
1789160895,QWOPUS,1,22918,8247,112,14460
1789160897,QWOPUS,1,22694,8030,114,14464
1789160899,QWOPUS,1,22677,8008,114,14457
1789160901,QWOPUS,1,22704,8001,114,14459
1789160903,QWOPUS,1,22692,7993,114,14460
1789160905,QWOPUS,1,22687,7988,108,14460
1789160907,QWOPUS,1,22684,7984,108,14460
1789160909,QWOPUS,1,22684,7951,108,14459
1789160911,QWOPUS,1,22675,7947,108,14459
1789160913,QWOPUS,1,22683,7945,108,14460
1789160915,QWOPUS,1,22676,7942,108,14460
1789160917,QWOPUS,1,22673,7940,108,14460
1789160919,QWOPUS,1,22674,7938,108,14460
1789160921,QWOPUS,1,22661,7936,108,14460
1789160923,QWOPUS,1,22632,7921,108,14486
1789160925,QWOPUS,1,22571,7857,112,14474
1789160927,QWOPUS,1,22591,7853,112,14474
1789160929,QWOPUS,1,22608,7843,112,14474
1789160931,QWOPUS,1,22602,7842,112,14474
1789160933,QWOPUS,1,22598,7835,112,14475
1789160935,QWOPUS,1,22611,7833,112,14475
1789160937,QWOPUS,1,22714,7832,112,14471
1789160939,QWOPUS,1,22716,7830,112,14471
1789160941,QWOPUS,1,22449,7822,114,14462
1789160943,QWOPUS,1,22624,7730,142,14487
1789160945,QWOPUS,1,22589,7706,139,14525
1789160947,QWOPUS,1,22537,7683,141,14515
1789160949,QWOPUS,1,22510,7670,129,14490
1789160951,QWOPUS,1,22505,7668,129,14485
1789160953,QWOPUS,1,22513,7668,129,14479
1789160955,QWOPUS,1,22484,7636,129,14479
1789160957,QWOPUS,1,22456,7633,129,14479
1789160959,QWOPUS,1,22410,7592,129,14480
1789160961,QWOPUS,1,22412,7592,127,14480
1789160963,QWOPUS,1,22398,7591,127,14480
1789160965,QWOPUS,1,22440,7589,127,14480
1789160967,QWOPUS,1,22439,7588,127,14480
1789160969,QWOPUS,1,22423,7583,127,14481
1789160971,QWOPUS,1,22442,7582,127,14481
1789160973,QWOPUS,1,22466,7582,127,14481
1789160975,QWOPUS,1,22456,7581,127,14481
1789160977,QWOPUS,1,22438,7579,127,14481
1789160979,QWOPUS,1,22446,7577,127,14481
1789160981,QWOPUS,1,22426,7577,127,14481
1789160983,QWOPUS,1,22413,7553,127,14481
1789160985,QWOPUS,1,22406,7552,127,14481
1789160987,QWOPUS,1,22389,7545,127,14482
1789160989,QWOPUS,1,22403,7544,127,14482
1789160991,QWOPUS,1,22400,7541,127,14482
1789160993,QWOPUS,1,22518,7540,127,14482
1789160995,QWOPUS,1,22528,7539,127,14482
1789160997,QWOPUS,1,22544,7538,127,14483
1789160999,QWOPUS,1,22537,7537,127,14483
1789161001,QWOPUS,1,22524,7537,127,14483
1789161003,QWOPUS,1,22512,7535,127,14478
1789161005,QWOPUS,1,22514,7520,127,14478
1789161007,QWOPUS,1,22502,7518,127,14479
1789161009,QWOPUS,1,22484,7518,127,14479
1789161011,QWOPUS,1,22510,7516,127,14479
1789161013,QWOPUS,1,22509,7516,127,14479
1789161015,QWOPUS,1,22473,7495,129,14482
1789161017,QWOPUS,1,22462,7487,129,14483
1789161019,QWOPUS,1,22462,7483,129,14483
1789161021,QWOPUS,1,22462,7483,129,14474
1789161023,QWOPUS,1,22457,7478,129,14474
1789161025,QWOPUS,1,22230,7477,129,14472
1789161027,QWOPUS,1,22240,7475,129,14472
1789161029,QWOPUS,1,22256,7475,129,14472
1789161031,QWOPUS,1,22261,7474,129,14472
1789161033,QWOPUS,1,22279,7474,129,14472
1789161035,QWOPUS,1,22302,7474,129,14472
1789161037,QWOPUS,1,22320,7473,129,14472
1789161039,QWOPUS,1,22304,7473,129,14472
1789161041,QWOPUS,1,23039,7472,116,1529
1789161069,BASE,1,22830,7204,108,1516
1789161071,BASE,1,23125,7279,110,1713
1789161073,BASE,1,23241,7434,112,1714
1789161075,BASE,1,23271,7451,112,1708
1789161077,BASE,1,23412,7788,112,13178
1789161079,BASE,1,23354,7962,118,13258
1789161081,BASE,1,23287,7991,114,14497
1789161083,BASE,1,22897,8093,114,14506
1789161085,BASE,1,22867,8106,114,14506
1789161087,BASE,1,22835,8091,114,14506
1789161089,BASE,1,22839,8082,114,14506
1789161091,BASE,1,22799,8072,114,14510
1789161093,BASE,1,22818,8071,114,14510
1789161095,BASE,1,22793,8063,114,14508
1789161097,BASE,1,22768,8059,114,14445
1789161099,BASE,1,22769,8057,114,14445
1789161101,BASE,1,22752,8056,114,14445
1789161103,BASE,1,22758,8053,114,14445
1789161105,BASE,1,22733,8046,114,14445
1789161107,BASE,1,22785,8012,114,14445
1789161109,BASE,1,22799,8001,114,14445
1789161111,BASE,1,22819,7995,114,14446
1789161113,BASE,1,22809,7989,114,14446
1789161115,BASE,1,22978,7973,114,14446
1789161117,BASE,1,22965,7973,114,14446
1789161119,BASE,1,22934,7967,114,14447
1789161121,BASE,1,22900,7952,118,14446
1789161123,BASE,1,22903,7949,110,14440
1789161125,BASE,1,22899,7946,110,14440
1789161127,BASE,1,22902,7942,110,14440
1789161129,BASE,1,22882,7941,110,14441
1789161131,BASE,1,22546,7630,110,14441
1789161133,BASE,1,22526,7629,110,14441
1789161135,BASE,1,22232,7576,112,14443
1789161137,BASE,1,22455,7604,110,14443
1789161139,BASE,1,22446,7602,110,14444
1789161141,BASE,1,22389,7569,110,14444
1789161143,BASE,1,22403,7568,110,14444
1789161145,BASE,1,22427,7568,110,14444
1789161148,BASE,1,22411,7567,110,14445
1789161150,BASE,1,22434,7566,110,14445
1789161152,BASE,1,22457,7566,110,14445
1789161154,BASE,1,22484,7564,110,14445
1789161156,BASE,1,22475,7560,110,14445
1789161158,BASE,1,22467,7560,110,14445
1789161160,BASE,1,22470,7559,110,14445
1789161162,BASE,1,22498,7547,110,14445
1789161164,BASE,1,22507,7543,110,14445
1789161166,BASE,1,22531,7543,110,14445
1789161168,BASE,1,22641,7542,110,14446
1789161170,BASE,1,22641,7542,110,14446
1789161172,BASE,1,22664,7541,110,14446
1789161174,BASE,1,22625,7540,110,14446
1789161176,BASE,1,22650,7538,110,14447
1789161178,BASE,1,22656,7538,110,14447
1789161180,BASE,1,22653,7538,110,14447
1789161182,BASE,1,22614,7536,110,14447
1789161184,BASE,1,22657,7535,110,14447
1789161186,BASE,1,22648,7532,110,14447
1789161188,BASE,1,22659,7531,110,14447
1789161190,BASE,1,22650,7531,110,14447
1789161192,BASE,1,22633,7529,110,14447
1789161194,BASE,1,22641,7529,110,14447
1789161196,BASE,1,22203,7341,112,14449
1789161198,BASE,1,22423,7382,108,14449
1789161200,BASE,1,22410,7381,108,14449
1789161202,BASE,1,22413,7380,108,14449
1789161204,BASE,1,22407,7379,108,14449
1789161206,BASE,1,22416,7376,108,14449
1789161208,BASE,1,22430,7374,108,14449
1789161210,BASE,1,22458,7368,108,14449
1789161212,BASE,1,22452,7368,108,14449
1789161214,BASE,1,22453,7367,108,14450
1789161216,BASE,1,22459,7362,108,14450
1789161218,BASE,1,22438,7362,108,14450
1789161220,BASE,1,22446,7362,108,14450
1789161222,BASE,1,22458,7361,108,14450
1789161224,BASE,1,22461,7361,108,14451
1789161226,BASE,1,22476,7359,108,14451
1789161228,BASE,1,22451,7359,108,14451
1789161230,BASE,1,22489,7359,108,14451
1789161232,BASE,1,22492,7358,108,14451
1789161234,BASE,1,22502,7356,108,14451
1789161236,BASE,1,22500,7355,108,14451
1789161238,BASE,1,22509,7355,108,14451
1789161240,BASE,1,22493,7355,108,14451
1789161242,BASE,1,22512,7353,110,14455
1789161244,BASE,1,22499,7353,110,14455
1789161246,BASE,1,22510,7135,142,13279
1789161248,BASE,1,23084,7134,130,1515
1789161290,DAVIDAU,1,23122,7104,134,1515
1789161292,DAVIDAU,1,23067,7162,138,1712
1789161294,DAVIDAU,1,23110,7215,136,1712
1789161296,DAVIDAU,1,23130,7405,136,14430
1789161298,DAVIDAU,1,22611,7443,136,14439
1789161300,DAVIDAU,1,22759,7640,136,14439
1789161302,DAVIDAU,1,22872,7662,136,14439
1789161304,DAVIDAU,1,22888,7726,136,14439
1789161306,DAVIDAU,1,22932,7719,136,14443
1789161308,DAVIDAU,1,22930,7740,136,14443
1789161310,DAVIDAU,1,22926,7737,136,14443
1789161312,DAVIDAU,1,22873,7731,136,14441
1789161314,DAVIDAU,1,22883,7730,136,14441
1789161316,DAVIDAU,1,22678,7681,138,14444
1789161318,DAVIDAU,1,22823,7777,138,14444
1789161320,DAVIDAU,1,22793,7775,138,14444
1789161322,DAVIDAU,1,22815,7795,134,14444
1789161324,DAVIDAU,1,22824,7805,134,14445
1789161326,DAVIDAU,1,22838,7833,134,14445
1789161328,DAVIDAU,1,22852,7829,134,14445
1789161330,DAVIDAU,1,22857,7842,134,14445
1789161332,DAVIDAU,1,22885,7856,134,14445
1789161334,DAVIDAU,1,22868,7855,134,14445
1789161336,DAVIDAU,1,22856,7852,134,14445
1789161338,DAVIDAU,1,22874,7870,134,14445
1789161340,DAVIDAU,1,22891,7892,134,14445
1789161342,DAVIDAU,1,22865,7874,134,14445
1789161344,DAVIDAU,1,22843,7859,134,14446
1789161346,DAVIDAU,1,22862,7858,134,14446
1789161348,DAVIDAU,1,22900,7884,134,14446
1789161350,DAVIDAU,1,22878,7881,134,14446
1789161352,DAVIDAU,1,22868,7879,134,14447
1789161354,DAVIDAU,1,22867,7878,134,14447
1789161356,DAVIDAU,1,22962,7875,134,14447
1789161358,DAVIDAU,1,22940,7876,134,14447
1789161360,DAVIDAU,1,23029,7894,134,14447
1789161362,DAVIDAU,1,23013,7894,134,14448
1789161364,DAVIDAU,1,23011,7892,134,14448
1789161366,DAVIDAU,1,23005,7892,134,14448
1789161368,DAVIDAU,1,22959,7888,138,14448
1789161370,DAVIDAU,1,23022,7915,136,14446
1789161372,DAVIDAU,1,22939,7866,176,14875
1789161374,DAVIDAU,1,22957,7881,174,14709
1789161376,DAVIDAU,1,22837,7909,142,14685
1789161378,DAVIDAU,1,22836,7960,138,14619
1789161380,DAVIDAU,1,22893,7982,138,14527
1789161382,DAVIDAU,1,22888,7975,138,14527
1789161384,DAVIDAU,1,22863,7972,140,14470
1789161386,DAVIDAU,1,22915,8001,138,14470
1789161388,DAVIDAU,1,22915,7998,136,14460
1789161390,DAVIDAU,1,22909,7993,136,14460
1789161392,DAVIDAU,1,22883,7992,136,14460
1789161394,DAVIDAU,1,22866,7991,136,14460
1789161396,DAVIDAU,1,22889,7990,136,14460
1789161398,DAVIDAU,1,22879,7989,136,14461
1789161400,DAVIDAU,1,22875,7989,136,14461
1789161402,DAVIDAU,1,22960,8017,136,14461
1789161404,DAVIDAU,1,22950,8017,136,14461
1789161406,DAVIDAU,1,23082,8016,136,14457
1789161408,DAVIDAU,1,23084,8015,136,14458
1789161410,DAVIDAU,1,23059,8015,136,14458
1789161412,DAVIDAU,1,23039,7997,140,14465
1789161414,DAVIDAU,1,23042,7996,140,14465
1789161416,DAVIDAU,1,23040,7996,140,14465
1789161418,DAVIDAU,1,23032,7995,140,14465
1789161420,DAVIDAU,1,23023,7993,140,14465
1789161422,DAVIDAU,1,23121,8017,140,14465
1789161424,DAVIDAU,1,23088,8016,140,14465
1789161426,DAVIDAU,1,23084,8016,140,14466
1789161428,DAVIDAU,1,23078,8015,140,14466
1789161430,DAVIDAU,1,23060,8014,140,14466
1789161432,DAVIDAU,1,23725,7981,134,1522
1789161434,DAVIDAU,1,23743,7981,134,1522
1789161468,BASE,2,23576,7909,132,1549
1789161470,BASE,2,23575,7971,140,1732
1789161472,BASE,2,23627,8083,170,1901
1789161474,BASE,2,23795,8301,142,1857
1789161476,BASE,2,24112,8816,142,13322
1789161478,BASE,2,24116,8826,140,14502
1789161480,BASE,2,23685,8854,140,14511
1789161482,BASE,2,23685,8863,142,14511
1789161484,BASE,2,23680,8867,140,14511
1789161486,BASE,2,23664,8860,140,14511
1789161488,BASE,2,23600,8863,140,14513
1789161490,BASE,2,23609,8859,140,14513
1789161492,BASE,2,23606,8858,140,14511
1789161494,BASE,2,23594,8857,140,14511
1789161496,BASE,2,23075,8344,134,14428
1789161498,BASE,2,22880,8225,140,14498
1789161500,BASE,2,22985,8226,140,14498
1789161502,BASE,2,22976,8216,132,14494
1789161504,BASE,2,23008,8214,132,14494
1789161506,BASE,2,22993,8211,134,14496
1789161508,BASE,2,22855,8201,136,14494
1789161510,BASE,2,22702,8204,136,14494
1789161512,BASE,2,22705,8193,136,14494
1789161514,BASE,2,22781,8192,136,14494
1789161516,BASE,2,22800,8188,136,14427
1789161518,BASE,2,22820,8182,136,14427
1789161520,BASE,2,22801,8175,136,14427
1789161522,BASE,2,22818,8174,136,14427
1789161524,BASE,2,22834,8171,136,14427
1789161526,BASE,2,22866,8170,136,14423
1789161528,BASE,2,22960,8165,136,14423
1789161530,BASE,2,22946,8164,136,14423
1789161532,BASE,2,22920,8163,136,14424
1789161534,BASE,2,22912,8150,136,14425
1789161536,BASE,2,22898,8143,132,14425
1789161538,BASE,2,22934,8142,132,14423
1789161540,BASE,2,22946,8141,132,14423
1789161542,BASE,2,22956,8140,132,14423
1789161544,BASE,2,22946,8139,132,14424
1789161546,BASE,2,22954,8139,132,14424
1789161548,BASE,2,23052,8138,132,14424
1789161550,BASE,2,23019,8138,132,14424
1789161553,BASE,2,23072,8137,132,14424
1789161555,BASE,2,23070,8137,132,14425
1789161557,BASE,2,22737,8087,134,14427
