Module                  Size  Used by
cdc_acm                53248  0
veth                   45056  0
vhost_vsock            28672  0
vhost                  77824  1 vhost_vsock
vhost_iotlb            16384  1 vhost
vsock_loopback         12288  0
vmw_vsock_virtio_transport_common    61440  2 vhost_vsock,vsock_loopback
vmw_vsock_vmci_transport    57344  0
vsock                  77824  4 vmw_vsock_virtio_transport_common,vhost_vsock,vsock_loopback,vmw_vsock_vmci_transport
vmw_vmci              110592  1 vmw_vsock_vmci_transport
uinput                 28672  0
ccm                    20480  2
nls_utf8               12288  7
cifs                 1806336  2
smbdirect             163840  1 cifs
rdma_cm               163840  1 smbdirect
iw_cm                  65536  1 rdma_cm
ib_cm                 167936  1 rdma_cm
ib_core               630784  4 rdma_cm,smbdirect,iw_cm,ib_cm
nls_ucs2_utils          8192  1 cifs
libarc4                12288  1 cifs
cifs_md4               12288  1 cifs
dns_resolver           16384  1 cifs
netfs                 651264  1 cifs
udp_diag               12288  0
ntfs3                 352256  2
xt_connmark            16384  4
xt_mark                12288  2
nf_conntrack_netlink    65536  0
xt_nat                 16384  0
xfrm_user              69632  1
xfrm_algo              16384  1 xfrm_user
xt_set                 24576  0
ip_set                 69632  1 xt_set
xt_addrtype            12288  4
tcp_dctcp              16384  52
tcp_htcp               12288  29
tcp_bbr                24576  73
tcp_diag               20480  0
inet_diag              20480  2 tcp_diag,udp_diag
rfcomm                114688  18
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               139264  7 snd_seq_dummy
xt_CHECKSUM            12288  1
xt_MASQUERADE          16384  7
xt_conntrack           12288  7
ipt_REJECT             12288  2
nf_reject_ipv4         16384  1 ipt_REJECT
xt_tcpudp              20480  0
nft_compat             20480  27
x_tables               69632  11 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_CHECKSUM,xt_nat,xt_set,ipt_REJECT,xt_connmark,xt_MASQUERADE,xt_mark
nft_chain_nat          12288  6
nf_nat                 65536  3 xt_nat,nft_chain_nat,xt_MASQUERADE
nf_conntrack          212992  6 xt_conntrack,nf_nat,xt_nat,nf_conntrack_netlink,xt_connmark,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
bridge                479232  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
tun                    73728  2
nf_tables             405504  341 nft_compat,nft_chain_nat
nfnetlink              20480  5 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
overlay               241664  2
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 36864  6 algif_hash,algif_skcipher
bnep                   36864  2
r8169                 180224  0
realtek                65536  1
hid_logitech_hidpp     77824  0
phy_package            16384  1 realtek
mdio_devres            12288  1 r8169
libphy                237568  4 r8169,mdio_devres,realtek,phy_package
mdio_bus               32768  4 r8169,libphy,realtek,phy_package
vfat                   24576  1
fat                   114688  1 vfat
amd_atl                61440  1
intel_rapl_msr         24576  0
intel_rapl_common      53248  1 intel_rapl_msr
snd_hda_codec_alc662    20480  1
kvm_amd               262144  0
snd_hda_codec_realtek_lib    73728  1 snd_hda_codec_alc662
snd_hda_codec_atihdmi    20480  1
mousedev               28672  0
ee1004                 16384  0
snd_hda_codec_generic   126976  2 snd_hda_codec_alc662,snd_hda_codec_realtek_lib
snd_hda_codec_hdmi     61440  1 snd_hda_codec_atihdmi
kvm                  1556480  1 kvm_amd
gspca_ov534            28672  0
uas                    36864  0
snd_hda_intel          69632  4
irqbypass              16384  1 kvm
gspca_main             45056  1 gspca_ov534
usb_storage            98304  1 uas
aesni_intel           106496  3
snd_usb_audio         655360  3
snd_hda_codec         245760  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_alc662,snd_hda_codec_realtek_lib,snd_hda_codec_atihdmi
gf128mul               12288  1 aesni_intel
aead                   16384  4 cifs,ccm,xfrm_algo,aesni_intel
snd_usbmidi_lib        57344  1 snd_usb_audio
snd_hda_core          159744  7 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_alc662,snd_hda_codec,snd_hda_codec_realtek_lib,snd_hda_codec_atihdmi
rapl                   20480  0
snd_ump                40960  1 snd_usb_audio
wmi_bmof               12288  0
snd_intel_dspcfg       49152  1 snd_hda_intel
uvcvideo              180224  0
snd_rawmidi            53248  2 snd_usbmidi_lib,snd_ump
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
snd_seq_device         16384  3 snd_seq,snd_ump,snd_rawmidi
snd_hwdep              24576  2 snd_usb_audio,snd_hda_codec
uvc                    12288  1 uvcvideo
i2c_piix4              36864  0
pcspkr                 12288  0
ccp                   233472  1 kvm_amd
btusb                  81920  0
videobuf2_vmalloc      20480  2 gspca_main,uvcvideo
k10temp                12288  0
i2c_smbus              20480  1 i2c_piix4
snd_pcm               233472  6 snd_hda_codec_hdmi,snd_hda_intel,snd_usb_audio,snd_hda_codec,snd_hda_core
videobuf2_memops       16384  1 videobuf2_vmalloc
btmtk                  40960  1 btusb
btbcm                  24576  1 btusb
videobuf2_v4l2         45056  2 gspca_main,uvcvideo
gpio_amdpt             16384  0
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
btintel                77824  1 btusb
videobuf2_common       98304  5 gspca_main,videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
gpio_generic           24576  1 gpio_amdpt
btrtl                  32768  1 btusb
snd                   159744  29 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_usb_audio,snd_usbmidi_lib,snd_hda_codec,snd_timer,snd_hda_codec_realtek_lib,snd_ump,snd_pcm,snd_rawmidi
videodev              438272  4 gspca_main,videobuf2_v4l2,uvcvideo,gspca_ov534
hid_multitouch         36864  0
soundcore              16384  1 snd
hid_logitech_dj        45056  0
mc                     94208  5 videodev,snd_usb_audio,videobuf2_v4l2,uvcvideo,videobuf2_common
bluetooth            1187840  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mac_hid                12288  0
joydev                 28672  0
rfkill                 45056  5 bluetooth
dm_mod                233472  0
ntsync                 20480  0
i2c_dev                24576  0
crypto_user            12288  0
pkcs8_key_parser       12288  0
nct6687                61440  0
zram                   77824  1
842_decompress         16384  1 zram
842_compress           24576  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           28672  1 zram
amdgpu              18219008  211
drm_panel_backlight_quirks    12288  1 amdgpu
drm_buddy              12288  1 amdgpu
drm_suballoc_helper    24576  1 amdgpu
video                  81920  1 amdgpu
i2c_algo_bit           20480  1 amdgpu
drm_exec               12288  1 amdgpu
gpu_sched              73728  1 amdgpu
amdxcp                 12288  1 amdgpu
drm_ttm_helper         20480  1 amdgpu
ttm                   159744  2 amdgpu,drm_ttm_helper
drm_display_helper    307200  1 amdgpu
nvme                   77824  3
cec                   106496  2 drm_display_helper,amdgpu
nvme_core             286720  4 nvme
nvme_keyring           20480  1 nvme_core
nvme_auth              36864  1 nvme_core
wmi                    45056  2 video,wmi_bmof
