abseil-cpp 20260526.0-2.1 -> 20260817.0-1.1
android-tools 37.0.0-2.1 -> 37.0.0-4.1
aom 3.14.1-1.1 -> 3.15.0-1.1
appstream 1.1.6-1.1 -> 1.2.0-1.1
appstream-qt 1.1.6-1.1 -> 1.2.0-1.1
archlinux-contrib 20260611-1 -> 20260823-1
bpf 7.1.8-1 -> 7.2.2-1
breeze 6.7.4-1.1 -> 6.7.4-2.1
breeze-cursors 6.7.4-1.1 -> 6.7.4-2.1
btrfs-assistant 2.3-2.1 -> 2.3.1-1.1
bubblewrap 0.11.2-1.1 -> 0.12.0-1.1
ca-certificates-mozilla 3.127-1.1 -> 3.128-1.1
cachy-update 4.1.5-1 -> 4.2.0-1
cachyos-ananicy-rules 1:1.1.47-1 -> 1:1.1.48-1
cmake 4.4.2-1.1 -> 4.4.3-1.1
cpupower 7.1.8-1 -> 7.2.2-1
discord 1:1.0.154-1 -> 1:1.0.155-1
dolphin 26.08.0-1.1 -> 26.08.0-4.1
edk2-ovmf 202605-1 -> 202608-1
enchant 2.8.15-2.1 -> 2.8.16-1.1
faac 2.0-1.1 -> 2.1-1.1
faad2 2.11.2-1.2 -> 2.11.3-1.1
fd 10.4.2-2.1 -> 10.5.0-1.1
ffmpeg 2:9.0.1-1.1 -> 2:9.0.1-4.1
ffmpegthumbnailer 2.3.0-2.1 -> 2.3.1-1.1
firefox 154.0-1.1 -> 154.0.1-1.1
fontconfig 2:2.18.3-1.1 -> 2:2.18.3-2.1
ftgl 2.4.0-3.1 -> 2.4.0-4.1
git-lfs 3.7.1-2.1 -> 3.8.0-1.1
go 2:1.26.5-2 -> 2:1.27.0-2
gst-libav 1.28.6-1.1 -> 1.28.6-3
gst-plugin-va 1.28.6-1.1 -> 1.28.6-3
gst-plugins-bad 1.28.6-1.1 -> 1.28.6-3
gst-plugins-bad-libs 1.28.6-1.1 -> 1.28.6-3
gst-plugins-base 1.28.6-1.1 -> 1.28.6-3
