### digest of brevity_server_tc.log  (1095469 bytes, 9780 lines)
--- build / model / device ---
0.46.294.074 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
--- timings ---
      1 99.55.038.765 I slot print_timing: id  0 | task 27443 |       total time =  465466.24 ms /  2281 tokens
      1 99.55.038.763 I slot print_timing: id  0 | task 27443 |        eval time =  464303.64 ms /  2257 tokens (  205.72 ms per token,     4.86 tokens per second)
      1 99.55.038.755 I slot print_timing: id  0 | task 27443 | prompt eval time =    1162.60 ms /    24 tokens (   48.44 ms per token,    20.64 tokens per second)
      1 96.53.454.594 I slot print_timing: id  2 | task 26368 |       total time =  495623.71 ms /  2462 tokens
      1 96.53.454.592 I slot print_timing: id  2 | task 26368 |        eval time =  494422.95 ms /  2438 tokens (  202.80 ms per token,     4.93 tokens per second)
      1 96.53.454.584 I slot print_timing: id  2 | task 26368 | prompt eval time =    1200.77 ms /    24 tokens (   50.03 ms per token,    19.99 tokens per second)
      1 94.41.008.713 I slot print_timing: id  1 | task 25541 |       total time =  529431.02 ms /  2645 tokens
      1 94.41.008.711 I slot print_timing: id  1 | task 25541 |        eval time =  528234.69 ms /  2622 tokens (  201.46 ms per token,     4.96 tokens per second)
      1 94.41.008.696 I slot print_timing: id  1 | task 25541 | prompt eval time =    1196.33 ms /    23 tokens (   52.01 ms per token,    19.23 tokens per second)
      1 93.09.903.832 I slot print_timing: id  3 | task 26327 |       total time =  281202.45 ms /  1430 tokens
      1 93.09.903.830 I slot print_timing: id  3 | task 26327 |        eval time =  279992.78 ms /  1406 tokens (  199.14 ms per token,     5.02 tokens per second)
      1 93.09.903.822 I slot print_timing: id  3 | task 26327 | prompt eval time =    1209.67 ms /    24 tokens (   50.40 ms per token,    19.84 tokens per second)
      1 92.08.710.589 I slot print_timing: id  0 | task 25611 |       total time =  362055.87 ms /  1851 tokens
      1 92.08.710.587 I slot print_timing: id  0 | task 25611 |        eval time =  360888.42 ms /  1827 tokens (  197.53 ms per token,     5.06 tokens per second)
      1 92.08.710.579 I slot print_timing: id  0 | task 25611 | prompt eval time =    1167.45 ms /    24 tokens (   48.64 ms per token,    20.56 tokens per second)
      1 9.53.221.085 I slot print_timing: id  0 | task 3 |       total time =  543038.80 ms /  2744 tokens
      1 9.53.221.083 I slot print_timing: id  0 | task 3 |        eval time =  539532.06 ms /  2722 tokens (  198.21 ms per token,     5.05 tokens per second)
      1 9.53.221.074 I slot print_timing: id  0 | task 3 | prompt eval time =    3506.74 ms /    22 tokens (  159.40 ms per token,     6.27 tokens per second)
      1 9.36.932.507 I slot print_timing: id  2 | task 1 |       total time =  526750.18 ms /  2678 tokens
      1 9.36.932.506 I slot print_timing: id  2 | task 1 |        eval time =  523237.53 ms /  2651 tokens (  197.37 ms per token,     5.07 tokens per second)
      1 9.36.932.498 I slot print_timing: id  2 | task 1 | prompt eval time =    3512.64 ms /    27 tokens (  130.10 ms per token,     7.69 tokens per second)
      1 88.37.026.475 I slot print_timing: id  2 | task 25131 |       total time =  251065.32 ms /  1254 tokens
      1 88.37.026.473 I slot print_timing: id  2 | task 25131 |        eval time =  249835.07 ms /  1231 tokens (  202.95 ms per token,     4.93 tokens per second)
      1 88.37.026.468 I slot print_timing: id  2 | task 25131 | prompt eval time =    1230.25 ms /    23 tokens (   53.49 ms per token,    18.70 tokens per second)
      1 88.27.837.451 I slot print_timing: id  3 | task 24424 |       total time =  384610.06 ms /  1917 tokens
      1 88.27.837.450 I slot print_timing: id  3 | task 24424 |        eval time =  383392.48 ms /  1897 tokens (  202.10 ms per token,     4.95 tokens per second)
      1 88.27.837.444 I slot print_timing: id  3 | task 24424 | prompt eval time =    1217.59 ms /    20 tokens (   60.88 ms per token,    16.43 tokens per second)
      1 86.05.808.024 I slot print_timing: id  0 | task 23893 |       total time =  355984.97 ms /  1732 tokens
      1 86.05.808.022 I slot print_timing: id  0 | task 23893 |        eval time =  354828.87 ms /  1712 tokens (  207.26 ms per token,     4.82 tokens per second)
      1 86.05.808.015 I slot print_timing: id  0 | task 23893 | prompt eval time =    1156.11 ms /    20 tokens (   57.81 ms per token,    17.30 tokens per second)
--- errors/warnings ---
