0.00.060.256 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.061.038 W srv  llama_server: -----------------
0.00.061.040 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.061.040 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.061.040 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.061.040 W srv  llama_server: -----------------
0.00.062.347 I srv    load_model: loading model '/mnt/TG_2TB/AI/Models/Qwen3.8-27B-AD-IQ3_XXS.gguf'
VMEAN tap: no live V layers — add disabled
TCQ: encode V alpha=1.0 (context-adaptive decode-time alpha active)
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
TCQ decode: context-adaptive V alpha enabled
0.22.165.691 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.22.165.855 W no implementations specified for speculative decoding
0.22.165.861 W no implementations specified for speculative decoding
0.22.165.861 W no implementations specified for speculative decoding
0.22.165.861 W no implementations specified for speculative decoding
0.22.187.631 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.22.187.775 I srv  llama_server: model loaded
0.22.187.801 I srv  llama_server: listening on http://127.0.0.1:8080
0.27.166.433 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1 (best rejected sim = 0.000)
0.27.166.510 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.27.301.190 W slot   operator(): id  0 | task 0 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.27.416.885 W slot   operator(): id  0 | task 0 | created context checkpoint 2 of 32 (pos_min = 64, pos_max = 64, n_tokens = 65, size = 149.626 MiB)
0.29.105.762 I slot print_timing: id  0 | task 0 | prompt eval time =     304.11 ms /    69 tokens (    4.41 ms per token,   226.89 tokens per second)
0.29.105.766 I slot print_timing: id  0 | task 0 |        eval time =    1635.11 ms /    42 tokens (   38.93 ms per token,    25.69 tokens per second)
0.29.105.766 I slot print_timing: id  0 | task 0 |       total time =    1939.22 ms /   111 tokens
0.29.105.769 I slot print_timing: id  0 | task 0 |    graphs reused =         41
0.29.106.243 I slot      release: id  0 | task 0 | stop processing: n_tokens = 110, truncated = 0
0.29.131.349 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.381 (> 0.100 thold), f_keep = 0.409
0.29.338.386 I slot launch_slot_: id  0 | task 45 | processing task, is_child = 0
0.29.345.818 W slot   operator(): id  0 | task 45 | restored context checkpoint (pos_min = 41, pos_max = 41, n_tokens = 42, n_past = 42, size = 149.626 MiB)
0.29.428.503 W slot   operator(): id  0 | task 45 | created context checkpoint 2 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
0.29.567.089 W slot   operator(): id  0 | task 45 | created context checkpoint 3 of 32 (pos_min = 113, pos_max = 113, n_tokens = 114, size = 149.626 MiB)
0.33.502.548 I slot print_timing: id  0 | task 45 | n_decoded =    100, tg =  25.73 t/s, tg_3s =  25.73 t/s
0.36.514.745 I slot print_timing: id  0 | task 45 | n_decoded =    179, tg =  25.95 t/s, tg_3s =  26.23 t/s
0.39.541.603 I slot print_timing: id  0 | task 45 | n_decoded =    260, tg =  26.20 t/s, tg_3s =  26.76 t/s
0.42.542.960 I slot print_timing: id  0 | task 45 | n_decoded =    340, tg =  26.30 t/s, tg_3s =  26.65 t/s
0.45.566.246 I slot print_timing: id  0 | task 45 | n_decoded =    418, tg =  26.21 t/s, tg_3s =  25.80 t/s
0.48.573.140 I slot print_timing: id  0 | task 45 | n_decoded =    498, tg =  26.27 t/s, tg_3s =  26.61 t/s
0.51.586.171 I slot print_timing: id  0 | task 45 | n_decoded =    578, tg =  26.31 t/s, tg_3s =  26.55 t/s
0.54.600.898 I slot print_timing: id  0 | task 45 | n_decoded =    657, tg =  26.30 t/s, tg_3s =  26.20 t/s
0.57.633.663 I slot print_timing: id  0 | task 45 | n_decoded =    737, tg =  26.31 t/s, tg_3s =  26.38 t/s
1.00.661.028 I slot print_timing: id  0 | task 45 | n_decoded =    817, tg =  26.32 t/s, tg_3s =  26.43 t/s
1.03.695.544 I slot print_timing: id  0 | task 45 | n_decoded =    897, tg =  26.32 t/s, tg_3s =  26.36 t/s
1.06.733.003 I slot print_timing: id  0 | task 45 | n_decoded =    973, tg =  26.21 t/s, tg_3s =  25.02 t/s
1.09.763.545 I slot print_timing: id  0 | task 45 | n_decoded =   1053, tg =  26.23 t/s, tg_3s =  26.40 t/s
1.12.766.760 I slot print_timing: id  0 | task 45 | n_decoded =   1132, tg =  26.23 t/s, tg_3s =  26.31 t/s
1.15.770.132 I slot print_timing: id  0 | task 45 | n_decoded =   1210, tg =  26.22 t/s, tg_3s =  25.97 t/s
1.18.773.921 I slot print_timing: id  0 | task 45 | n_decoded =   1289, tg =  26.22 t/s, tg_3s =  26.30 t/s
1.21.777.897 I slot print_timing: id  0 | task 45 | n_decoded =   1368, tg =  26.23 t/s, tg_3s =  26.30 t/s
1.24.789.681 I slot print_timing: id  0 | task 45 | n_decoded =   1446, tg =  26.21 t/s, tg_3s =  25.90 t/s
1.27.802.038 I slot print_timing: id  0 | task 45 | n_decoded =   1525, tg =  26.21 t/s, tg_3s =  26.23 t/s
1.30.807.341 I slot print_timing: id  0 | task 45 | n_decoded =   1604, tg =  26.21 t/s, tg_3s =  26.29 t/s
1.33.820.000 I slot print_timing: id  0 | task 45 | n_decoded =   1682, tg =  26.20 t/s, tg_3s =  25.89 t/s
1.36.838.892 I slot print_timing: id  0 | task 45 | n_decoded =   1761, tg =  26.20 t/s, tg_3s =  26.17 t/s
1.39.851.013 I slot print_timing: id  0 | task 45 | n_decoded =   1840, tg =  26.20 t/s, tg_3s =  26.23 t/s
1.42.871.148 I slot print_timing: id  0 | task 45 | n_decoded =   1919, tg =  26.20 t/s, tg_3s =  26.16 t/s
1.45.874.808 I slot print_timing: id  0 | task 45 | n_decoded =   1989, tg =  26.08 t/s, tg_3s =  23.30 t/s
1.48.888.086 I slot print_timing: id  0 | task 45 | n_decoded =   2068, tg =  26.09 t/s, tg_3s =  26.22 t/s
1.51.898.518 I slot print_timing: id  0 | task 45 | n_decoded =   2147, tg =  26.09 t/s, tg_3s =  26.24 t/s
1.54.920.108 I slot print_timing: id  0 | task 45 | n_decoded =   2225, tg =  26.08 t/s, tg_3s =  25.81 t/s
1.57.938.813 I slot print_timing: id  0 | task 45 | n_decoded =   2304, tg =  26.09 t/s, tg_3s =  26.17 t/s
2.00.956.193 I slot print_timing: id  0 | task 45 | n_decoded =   2383, tg =  26.09 t/s, tg_3s =  26.18 t/s
