# phase	boundary	cursor	tier_fnv	wm	used	mapped_bytes
prepare	1	0	43793f7970464123	256	0	71303168
prepare	2	0	43793f7970464123	512	0	71303168
prepare	3	0	43793f7970464123	1024	512	71303168
prepare	4	0	43793f7970464123	1536	1024	138412032
prepare	5	0	43793f7970464123	2048	1536	138412032
prepare	6	0	43793f7970464123	2560	2048	205520896
prepare	7	0	43793f7970464123	3072	2560	205520896
prepare	8	0	43793f7970464123	3584	3072	272629760
prepare	9	0	43793f7970464123	4096	3584	272629760
prepare	10	7	ee48ba4039c95f4a	4608	4096	325058560
prepare	11	7	ee48ba4039c95f4a	5120	4608	310378496
prepare	12	16	04783029138c1513	5632	5120	343932928
prepare	13	23	69f434a343edf2a2	6144	5632	339738624
prepare	14	26	853e83f741d7c8e9	6656	6144	322961408
prepare	15	26	853e83f741d7c8e9	7168	6656	310378496
prepare	16	28	4737eb0f52ecf387	7680	7168	318767104
prepare	17	40	6ea1f347ca91875d	8192	7680	356515840
prepare	18	40	6ea1f347ca91875d	8704	8192	308281344
prepare	19	40	6ea1f347ca91875d	9216	8704	308281344
prepare	20	40	6ea1f347ca91875d	9728	9216	308281344
prepare	21	52	825295242e2d0ff4	10240	9728	346030080
prepare	22	52	825295242e2d0ff4	10752	10240	310378496
prepare	23	52	825295242e2d0ff4	11264	10752	310378496
prepare	24	52	825295242e2d0ff4	11776	11264	310378496
prepare	25	64	5484b1a498300e8f	12288	11776	350224384
prepare	26	64	5484b1a498300e8f	12800	12288	310378496
prepare	27	65	54c8a9a49869cdc3	13312	12800	312475648
prepare	28	65	54c8a9a49869cdc3	13824	13312	306184192
prepare	29	68	ccedd670bad7b761	14336	13824	318767104
prepare	30	68	ccedd670bad7b761	14848	14336	304087040
prepare	31	69	dce85ed36406418d	15360	14848	318767104
prepare	32	69	dce85ed36406418d	15872	15360	310378496
prepare	33	71	74fda0f8fac2d43d	16384	15872	356515840
prepare	34	0	43793f7970464123	512	0	71303168
prepare	35	0	43793f7970464123	1024	512	71303168
prepare	36	0	43793f7970464123	1536	1024	138412032
prepare	37	0	43793f7970464123	2048	1536	138412032
prepare	38	0	43793f7970464123	2560	2048	205520896
prepare	39	0	43793f7970464123	3072	2560	205520896
prepare	40	0	43793f7970464123	3584	3072	272629760
prepare	41	0	43793f7970464123	4096	3584	272629760
prepare	42	7	ee48ba4039c95f4a	4608	4096	325058560
prepare	43	7	ee48ba4039c95f4a	5120	4608	310378496
prepare	44	16	04783029138c1513	5632	5120	343932928
prepare	45	23	69f434a343edf2a2	6144	5632	339738624
prepare	46	26	853e83f741d7c8e9	6656	6144	322961408
prepare	47	26	853e83f741d7c8e9	7168	6656	310378496
prepare	48	28	4737eb0f52ecf387	7680	7168	318767104
prepare	49	40	6ea1f347ca91875d	8192	7680	356515840
prepare	50	40	6ea1f347ca91875d	8704	8192	308281344
prepare	51	40	6ea1f347ca91875d	9216	8704	308281344
prepare	52	40	6ea1f347ca91875d	9728	9216	308281344
prepare	53	52	825295242e2d0ff4	10240	9728	346030080
prepare	54	52	825295242e2d0ff4	10752	10240	310378496
prepare	55	52	825295242e2d0ff4	11264	10752	310378496
prepare	56	52	825295242e2d0ff4	11776	11264	310378496
prepare	57	64	5484b1a498300e8f	12288	11776	350224384
prepare	58	64	5484b1a498300e8f	12800	12288	310378496
prepare	59	65	54c8a9a49869cdc3	13312	12800	312475648
prepare	60	65	54c8a9a49869cdc3	13824	13312	306184192
prepare	61	68	ccedd670bad7b761	14336	13824	318767104
prepare	62	68	ccedd670bad7b761	14848	14336	304087040
prepare	63	69	dce85ed36406418d	15360	14848	318767104
prepare	64	69	dce85ed36406418d	15872	15360	310378496
prepare	65	71	74fda0f8fac2d43d	16384	15872	356515840
prepare	66	0	43793f7970464123	512	0	71303168
prepare	67	0	43793f7970464123	1024	512	71303168
prepare	68	0	43793f7970464123	1536	1024	138412032
prepare	69	0	43793f7970464123	2048	1536	138412032
prepare	70	0	43793f7970464123	2560	2048	205520896
prepare	71	0	43793f7970464123	3072	2560	205520896
prepare	72	0	43793f7970464123	3584	3072	272629760
prepare	73	0	43793f7970464123	4096	3584	272629760
prepare	74	7	ee48ba4039c95f4a	4608	4096	325058560
