epoch,power_w,junction_c,sclk
1789140819,57,46,1733Mhz
1789140849,327,81,2820Mhz
1789140879,324,83,2884Mhz
1789140909,304,84,2846Mhz
1789140939,331,85,2844Mhz
1789140969,310,86,3077Mhz
1789140999,323,84,3135Mhz
1789141029,331,85,2795Mhz
1789141059,323,85,3022Mhz
1789141089,329,79,3048Mhz
1789141119,325,78,3061Mhz
1789141149,330,79,3035Mhz
1789141179,330,79,3013Mhz
1789141209,329,85,2984Mhz
1789141239,332,86,2831Mhz
1789141269,329,84,2948Mhz
1789141299,330,79,3022Mhz
1789141329,330,79,3017Mhz
1789141359,55,43,185Mhz
