epoch,power_w,junction_c,sclk
1789142539,84,53,74Mhz
1789142569,303,68,2876Mhz
1789142600,329,80,2986Mhz
1789142630,329,80,2989Mhz
1789142660,330,79,2996Mhz
1789142690,329,80,3004Mhz
1789142720,329,80,3002Mhz
1789142750,327,80,3005Mhz
1789142780,330,80,2963Mhz
1789142810,329,80,2963Mhz
1789142840,327,80,3066Mhz
1789142870,330,80,3022Mhz
1789142900,329,80,3058Mhz
1789142930,330,80,3014Mhz
1789142960,330,80,2998Mhz
1789142990,327,80,3061Mhz
1789143020,329,80,3043Mhz
1789143050,329,80,3040Mhz
1789143080,329,80,3045Mhz
1789143110,330,80,3033Mhz
1789143140,329,80,3057Mhz
1789143170,330,80,3048Mhz
