ts,junction_c,edge_c,sclk_mhz,mclk_mhz,power_w,gpu_use
1789054481,43.0,40.0,41,1258,49.0,3
1789054512,81.0,46.0,2882,1258,214.0,100
1789054543,83.0,47.0,2876,1258,305.0,100
1789054573,78.0,48.0,3107,1258,327.0,99
1789054604,79.0,49.0,3097,1258,332.0,99
1789054635,80.0,49.0,3055,1258,327.0,100
1789054666,79.0,49.0,3103,1258,323.0,100
1789054696,79.0,49.0,3055,1258,344.0,100
1789054727,85.0,49.0,3021,1258,366.0,100
1789054758,80.0,49.0,3099,1258,331.0,99
1789054788,79.0,49.0,3110,1258,329.0,99
1789054819,80.0,49.0,3099,1258,328.0,98
1789054850,80.0,49.0,3084,1258,309.0,98
1789054880,80.0,50.0,3104,1258,328.0,99
1789054911,85.0,50.0,3063,1258,323.0,100
1789054942,80.0,50.0,3074,1258,325.0,99
1789054973,81.0,50.0,3080,1258,319.0,98
1789055003,79.0,50.0,3096,1258,331.0,100
1789055034,80.0,50.0,3055,1258,330.0,100
1789055065,80.0,50.0,3076,1258,328.0,99
