ts,junction_c,edge_c,sclk_mhz,mclk_mhz,power_w,gpu_use
1789056406,48.0,44.0,43,1258,52.0,3
1789056437,85.0,49.0,2992,1258,359.0,100
1789056467,86.0,49.0,2869,1258,369.0,100
1789056498,87.0,49.0,2856,1258,328.0,95
1789056529,79.0,48.0,2986,1258,332.0,100
1789056559,79.0,49.0,2929,1258,325.0,99
1789056590,86.0,48.0,3052,1258,328.0,100
1789056621,80.0,49.0,2966,1258,338.0,100
1789056652,80.0,49.0,2959,1258,322.0,99
1789056682,79.0,49.0,2974,1258,320.0,99
1789056713,78.0,49.0,2948,1258,306.0,100
1789056744,85.0,49.0,2885,1258,314.0,100
