ts,junction_c,edge_c,sclk_mhz,mclk_mhz,power_w,gpu_use
1789056771,45.0,41.0,2055,1258,53.0,8
1789056801,85.0,48.0,2892,1258,380.0,100
1789056832,84.0,48.0,2883,1258,353.0,100
1789056863,80.0,49.0,2927,1258,341.0,100
1789056893,83.0,48.0,2791,1258,331.0,100
1789056924,85.0,48.0,3034,1258,351.0,100
1789056955,85.0,48.0,2877,1258,326.0,100
1789056986,79.0,49.0,2934,1258,329.0,10
1789057016,80.0,49.0,2958,1258,328.0,99
1789057047,80.0,49.0,2954,1258,328.0,99
1789057078,85.0,49.0,3026,1258,353.0,100
1789057109,79.0,49.0,2928,1258,328.0,99
1789057139,79.0,49.0,2973,1258,326.0,97
1789057170,43.0,40.0,78,1258,51.0,6
