iso,elapsed_min,tg_3s_last,tg_3s_med_recent,n_gen_max_recent,power_w,sclk_mhz,junction_c,vram_mib,results_done,infra_count,gpu_busy_pct
2026-09-08T22:10:34-04:00,0,19.89,25.66,7134,340.0,3059,80,13473,28,2,100
2026-09-08T22:11:04-04:00,0,19.87,25.03,1785,342.0,3024,79,13475,28,2,99
2026-09-08T22:11:34-04:00,1,19.52,20.12,2382,340.0,3040,79,13478,28,2,99
2026-09-08T22:12:05-04:00,1,20.10,19.89,3042,339.0,3013,80,13472,28,2,99
2026-09-08T22:12:35-04:00,2,19.73,19.89,3649,338.0,2998,80,13475,28,2,96
2026-09-08T22:13:05-04:00,2,20.11,19.89,4257,340.0,2999,79,13477,28,2,99
2026-09-08T22:13:36-04:00,3,20.08,19.90,4865,340.0,2997,80,13479,28,2,99
2026-09-08T22:14:06-04:00,3,19.92,20.05,5472,341.0,3033,80,13482,28,2,99
2026-09-08T22:14:37-04:00,4,20.00,20.05,6077,342.0,2984,80,13484,28,2,99
2026-09-08T22:15:07-04:00,4,19.98,20.05,6677,339.0,3028,80,13486,28,2,99
2026-09-08T22:15:37-04:00,5,19.83,20.04,6737,340.0,2990,81,13474,29,3,99
2026-09-08T22:16:08-04:00,5,20.33,20.05,6737,340.0,3010,81,13475,29,3,99
2026-09-08T22:16:38-04:00,6,20.30,20.05,6737,329.0,2971,81,13477,29,3,99
2026-09-08T22:17:09-04:00,6,20.14,20.14,6737,344.0,3013,81,13483,29,3,99
2026-09-08T22:17:39-04:00,7,20.21,20.23,2484,340.0,3001,81,13485,29,3,99
2026-09-08T22:18:09-04:00,7,20.19,20.23,3094,338.0,3037,81,13488,29,3,99
2026-09-08T22:18:40-04:00,8,20.02,20.23,3704,340.0,3022,81,13490,29,3,98
2026-09-08T22:19:10-04:00,8,20.10,20.20,4312,340.0,2982,81,13493,29,3,99
2026-09-08T22:19:40-04:00,9,20.07,20.15,4920,340.0,3002,80,13496,29,3,99
2026-09-08T22:20:11-04:00,9,20.03,20.10,5527,339.0,2985,81,13498,29,3,100
2026-09-08T22:20:41-04:00,10,20.00,20.07,6130,341.0,2983,81,13500,29,3,99
2026-09-08T22:21:12-04:00,10,19.84,20.04,6730,337.0,2899,80,13511,30,4,99
2026-09-08T22:21:42-04:00,11,20.39,20.04,6730,341.0,3003,81,13476,30,4,99
2026-09-08T22:22:12-04:00,11,20.33,20.04,6730,339.0,3013,81,13475,30,4,99
2026-09-08T22:22:43-04:00,12,20.17,20.06,6730,340.0,3094,80,13479,30,4,99
2026-09-08T22:23:13-04:00,12,20.22,20.17,6730,332.0,2977,82,13480,30,4,99
2026-09-08T22:23:44-04:00,13,20.22,20.22,2609,344.0,3020,81,13484,30,4,99
2026-09-08T22:24:14-04:00,13,20.17,20.22,3219,346.0,3003,81,13489,30,4,99
2026-09-08T22:24:45-04:00,14,20.15,20.22,3829,338.0,2985,81,13491,30,4,99
2026-09-08T22:25:15-04:00,14,19.99,20.18,4436,339.0,3024,82,13494,30,4,99
2026-09-08T22:25:46-04:00,15,20.05,20.14,5044,336.0,2984,81,13496,30,4,99
2026-09-08T22:26:16-04:00,15,20.01,20.11,5652,317.0,2527,74,13499,30,4,99
2026-09-08T22:26:46-04:00,16,19.83,20.06,6255,341.0,2988,81,13501,30,4,99
2026-09-08T22:27:17-04:00,16,19.85,20.05,6735,222.0,2564,69,13499,31,5,97
2026-09-08T22:27:47-04:00,17,19.57,20.04,6735,340.0,3011,80,13475,31,5,99
2026-09-08T22:28:17-04:00,17,20.04,20.04,6735,340.0,2985,81,13477,31,5,99
2026-09-08T22:28:48-04:00,18,19.84,20.01,6735,339.0,3048,81,13472,31,5,99
2026-09-08T22:29:18-04:00,18,19.46,19.97,6735,339.0,3042,81,13475,31,5,99
2026-09-08T22:29:49-04:00,19,19.84,19.85,2687,340.0,3022,81,13477,31,5,99
2026-09-08T22:30:19-04:00,19,20.07,19.85,3288,340.0,3029,81,13472,31,5,99
2026-09-08T22:30:49-04:00,20,19.84,19.84,3894,339.0,3000,81,13475,31,5,99
2026-09-08T22:31:20-04:00,20,20.10,19.84,4502,341.0,2986,81,13481,31,5,99
2026-09-08T22:31:50-04:00,21,20.05,19.85,5110,341.0,3014,81,13483,31,5,97
2026-09-08T22:32:21-04:00,21,20.00,20.03,5716,340.0,3002,80,13482,31,5,99
2026-09-08T22:32:51-04:00,22,19.97,20.03,6318,340.0,2978,81,13497,31,5,99
2026-09-08T22:33:21-04:00,22,19.96,20.03,6738,348.0,2920,90,13488,32,6,94
2026-09-08T22:33:52-04:00,23,19.59,20.03,6738,341.0,3006,81,13477,32,6,99
2026-09-08T22:34:22-04:00,23,19.91,20.00,6738,330.0,2998,81,13475,32,6,99
2026-09-08T22:34:52-04:00,24,19.49,19.98,6738,339.0,3015,82,13478,32,6,99
2026-09-08T22:35:23-04:00,24,19.87,19.91,6738,341.0,3004,81,13480,32,6,99
2026-09-08T22:35:53-04:00,25,19.88,19.88,2799,339.0,3027,82,13480,32,6,99
2026-09-08T22:36:24-04:00,25,19.89,19.88,3404,338.0,2984,81,13476,32,6,99
2026-09-08T22:36:54-04:00,26,20.13,19.89,4012,340.0,3028,81,13477,32,6,99
2026-09-08T22:37:24-04:00,26,20.11,19.89,4620,339.0,3021,81,13477,32,6,99
2026-09-08T22:37:55-04:00,27,19.92,19.98,5227,340.0,2991,81,13476,32,6,99
2026-09-08T22:38:25-04:00,27,20.00,20.04,5835,338.0,2966,80,13487,32,6,99
2026-09-08T22:38:56-04:00,28,19.99,20.04,6436,340.0,2988,81,13491,32,6,99
2026-09-08T22:39:26-04:00,28,19.85,20.04,6736,331.0,2986,89,13476,33,7,97
2026-09-08T22:39:56-04:00,29,20.07,20.04,6736,338.0,3027,81,13473,33,7,99
2026-09-08T22:40:27-04:00,29,19.45,20.00,6736,337.0,2997,81,13472,33,7,99
2026-09-08T22:40:57-04:00,30,19.86,19.98,6736,340.0,3040,81,13474,33,7,99
2026-09-08T22:41:27-04:00,30,19.87,19.88,6736,318.0,3083,81,13477,33,7,99
2026-09-08T22:41:58-04:00,31,19.63,19.87,2860,341.0,3031,81,13472,33,7,99
2026-09-08T22:42:28-04:00,31,20.10,19.87,3468,339.0,3008,81,13474,33,7,98
2026-09-08T22:42:59-04:00,32,20.08,19.88,4076,340.0,3003,81,13477,33,7,99
2026-09-08T22:43:29-04:00,32,20.03,19.89,4682,339.0,3026,81,13829,33,7,99
2026-09-08T22:43:59-04:00,33,19.99,19.98,5284,339.0,3036,81,13746,33,7,99
2026-09-08T22:44:30-04:00,33,19.94,19.98,5884,342.0,3010,81,13750,33,7,98
2026-09-08T22:45:00-04:00,34,19.91,19.98,6544,340.0,3027,81,13766,33,7,99
2026-09-08T22:45:31-04:00,34,19.88,19.97,6724,350.0,2968,86,13733,34,8,90
