### MTP VRAM cost  2026-09-08T10:30:40-04:00
model=Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf  9.8G

ctx        mtp          VRAM_MiB  KV_budget_MiB tier
32768      off            FAILED              - 
32768      on              13217           4441 turbo2_tcq
65536      off             12177           5410 turbo2_tcq
65536      on              13369           4279 turbo2_tcq
131072     off             12263           5384 turbo2_tcq
131072     on              13778           3887 turbo2_tcq
262144     off             12346           5256 turbo2_tcq
262144     on              14464           3127 turbo2_tcq

######## MTP VRAM DONE 2026-09-08T10:33:57-04:00
