iso,elapsed_min,tg_3s_last,checkpoints,max_watermark,clamps,results_done,infra
2026-09-09T00:19:39-04:00,0,,0,0,0,0,0
2026-09-09T00:20:09-04:00,0,,0,0,0,0,0
2026-09-09T00:20:39-04:00,1,,3,13312,0,1,0
2026-09-09T00:21:09-04:00,1,24.98,6,13312,0,2,0
2026-09-09T00:21:39-04:00,2,24.98,12,13312,0,3,0
2026-09-09T00:22:09-04:00,2,24.13,15,13312,0,4,0
2026-09-09T00:22:39-04:00,3,24.53,18,13312,0,5,0
2026-09-09T00:23:09-04:00,3,25.37,21,13312,0,6,0
2026-09-09T00:23:39-04:00,4,24.62,21,13312,0,6,0
2026-09-09T00:24:09-04:00,4,24.63,21,13312,0,6,0
2026-09-09T00:24:39-04:00,5,24.50,21,13312,0,6,0
2026-09-09T00:25:09-04:00,5,24.82,21,13312,0,6,0
2026-09-09T00:25:39-04:00,6,24.26,21,13312,0,6,0
2026-09-09T00:26:09-04:00,6,24.55,21,13312,0,6,0
2026-09-09T00:26:39-04:00,7,24.88,21,13312,0,6,0
2026-09-09T00:27:09-04:00,7,24.84,21,13312,0,6,0
2026-09-09T00:27:39-04:00,8,24.18,21,13312,0,6,0
2026-09-09T00:28:09-04:00,8,24.61,21,13312,0,6,0
2026-09-09T00:28:39-04:00,9,24.28,21,13312,0,7,1
2026-09-09T00:29:09-04:00,9,25.12,24,13312,0,7,1
2026-09-09T00:29:39-04:00,10,24.56,24,13312,0,7,1
2026-09-09T00:30:10-04:00,10,23.98,24,13312,0,7,1
2026-09-09T00:30:40-04:00,11,24.31,24,13312,0,7,1
2026-09-09T00:31:10-04:00,11,24.69,24,13312,0,7,1
2026-09-09T00:31:40-04:00,12,24.20,24,13312,0,7,1
2026-09-09T00:32:10-04:00,12,24.57,24,13312,0,7,1
2026-09-09T00:32:40-04:00,13,24.21,24,13312,0,7,1
2026-09-09T00:33:10-04:00,13,24.78,24,13312,0,7,1
2026-09-09T00:33:40-04:00,14,24.73,24,13312,0,7,1
2026-09-09T00:34:10-04:00,14,24.20,24,13312,0,7,1
2026-09-09T00:34:40-04:00,15,24.82,24,13312,0,8,2
2026-09-09T00:35:10-04:00,15,25.46,27,13312,0,8,2
2026-09-09T00:35:40-04:00,16,24.07,27,13312,0,8,2
2026-09-09T00:36:10-04:00,16,23.98,27,13312,0,8,2
2026-09-09T00:36:40-04:00,17,24.22,27,13312,0,8,2
2026-09-09T00:37:10-04:00,17,24.20,27,13312,0,8,2
2026-09-09T00:37:40-04:00,18,24.65,27,13312,0,8,2
2026-09-09T00:38:10-04:00,18,24.32,27,13312,0,8,2
2026-09-09T00:38:40-04:00,19,24.30,27,13312,0,8,2
2026-09-09T00:39:10-04:00,19,24.90,27,13312,0,8,2
