1772219448.39996_7419.mark-pc-ubuntu,U=7419
1772237705.39996_46519.mark-pc-ubuntu,U=46519
1772231075.39996_35413.mark-pc-ubuntu,U=35413
1772246302.39996_57981.mark-pc-ubuntu,U=57981
1772226800.39996_24697.mark-pc-ubuntu,U=24697
1772223038.39996_16747.mark-pc-ubuntu,U=16747
1772235176.39996_42087.mark-pc-ubuntu,U=42087
1772242626.39996_53346.mark-pc-ubuntu,U=53346
1772227035.39996_25236.mark-pc-ubuntu,U=25236
1772238311.39996_47516.mark-pc-ubuntu,U=47516
1772251444.39996_63131.mark-pc-ubuntu,U=63131
1772219198.39996_5591.mark-pc-ubuntu,U=5591
1772249085.39996_61122.mark-pc-ubuntu,U=61122
1772228273.39996_28483.mark-pc-ubuntu,U=28483
1772235171.39996_42078.mark-pc-ubuntu,U=42078
1772241772.39996_52149.mark-pc-ubuntu,U=52149
1772241598.39996_51930.mark-pc-ubuntu,U=51930
1772247008.39996_58901.mark-pc-ubuntu,U=58901
1772230322.39996_33368.mark-pc-ubuntu,U=33368
1772236928.39996_45110.mark-pc-ubuntu,U=45110
1772234917.39996_41597.mark-pc-ubuntu,U=41597
1772238303.39996_47501.mark-pc-ubuntu,U=47501
1772244335.39996_55572.mark-pc-ubuntu,U=55572
1772222476.39996_15299.mark-pc-ubuntu,U=15299
1772234563.39996_40880.mark-pc-ubuntu,U=40880
1772245070.39996_56378.mark-pc-ubuntu,U=56378
1772231366.39996_36113.mark-pc-ubuntu,U=36113
1772219073.39996_4627.mark-pc-ubuntu,U=4627
1772234417.39996_40614.mark-pc-ubuntu,U=40614
1772226482.39996_24136.mark-pc-ubuntu,U=24136
1772233974.39996_39796.mark-pc-ubuntu,U=39796
1772241537.39996_51842.mark-pc-ubuntu,U=51842
1772230706.39996_34417.mark-pc-ubuntu,U=34417
1772243466.39996_54575.mark-pc-ubuntu,U=54575
1772219138.39996_5031.mark-pc-ubuntu,U=5031
1772232571.39996_37978.mark-pc-ubuntu,U=37978
1772219057.39996_4497.mark-pc-ubuntu,U=4497
1772224500.39996_21316.mark-pc-ubuntu,U=21316
1772230801.39996_34696.mark-pc-ubuntu,U=34696
1772223365.39996_17682.mark-pc-ubuntu,U=17682
1772219762.39996_9435.mark-pc-ubuntu,U=9435
1772218667.39996_1944.mark-pc-ubuntu,U=1944
1772219404.39996_7211.mark-pc-ubuntu,U=7211
1772224776.39996_21801.mark-pc-ubuntu,U=21801
1772228608.39996_29286.mark-pc-ubuntu,U=29286
1772219371.39996_7032.mark-pc-ubuntu,U=7032
1772243671.39996_54827.mark-pc-ubuntu,U=54827
1772247695.39996_59697.mark-pc-ubuntu,U=59697
1772241756.39996_52129.mark-pc-ubuntu,U=52129
1772242819.39996_53627.mark-pc-ubuntu,U=53627
1772232670.39996_38182.mark-pc-ubuntu,U=38182
1772223513.39996_18300.mark-pc-ubuntu,U=18300
1772219721.39996_8951.mark-pc-ubuntu,U=8951
1772245238.39996_56584.mark-pc-ubuntu,U=56584
1772248421.39996_60463.mark-pc-ubuntu,U=60463
1772219930.39996_10797.mark-pc-ubuntu,U=10797
1772230724.39996_34478.mark-pc-ubuntu,U=34478
1772258661.39996_67463.mark-pc-ubuntu,U=67463
1772225238.39996_22368.mark-pc-ubuntu,U=22368
1772225330.39996_22480.mark-pc-ubuntu,U=22480
1772225938.39996_23217.mark-pc-ubuntu,U=23217
1772220811.39996_13211.mark-pc-ubuntu,U=13211
1772242875.39996_53709.mark-pc-ubuntu,U=53709
1772219959.39996_10978.mark-pc-ubuntu,U=10978
1772227401.39996_26251.mark-pc-ubuntu,U=26251
1772243801.39996_54982.mark-pc-ubuntu,U=54982
1772262510.39996_69188.mark-pc-ubuntu,U=69188
1772222944.39996_16568.mark-pc-ubuntu,U=16568
1772220388.39996_12489.mark-pc-ubuntu,U=12489
1772240200.39996_50264.mark-pc-ubuntu,U=50264
1772242560.39996_53253.mark-pc-ubuntu,U=53253
1772237334.39996_45884.mark-pc-ubuntu,U=45884
1772222827.39996_16298.mark-pc-ubuntu,U=16298
1772247188.39996_59123.mark-pc-ubuntu,U=59123
1772238516.39996_47844.mark-pc-ubuntu,U=47844
1772227104.39996_25451.mark-pc-ubuntu,U=25451
1772221492.39996_13904.mark-pc-ubuntu,U=13904
1772235617.39996_42862.mark-pc-ubuntu,U=42862
1772225512.39996_22701.mark-pc-ubuntu,U=22701
1772249576.39996_61580.mark-pc-ubuntu,U=61580
1772229173.39996_30826.mark-pc-ubuntu,U=30826
1772229582.39996_31588.mark-pc-ubuntu,U=31588
1772218598.39996_1432.mark-pc-ubuntu,U=1432
1772218687.39996_2063.mark-pc-ubuntu,U=2063
1772219012.39996_4147.mark-pc-ubuntu,U=4147
1772249622.39996_61622.mark-pc-ubuntu,U=61622
1772252089.39996_63621.mark-pc-ubuntu,U=63621
1772233135.39996_38820.mark-pc-ubuntu,U=38820
1772222748.39996_16108.mark-pc-ubuntu,U=16108
1772218771.39996_2638.mark-pc-ubuntu,U=2638
1772234917.39996_41598.mark-pc-ubuntu,U=41598
1772219030.39996_4285.mark-pc-ubuntu,U=4285
1772301383.161440_172.mark-pc-ubuntu,U=69536
1772224058.39996_20237.mark-pc-ubuntu,U=20237
1772219813.39996_9923.mark-pc-ubuntu,U=9923
1772242622.39996_53341.mark-pc-ubuntu,U=53341
1772240216.39996_50277.mark-pc-ubuntu,U=50277
1772218603.39996_1462.mark-pc-ubuntu,U=1462
1772218864.39996_3255.mark-pc-ubuntu,U=3255
1772244357.39996_55591.mark-pc-ubuntu,U=55591
1772223252.39996_17233.mark-pc-ubuntu,U=17233
1772230795.39996_34678.mark-pc-ubuntu,U=34678
1772241700.39996_52065.mark-pc-ubuntu,U=52065
1772236884.39996_45016.mark-pc-ubuntu,U=45016
1772219180.39996_5419.mark-pc-ubuntu,U=5419
1772218509.39996_624.mark-pc-ubuntu,U=624
1772246638.39996_58428.mark-pc-ubuntu,U=58428
1772228429.39996_28792.mark-pc-ubuntu,U=28792
1772245764.39996_57208.mark-pc-ubuntu,U=57208
1772262548.39996_69204.mark-pc-ubuntu,U=69204
1772242949.39996_53811.mark-pc-ubuntu,U=53811
1772228425.39996_28787.mark-pc-ubuntu,U=28787
1772226618.39996_24400.mark-pc-ubuntu,U=24400
1772218906.39996_3510.mark-pc-ubuntu,U=3510
1772233537.39996_39244.mark-pc-ubuntu,U=39244
1772233495.39996_39204.mark-pc-ubuntu,U=39204
1772247265.39996_59217.mark-pc-ubuntu,U=59217
1772230032.39996_32406.mark-pc-ubuntu,U=32406
1772234776.39996_41321.mark-pc-ubuntu,U=41321
1772218536.39996_890.mark-pc-ubuntu,U=890
1772231362.39996_36103.mark-pc-ubuntu,U=36103
1772230981.39996_35122.mark-pc-ubuntu,U=35122
1772231099.39996_35475.mark-pc-ubuntu,U=35475
1772249856.39996_61824.mark-pc-ubuntu,U=61824
1772262318.39996_69108.mark-pc-ubuntu,U=69108
1772245217.39996_56560.mark-pc-ubuntu,U=56560
1772228977.39996_30425.mark-pc-ubuntu,U=30425
1772219868.39996_10439.mark-pc-ubuntu,U=10439
1772219672.39996_8411.mark-pc-ubuntu,U=8411
1772235074.39996_41901.mark-pc-ubuntu,U=41901
1772232348.39996_37587.mark-pc-ubuntu,U=37587
1772261094.39996_68587.mark-pc-ubuntu,U=68587
1772229589.39996_31599.mark-pc-ubuntu,U=31599
1772236704.39996_44591.mark-pc-ubuntu,U=44591
1772220092.39996_11640.mark-pc-ubuntu,U=11640
1772221446.39996_13866.mark-pc-ubuntu,U=13866
1772220297.39996_12274.mark-pc-ubuntu,U=12274
1772230683.39996_34331.mark-pc-ubuntu,U=34331
1772242465.39996_53117.mark-pc-ubuntu,U=53117
1772246672.39996_58472.mark-pc-ubuntu,U=58472
1772260234.39996_68202.mark-pc-ubuntu,U=68202
1772229050.39996_30590.mark-pc-ubuntu,U=30590
1772223930.39996_19883.mark-pc-ubuntu,U=19883
1772222753.39996_16120.mark-pc-ubuntu,U=16120
1772257296.39996_66779.mark-pc-ubuntu,U=66779
1772228424.39996_28786.mark-pc-ubuntu,U=28786
1772247618.39996_59615.mark-pc-ubuntu,U=59615
1772229227.39996_30928.mark-pc-ubuntu,U=30928
1772226909.39996_24976.mark-pc-ubuntu,U=24976
1772247222.39996_59162.mark-pc-ubuntu,U=59162
1772247600.39996_59597.mark-pc-ubuntu,U=59597
1772224099.39996_20363.mark-pc-ubuntu,U=20363
1772230195.39996_32998.mark-pc-ubuntu,U=32998
1772219652.39996_8176.mark-pc-ubuntu,U=8176
1772224053.39996_20223.mark-pc-ubuntu,U=20223
1772242027.39996_52472.mark-pc-ubuntu,U=52472
1772219451.39996_7439.mark-pc-ubuntu,U=7439
1772218999.39996_4071.mark-pc-ubuntu,U=4071
1772231571.39996_36542.mark-pc-ubuntu,U=36542
1772248431.39996_60472.mark-pc-ubuntu,U=60472
1772230595.39996_34123.mark-pc-ubuntu,U=34123
1772218595.39996_1404.mark-pc-ubuntu,U=1404
1772219863.39996_10406.mark-pc-ubuntu,U=10406
1772232287.39996_37522.mark-pc-ubuntu,U=37522
1772230244.39996_33131.mark-pc-ubuntu,U=33131
1772241049.39996_51257.mark-pc-ubuntu,U=51257
1772218519.39996_728.mark-pc-ubuntu,U=728
1772220157.39996_11864.mark-pc-ubuntu,U=11864
1772239419.39996_49347.mark-pc-ubuntu,U=49347
1772236713.39996_44618.mark-pc-ubuntu,U=44618
1772244177.39996_55402.mark-pc-ubuntu,U=55402
1772227328.39996_26073.mark-pc-ubuntu,U=26073
1772243986.39996_55197.mark-pc-ubuntu,U=55197
1772231411.39996_36216.mark-pc-ubuntu,U=36216
1772254279.39996_65091.mark-pc-ubuntu,U=65091
1772233102.39996_38781.mark-pc-ubuntu,U=38781
1772236818.39996_44872.mark-pc-ubuntu,U=44872
1772226465.39996_24095.mark-pc-ubuntu,U=24095
1772240269.39996_50325.mark-pc-ubuntu,U=50325
1772236888.39996_45024.mark-pc-ubuntu,U=45024
1772219771.39996_9538.mark-pc-ubuntu,U=9538
1772219712.39996_8842.mark-pc-ubuntu,U=8842
1772218936.39996_3657.mark-pc-ubuntu,U=3657
1772238056.39996_47090.mark-pc-ubuntu,U=47090
1772219210.39996_5690.mark-pc-ubuntu,U=5690
1772223576.39996_18636.mark-pc-ubuntu,U=18636
1772260813.39996_68462.mark-pc-ubuntu,U=68462
1772218551.39996_1028.mark-pc-ubuntu,U=1028
1772259920.39996_68058.mark-pc-ubuntu,U=68058
1772234608.39996_40950.mark-pc-ubuntu,U=40950
1772238536.39996_47883.mark-pc-ubuntu,U=47883
1772223542.39996_18460.mark-pc-ubuntu,U=18460
1772238937.39996_48574.mark-pc-ubuntu,U=48574
1772219953.39996_10942.mark-pc-ubuntu,U=10942
1772225938.39996_23218.mark-pc-ubuntu,U=23218
1772232091.39996_37279.mark-pc-ubuntu,U=37279
1772246358.39996_58061.mark-pc-ubuntu,U=58061
1772224148.39996_20513.mark-pc-ubuntu,U=20513
1772226243.39996_23692.mark-pc-ubuntu,U=23692
1772219429.39996_7339.mark-pc-ubuntu,U=7339
1772223820.39996_19480.mark-pc-ubuntu,U=19480
1772222313.39996_14752.mark-pc-ubuntu,U=14752
1772219475.39996_7569.mark-pc-ubuntu,U=7569
1772219731.39996_9062.mark-pc-ubuntu,U=9062
1772219497.39996_7627.mark-pc-ubuntu,U=7627
1772223199.39996_17004.mark-pc-ubuntu,U=17004
1772247710.39996_59714.mark-pc-ubuntu,U=59714
1772230144.39996_32856.mark-pc-ubuntu,U=32856
1772247044.39996_58945.mark-pc-ubuntu,U=58945
1772234914.39996_41589.mark-pc-ubuntu,U=41589
1772222028.39996_14304.mark-pc-ubuntu,U=14304
1772238562.39996_47933.mark-pc-ubuntu,U=47933
1772227686.39996_27020.mark-pc-ubuntu,U=27020
1772223483.39996_18114.mark-pc-ubuntu,U=18114
1772223491.39996_18175.mark-pc-ubuntu,U=18175
1772225171.39996_22284.mark-pc-ubuntu,U=22284
1772230882.39996_34907.mark-pc-ubuntu,U=34907
1772257074.39996_66668.mark-pc-ubuntu,U=66668
1772222216.39996_14589.mark-pc-ubuntu,U=14589
1772224356.39996_21004.mark-pc-ubuntu,U=21004
1772218443.39996_128.mark-pc-ubuntu,U=128
1772262930.39996_69361.mark-pc-ubuntu,U=69361
1772219665.39996_8317.mark-pc-ubuntu,U=8317
1772249108.39996_61144.mark-pc-ubuntu,U=61144
1772218431.39996_39.mark-pc-ubuntu,U=39
1772219884.39996_10580.mark-pc-ubuntu,U=10580
1772228555.39996_29026.mark-pc-ubuntu,U=29026
1772231306.39996_35953.mark-pc-ubuntu,U=35953
1772245818.39996_57288.mark-pc-ubuntu,U=57288
1772218775.39996_2658.mark-pc-ubuntu,U=2658
1772218463.39996_261.mark-pc-ubuntu,U=261
1772227662.39996_26962.mark-pc-ubuntu,U=26962
1772227225.39996_25835.mark-pc-ubuntu,U=25835
1772228856.39996_30110.mark-pc-ubuntu,U=30110
1772239784.39996_49842.mark-pc-ubuntu,U=49842
1772254538.39996_65252.mark-pc-ubuntu,U=65252
1772218522.39996_740.mark-pc-ubuntu,U=740
1772255643.39996_65909.mark-pc-ubuntu,U=65909
1772219855.39996_10339.mark-pc-ubuntu,U=10339
1772232503.39996_37821.mark-pc-ubuntu,U=37821
1772248987.39996_61031.mark-pc-ubuntu,U=61031
1772234365.39996_40506.mark-pc-ubuntu,U=40506
1772229828.39996_31979.mark-pc-ubuntu,U=31979
1772250960.39996_62755.mark-pc-ubuntu,U=62755
1772247181.39996_59117.mark-pc-ubuntu,U=59117
1772256868.39996_66561.mark-pc-ubuntu,U=66561
1772224230.39996_20723.mark-pc-ubuntu,U=20723
1772234052.39996_39934.mark-pc-ubuntu,U=39934
1772240726.39996_50850.mark-pc-ubuntu,U=50850
1772226866.39996_24875.mark-pc-ubuntu,U=24875
1772227905.39996_27633.mark-pc-ubuntu,U=27633
1772234053.39996_39936.mark-pc-ubuntu,U=39936
1772224017.39996_20134.mark-pc-ubuntu,U=20134
1772222431.39996_15157.mark-pc-ubuntu,U=15157
1772237266.39996_45762.mark-pc-ubuntu,U=45762
1772229512.39996_31458.mark-pc-ubuntu,U=31458
1772234643.39996_41029.mark-pc-ubuntu,U=41029
1772219696.39996_8661.mark-pc-ubuntu,U=8661
1772230696.39996_34379.mark-pc-ubuntu,U=34379
1772238148.39996_47226.mark-pc-ubuntu,U=47226
1772230309.39996_33329.mark-pc-ubuntu,U=33329
1772254168.39996_65022.mark-pc-ubuntu,U=65022
1772261025.39996_68556.mark-pc-ubuntu,U=68556
1772220769.39996_13153.mark-pc-ubuntu,U=13153
1772253381.39996_64518.mark-pc-ubuntu,U=64518
1772241431.39996_51720.mark-pc-ubuntu,U=51720
1772235039.39996_41839.mark-pc-ubuntu,U=41839
1772224482.39996_21278.mark-pc-ubuntu,U=21278
1772243750.39996_54921.mark-pc-ubuntu,U=54921
1772222574.39996_15566.mark-pc-ubuntu,U=15566
1772230384.39996_33529.mark-pc-ubuntu,U=33529
1772230233.39996_33091.mark-pc-ubuntu,U=33091
1772222461.39996_15252.mark-pc-ubuntu,U=15252
1772227078.39996_25348.mark-pc-ubuntu,U=25348
1772226585.39996_24336.mark-pc-ubuntu,U=24336
1772234504.39996_40783.mark-pc-ubuntu,U=40783
1772237200.39996_45653.mark-pc-ubuntu,U=45653
1772243388.39996_54465.mark-pc-ubuntu,U=54465
1772219876.39996_10516.mark-pc-ubuntu,U=10516
1772241282.39996_51544.mark-pc-ubuntu,U=51544
1772242568.39996_53264.mark-pc-ubuntu,U=53264
1772219668.39996_8355.mark-pc-ubuntu,U=8355
1772223919.39996_19847.mark-pc-ubuntu,U=19847
1772218606.39996_1484.mark-pc-ubuntu,U=1484
1772226654.39996_24463.mark-pc-ubuntu,U=24463
1772226358.39996_23915.mark-pc-ubuntu,U=23915
1772230830.39996_34770.mark-pc-ubuntu,U=34770
1772226072.39996_23425.mark-pc-ubuntu,U=23425
1772232956.39996_38595.mark-pc-ubuntu,U=38595
1772228049.39996_27997.mark-pc-ubuntu,U=27997
1772231043.39996_35315.mark-pc-ubuntu,U=35315
1772246322.39996_58011.mark-pc-ubuntu,U=58011
1772236208.39996_43802.mark-pc-ubuntu,U=43802
1772229393.39996_31247.mark-pc-ubuntu,U=31247
1772227342.39996_26106.mark-pc-ubuntu,U=26106
